"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"CDNA","NASD","Caredx Inc","Healthcare","Diagnostics & Research",1990.95,38.54,0.44%,1135301,887.37,1.28,33.22%,47.21%,81.02%,92.60%,104.56%,202.27%,6.48%,61.04%,128.24%,38.99%,38.15%,-0.53%,95.73%,17.85%
"TXG","NASD","10x Genomics Inc","Healthcare","Health Information Services",5992.34,47.20,9.21%,2463912,3179.81,0.77,3.08%,35.81%,91.95%,130.02%,189.39%,309.01%,6.04%,-130.22%,62.53%,-2.61%,-8.96%,1.40%,98.60%,14.45%
"EVER","NASD","EverQuote Inc","Communication Services","Internet Content & Information",952.25,26.92,-2.25%,1075170,899.36,1.20,4.54%,33.53%,59.95%,8.72%,-0.30%,6.91%,5.44%,-20.10%,138.33%,14.54%,0.32%,7.88%,85.14%,18.65%
"GRPN","NASD","Groupon Inc","Communication Services","Internet Content & Information",989.48,26.05,-6.80%,2010744,2015.74,1.00,1.76%,60.90%,74.25%,61.20%,47.93%,-24.12%,7.47%,93.59%,-284.42%,0.01%,,-3.53%,68.10%,59.61%
"MAX","NYSE","MediaAlpha Inc","Communication Services","Internet Content & Information",884.75,14.19,-0.56%,1765295,761.98,2.32,0.71%,40.08%,40.63%,24.26%,9.58%,35.66%,4.92%,161.11%,686.57%,17.29%,53.48%,0.73%,56.62%,10.37%
"ACHC","NASD","Acadia Healthcare Company Inc","Healthcare","Medical Care Facilities",3274.94,35.61,3.43%,2738999,3074.19,0.89,12.69%,43.18%,27.91%,204.88%,150.95%,64.56%,5.92%,-24.68%,-50.33%,7.57%,0.55%,14.10%,139.72%,26.21%
"PBF","NYSE","PBF Energy Inc","Energy","Oil & Gas Refining & Marketing",7814.28,66.05,3.45%,2895774,2913.91,0.99,8.47%,77.13%,74.97%,123.67%,143.55%,168.93%,5.21%,325.63%,146.86%,11.86%,,2.12%,85.02%,14.23%
"BRBR","NYSE","Bellring Brands Inc","Consumer Defensive","Packaged Foods",1472.08,12.66,4.20%,2997501,5648.96,0.53,4.63%,33.83%,-23.18%,-47.05%,-52.64%,-77.99%,5.28%,-42.67%,-36.16%,1.82%,-9.15%,2.45%,106.56%,15.50%
"CCXI","NASD","Churchill Capital Corp XI","Financial","Shell Companies",826.03,14.83,3.06%,2130192,2071.56,1.03,-7.14%,43.91%,45.60%,,45.39%,,8.15%,,,,,,47.83%,1.15%
"ALIT","NYSE","Alight Inc","Technology","Software - Application",504.47,18.78,-7.71%,789221,1302.90,0.61,-14.40%,64.97%,43.34%,-40.19%,-51.85%,-82.74%,8.69%,-43.79%,-13.37%,-2.55%,-21.83%,,86.85%,4.28%
"GWRE","NYSE","Guidewire Software Inc","Technology","Software - Application",11866.53,142.53,-4.46%,1375861,1652.89,0.83,1.29%,32.14%,-0.33%,-10.35%,-29.09%,-35.95%,5.48%,31.42%,-63.85%,26.93%,24.72%,-0.39%,105.93%,6.92%
"KVYO","NYSE","Klaviyo Inc","Technology","Software - Application",5237.40,17.50,-3.58%,3966378,6560.64,0.60,-0.06%,32.08%,-12.76%,-26.53%,-46.10%,-46.17%,5.98%,26.70%,157.59%,27.94%,23.56%,-0.58%,45.15%,21.62%
"BAND","NASD","Bandwidth Inc","Technology","Software - Infrastructure",2252.74,70.36,2.27%,1019531,1354.80,0.75,-7.14%,36.91%,191.59%,424.68%,355.40%,355.11%,8.11%,25.87%,39.38%,19.82%,26.43%,0.16%,72.73%,12.06%
"BLZE","NASD","Backblaze Inc","Technology","Software - Infrastructure",808.80,13.48,2.43%,1645044,3384.59,0.49,-18.55%,64.59%,226.39%,177.37%,189.27%,148.71%,9.05%,55.10%,39.88%,11.71%,37.88%,-5.55%,48.74%,4.86%
"FIVN","NASD","Five9 Inc","Technology","Software - Infrastructure",1931.70,25.23,-1.83%,1539370,3197.55,0.48,-1.37%,30.09%,55.36%,43.43%,25.84%,-7.55%,6.15%,9.88%,3234.38%,9.16%,13.13%,-2.72%,101.72%,11.45%
"NTSK","NASD","Netskope Inc","Technology","Software - Infrastructure",5384.30,13.33,-1.41%,2948361,5655.96,0.52,-6.59%,47.29%,32.24%,-9.69%,-24.00%,,9.93%,62.65%,-40.26%,27.80%,,3.11%,35.71%,11.36%
"PRGS","NASD","Progress Software Corp","Technology","Software - Infrastructure",1618.37,39.46,-0.10%,478470,790.42,0.61,5.28%,32.95%,25.99%,-1.57%,-8.15%,-17.43%,3.79%,7.75%,29.14%,6.79%,3.32%,-4.45%,108.25%,11.05%
"RPD","NASD","Rapid7 Inc","Technology","Software - Infrastructure",709.08,10.61,-11.21%,3497430,2341.80,1.49,-18.20%,57.65%,81.99%,-16.06%,-30.20%,-53.20%,9.47%,-25.20%,-48.48%,-0.27%,-7.72%,-3.25%,93.17%,11.41%
"VRNS","NASD","Varonis Systems Inc","Technology","Software - Infrastructure",5302.12,46.18,-2.68%,1621759,2385.56,0.68,-4.17%,38.35%,89.18%,37.77%,40.79%,-11.41%,5.82%,-33.85%,-0.22%,27.39%,55.12%,-5.12%,98.25%,7.11%
"CBZ","NYSE","Cbiz Inc","Industrials","Specialty Business Services",2196.38,40.94,-2.13%,305592,819.90,0.37,0.05%,31.64%,33.92%,-19.39%,-18.85%,-43.67%,6.07%,12.70%,37.21%,1.26%,11.60%,-4.62%,92.53%,7.92%
"MAN","NYSE","ManpowerGroup","Industrials","Staffing & Employment Services",2403.50,51.68,-2.69%,1571260,1199.87,1.31,31.90%,54.04%,62.16%,71.87%,73.83%,22.70%,7.55%,22.11%,178.22%,7.54%,30.24%,-3.53%,115.04%,14.77%
