"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"CLSK","NASD","Cleanspark Inc","Financial","Capital Markets",4005.66,15.61,1.86%,23975555,22920.38,1.05,21.01%,-9.19%,27.85%,21.86%,54.25%,25.38%,8.97%,-388.35%,-208.50%,-24.93%,,5.94%,89.94%,31.91%
"HUT","NASD","Hut 8 Corp","Financial","Capital Markets",13248.95,117.67,7.11%,6124407,4557.07,1.34,28.03%,-2.36%,45.74%,99.64%,156.14%,443.51%,10.34%,-46.80%,-52.18%,225.54%,,1.81%,77.50%,12.44%
"RIOT","NASD","Riot Platforms Inc","Financial","Capital Markets",9022.69,23.86,2.05%,24174843,17322.94,1.40,26.78%,-16.84%,29.11%,38.32%,88.32%,66.39%,9.45%,-3.20%,-60.07%,3.61%,40.43%,6.33%,79.01%,15.55%
"QMCO","NASD","Quantum Corp","Technology","Computer Hardware",454.78,11.55,-0.94%,611032,1063.87,0.57,20.31%,-16.36%,60.86%,60.64%,79.07%,26.23%,9.88%,87.73%,51.26%,30.66%,,-1.31%,4.14%,8.72%
"SMCI","NASD","Super Micro Computer Inc","Technology","Computer Hardware",20182.44,31.20,2.09%,84258043,53304.10,1.58,26.42%,-6.36%,6.92%,-3.23%,6.59%,-39.65%,7.51%,36.07%,314.07%,122.68%,21.39%,8.15%,63.25%,18.32%
"STX","NASD","Seagate Technology Holdings Plc","Technology","Computer Hardware",204801.79,913.36,0.58%,4543098,4597.23,0.99,22.52%,-12.06%,57.51%,165.34%,231.66%,497.91%,8.42%,84.04%,107.51%,44.07%,77.85%,-1.49%,86.03%,2.94%
"UMAC","AMEX","Unusual Machines Inc","Technology","Computer Hardware",1028.53,21.52,9.41%,4927186,5807.56,0.85,29.33%,0.05%,30.82%,26.96%,68.92%,101.31%,9.84%,60.14%,203.99%,296.41%,34.81%,39.34%,57.46%,17.47%
"FCEL","NASD","Fuelcell Energy Inc","Industrials","Electrical Equipment & Parts",1862.36,23.30,3.69%,11681192,12495.15,0.93,34.99%,6.78%,97.46%,149.20%,218.74%,295.59%,13.04%,64.40%,18.77%,-4.86%,57.30%,3.83%,31.82%,13.62%
"CIFR","NASD","Cipher Digital Inc","Technology","Information Technology Services",10561.65,25.82,5.56%,31555163,25606.61,1.23,45.71%,-6.58%,32.82%,45.71%,74.93%,286.53%,11.81%,57.79%,-161.05%,-28.84%,,0.67%,61.66%,16.10%
"NVCR","NASD","NovoCure Ltd","Healthcare","Medical Devices",2315.26,19.99,28.39%,8940979,1698.57,5.26,21.74%,41.47%,53.53%,47.42%,54.60%,21.08%,3.92%,-15.21%,-100.26%,12.30%,24.84%,0.03%,86.52%,11.42%
"CBRS","NASD","Cerebras Systems Inc","Technology","Semiconductors",60992.91,220.00,4.86%,8191417,7801.56,1.05,21.91%,-2.96%,,,-37.14%,,12.64%,,44.27%,94.35%,,46.18%,4.73%,16.90%
"MXL","NASD","MaxLinear Inc","Technology","Semiconductors",8170.17,91.24,5.12%,6966809,5260.15,1.32,22.63%,2.42%,169.22%,357.11%,423.47%,495.56%,10.62%,333.14%,11.61%,43.00%,92.05%,-0.48%,85.61%,4.97%
"NBIS","NASD","Nebius Group NV","Technology","Software - Infrastructure",55607.20,220.97,1.29%,15224694,18140.11,0.84,28.64%,-19.72%,41.52%,123.50%,163.99%,325.93%,11.74%,-44.20%,521.40%,621.52%,-14.09%,15.59%,50.46%,30.20%
