"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"KNSA","NASD","Kiniksa Pharmaceuticals International Plc","Healthcare","Drug Manufacturers - Specialty & Generic",6101.47,78.20,-3.36%,946487,770.10,1.23,24.03%,22.28%,47.58%,80.68%,89.58%,160.15%,7.21%,85.80%,33.30%,55.36%,56.84%,3.45%,60.20%,10.41%,18.99%,33.94%,63.64%
"DXC","NYSE","DXC Technology Co","Technology","Information Technology Services",1821.78,11.24,-4.50%,5437705,5596.46,0.97,21.25%,27.01%,-4.01%,-22.11%,-23.28%,-18.14%,6.15%,-20.67%,-158.64%,-1.23%,3.22%,1.11%,107.91%,20.17%,14.16%,19.84%,-7.87%
"EFOR","NYSE","Everforth Inc","Technology","Information Technology Services",1130.37,27.57,17.77%,1852804,1154.88,1.60,40.38%,54.28%,20.29%,-44.09%,-42.77%,-46.81%,6.62%,-20.06%,-48.00%,-1.33%,6.30%,-2.95%,105.02%,10.56%,41.25%,40.14%,-23.51%
"PRCH","NASD","Porch Group Inc","Financial","Insurance - Property & Casualty",1568.84,14.34,16.02%,4726746,1905.99,2.48,23.30%,-4.65%,41.56%,77.70%,57.06%,12.38%,5.78%,71.43%,136.73%,18.10%,,-1.70%,73.33%,18.08%,5.54%,17.89%,41.42%
"BLKB","NASD","Blackbaud Inc","Technology","Software - Application",1840.96,40.08,-4.98%,1113549,822.98,1.35,28.26%,35.31%,2.66%,-26.95%,-36.70%,-44.03%,8.83%,17.87%,46.30%,3.30%,,0.83%,80.77%,13.73%,23.95%,32.56%,-13.01%
"HUBS","NYSE","HubSpot Inc","Technology","Software - Application",11938.86,233.10,-7.18%,1916559,1927.50,0.99,22.68%,27.72%,2.57%,-26.49%,-41.91%,-56.69%,7.56%,35.10%,248.17%,23.36%,24.50%,3.10%,97.88%,10.18%,8.70%,14.17%,-18.86%
"INTA","NASD","Intapp Inc","Technology","Software - Application",2471.36,32.07,1.26%,968816,981.33,0.99,22.08%,27.21%,38.23%,-12.14%,-30.01%,-21.86%,6.19%,30.94%,-432.52%,13.15%,27.12%,-2.90%,89.58%,7.12%,12.48%,27.52%,3.98%
"MNDY","NASD","Monday.Com Ltd","Technology","Software - Application",3726.89,88.16,-2.32%,2273982,1762.03,1.29,22.89%,21.78%,32.25%,-30.11%,-40.25%,-68.26%,6.55%,4.02%,10.99%,24.45%,11.87%,-10.13%,81.64%,20.24%,8.78%,11.01%,-17.59%
"NAVN","NASD","Navan Inc","Technology","Software - Application",6793.19,26.71,0.56%,2644424,4523.20,0.58,20.15%,16.79%,55.93%,96.83%,56.38%,,7.32%,,66.82%,39.86%,,0.21%,19.55%,9.62%,3.93%,16.21%,62.13%
"PD","NYSE","Pagerduty Inc","Technology","Software - Application",799.76,10.37,-3.62%,1581787,2017.89,0.78,20.16%,7.46%,55.94%,-3.62%,-20.90%,-36.42%,5.37%,13.37%,281.29%,0.97%,5.45%,-0.03%,98.40%,9.94%,2.66%,12.11%,3.03%
"RNG","NYSE","RingCentral Inc","Technology","Software - Application",4465.91,53.48,-7.12%,2349903,2009.58,1.17,38.48%,37.20%,33.07%,98.15%,85.18%,102.35%,10.70%,15.30%,215.14%,5.90%,12.25%,9.92%,102.78%,12.17%,22.13%,28.45%,53.07%
"TEAM","NASD","Atlassian Corp","Technology","Software - Application",24899.70,98.12,-5.91%,3937689,5889.26,0.67,22.42%,26.13%,39.20%,-27.19%,-39.48%,-50.24%,8.02%,48.93%,-39.84%,31.71%,24.95%,11.13%,64.45%,11.20%,7.64%,8.73%,-10.14%
"WDAY","NASD","Workday Inc","Technology","Software - Application",39053.17,158.11,-5.89%,6817062,5152.70,1.32,23.65%,29.15%,29.14%,-16.40%,-26.39%,-33.48%,6.42%,16.64%,246.94%,14.29%,16.82%,1.74%,82.25%,13.76%,10.32%,16.59%,-4.73%
"APPN","NASD","Appian Corp","Technology","Software - Infrastructure",1943.97,26.48,-7.86%,1078734,972.44,1.11,20.58%,15.63%,21.92%,-12.35%,-25.24%,-7.51%,7.02%,61.55%,-30.19%,21.48%,36.75%,-0.71%,50.86%,16.30%,4.86%,11.42%,-5.50%
"FIVN","NASD","Five9 Inc","Technology","Software - Infrastructure",2117.76,27.66,1.82%,6035939,3274.09,1.84,27.20%,29.74%,62.23%,51.40%,37.96%,1.43%,7.97%,9.88%,3234.38%,9.16%,13.13%,-2.63%,101.70%,10.69%,10.55%,19.46%,38.76%
"PATH","NYSE","UiPath Inc","Technology","Software - Infrastructure",6409.15,12.37,-1.75%,66471885,58249.17,1.14,21.27%,13.80%,19.17%,-12.33%,-24.53%,3.00%,6.58%,8.71%,203.89%,17.32%,13.43%,-5.76%,62.51%,28.90%,5.40%,9.89%,-3.43%
"PN","NASD","PN Smart Energy Ltd","Technology","Solar",338.75,23.67,120.80%,8384843,1885.29,4.45,150.74%,527.85%,971.04%,98.47%,63.06%,-68.01%,31.43%,,-2920.83%,43.12%,,-32.10%,0.01%,4.49%,261.07%,385.85%,146.64%
