"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"AVEX","NYSE","AEVEX Corp","Industrials","Aerospace & Defense",2606.15,21.76,-1.85%,962322,2318.19,0.42,21.90%,32.20%,-13.20%,,-5.43%,,8.78%,286.68%,,306.87%,,22.24%,25.20%,14.97%,29.29%,11.67%,-4.74%,-1.09%
"BETA","NYSE","BETA Technologies Inc","Industrials","Aerospace & Defense",5482.76,23.76,1.06%,1893051,1571.92,1.20,22.54%,34.16%,27.19%,43.13%,-15.77%,,5.92%,83.39%,-36.77%,128.38%,47.80%,5.65%,27.27%,5.83%,21.99%,32.19%,13.25%,-0.79%
"KRMN","NYSE","Karman Holdings Inc","Industrials","Aerospace & Defense",8237.84,62.16,6.75%,3929681,3599.14,1.09,23.24%,24.30%,2.17%,-34.82%,-15.05%,35.78%,8.73%,58.60%,106.03%,58.18%,52.47%,20.41%,81.56%,12.10%,24.24%,24.04%,-16.01%,6.75%
"KTOS","NASD","Kratos Defense & Security Solutions Inc","Industrials","Aerospace & Defense",11717.57,62.42,2.72%,4548467,4895.67,0.93,26.84%,29.53%,7.83%,-33.88%,-17.77%,-2.29%,8.77%,49.79%,26.09%,30.53%,38.34%,-1.24%,86.84%,5.61%,24.39%,18.64%,-15.83%,2.50%
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",3424.59,15.78,-3.78%,8815069,13341.08,0.66,20.46%,-2.23%,-45.53%,-9.93%,-2.77%,60.86%,9.36%,45.99%,-135.53%,198.65%,,28.05%,87.38%,27.02%,14.46%,-22.23%,-17.83%,-4.36%
"RCAT","NASD","Red Cat Holdings Inc","Industrials","Aerospace & Defense",1527.14,10.00,8.58%,18402574,12775.89,1.44,21.07%,13.25%,-3.57%,-20.82%,26.10%,7.18%,9.44%,-0.39%,-77.17%,527.26%,-3.53%,11.04%,48.14%,23.60%,22.87%,0.60%,-9.08%,7.64%
"RDW","NYSE","Redwire Corp","Industrials","Aerospace & Defense",3279.90,13.12,-3.46%,18848436,37164.56,0.51,36.10%,28.88%,18.52%,30.68%,72.63%,45.94%,10.43%,66.39%,86.71%,89.56%,57.50%,8.15%,53.33%,18.42%,36.11%,5.21%,29.71%,-2.02%
"SPCX","NASD","Space Exploration Technologies Corp","Industrials","Aerospace & Defense",1840426.89,138.74,4.23%,168520609,124128.06,1.36,21.14%,-4.51%,,,-7.51%,,11.19%,,,,,76.65%,1.86%,25.13%,14.83%,-2.11%,-2.11%,2.81%
"VOYG","NYSE","Voyager Technologies Inc","Industrials","Aerospace & Defense",2624.25,43.00,2.75%,2079688,2392.86,0.87,53.52%,38.00%,44.59%,60.03%,64.50%,39.61%,12.20%,-52.20%,-27.98%,15.48%,33.46%,30.02%,74.75%,19.46%,48.37%,25.86%,44.01%,0.05%
"FIGS","NYSE","Figs Inc","Consumer Cyclical","Apparel Manufacturing",2390.76,14.39,0.91%,5086306,3414.59,1.49,32.26%,43.33%,23.73%,33.99%,26.67%,131.35%,7.44%,79.94%,253.77%,28.81%,24.88%,2.88%,91.64%,13.21%,34.46%,30.79%,20.87%,0.00%
"AAOI","NASD","Applied Optoelectronics Inc","Technology","Communication Equipment",11231.64,132.81,-2.08%,18446754,12270.89,1.50,20.51%,10.75%,-10.83%,199.80%,280.98%,515.15%,14.66%,434.07%,-74.24%,86.42%,,4.91%,70.90%,12.43%,21.17%,-3.41%,42.98%,-6.29%
"CRSR","NASD","Corsair Gaming Inc","Technology","Computer Hardware",1483.11,13.71,-4.46%,2944261,2795.14,1.05,26.94%,41.93%,73.98%,165.18%,130.81%,51.83%,9.06%,43.80%,138.92%,-1.80%,11.26%,1.80%,37.77%,23.49%,28.78%,39.41%,91.99%,-7.74%
"P","NYSE","Everpure Inc","Technology","Computer Hardware",32569.04,97.98,8.81%,5126972,3331.12,1.54,22.26%,23.51%,25.36%,38.02%,46.22%,67.26%,5.90%,18.37%,263.40%,35.25%,21.27%,-1.59%,83.67%,3.32%,26.76%,28.76%,32.15%,4.52%
"TWST","NASD","Twist Bioscience Corp","Healthcare","Diagnostics & Research",7830.91,124.88,7.96%,2641278,1751.55,1.51,23.57%,37.78%,119.67%,153.61%,293.69%,387.05%,11.68%,-66.14%,-268.48%,23.24%,14.99%,3.13%,121.22%,23.48%,28.81%,39.71%,127.18%,9.97%
"AUGO","NASD","Aura Minerals Inc","Basic Materials","Gold",6388.93,76.25,2.86%,1074222,1025.28,1.05,34.69%,25.39%,-7.14%,15.55%,51.24%,190.48%,6.48%,268.77%,2271.56%,76.42%,68.85%,2.42%,33.41%,13.63%,31.90%,25.21%,19.47%,2.43%
"HYMC","NASD","Hycroft Mining Holding Corp","Basic Materials","Gold",2542.93,27.29,2.83%,1855327,2110.12,0.88,32.35%,27.64%,-29.01%,-21.10%,14.81%,688.73%,6.70%,-18.69%,46.70%,,36.37%,20.83%,35.34%,25.51%,27.97%,15.17%,-3.40%,3.76%
"OMDA","NASD","Omada Health Inc","Healthcare","Health Information Services",1485.62,24.99,5.58%,2733156,1313.82,2.08,21.84%,7.35%,68.62%,114.51%,58.37%,31.39%,7.86%,198.62%,189.42%,43.12%,,-3.60%,63.61%,28.64%,15.39%,22.41%,47.48%,4.41%
"TXG","NASD","10x Genomics Inc","Healthcare","Health Information Services",7435.82,58.57,12.57%,5992673,3200.71,1.87,24.59%,37.07%,171.16%,214.72%,259.10%,376.57%,7.51%,-105.07%,-149.75%,-12.65%,-3.32%,0.28%,98.56%,14.37%,23.82%,48.10%,139.27%,12.83%
"IT","NYSE","Gartner Inc","Technology","Information Technology Services",12198.49,193.17,4.08%,1666490,1586.33,1.05,27.48%,44.98%,21.76%,23.57%,-23.43%,-15.65%,8.44%,10.38%,32.94%,-0.62%,13.15%,-0.52%,119.35%,18.67%,24.94%,30.32%,5.99%,5.68%
"FWRD","NASD","Forward Air Corp","Industrials","Integrated Freight & Logistics",634.07,18.77,-3.00%,521523,1344.26,0.39,27.95%,40.28%,90.17%,-37.20%,-24.92%,-37.95%,7.91%,56.64%,-1443.46%,8.76%,,-4.22%,75.23%,8.24%,24.08%,37.58%,-4.29%,-1.42%
"BBNX","NASD","Beta Bionics Inc","Healthcare","Medical Devices",737.83,16.40,3.14%,1316056,1079.34,1.22,22.85%,-3.70%,69.95%,25.38%,-46.18%,11.26%,9.63%,-18.25%,-35.38%,37.76%,2.77%,-3.12%,102.84%,19.61%,4.48%,7.93%,-5.65%,4.73%
"ALOY","NASD","REalloys Inc","Basic Materials","Other Industrial Metals & Mining",893.14,12.98,5.83%,4638642,2770.62,1.67,31.43%,5.74%,31.29%,20.90%,60.41%,98.55%,15.77%,-86.67%,-746.70%,20.26%,,61.66%,15.22%,10.27%,38.90%,6.68%,19.83%,-0.54%
"MP","NYSE","MP Materials Corp","Basic Materials","Other Industrial Metals & Mining",9730.69,54.66,6.95%,10583356,6210.16,1.70,24.68%,4.69%,-18.94%,-10.77%,8.19%,-26.45%,7.33%,130.81%,39.60%,119.66%,,4.37%,72.26%,19.75%,19.79%,3.42%,-5.96%,3.51%
"USAR","NASD","USA Rare Earth Inc","Basic Materials","Other Industrial Metals & Mining",4659.47,19.04,-1.50%,16178365,14060.10,1.15,20.05%,3.03%,-29.38%,-12.82%,60.00%,17.10%,8.72%,37.34%,-155.23%,,,16.98%,51.36%,12.97%,18.65%,-3.74%,-1.08%,-1.96%
"PPTA","NASD","Perpetua Resources Corp","Basic Materials","Other Precious Metals & Mining",3113.61,24.89,0.69%,1097473,1616.53,0.68,30.52%,28.03%,-16.89%,-11.42%,2.81%,47.28%,5.10%,21.99%,-235.63%,,,1.50%,69.73%,10.19%,28.70%,16.82%,-5.66%,1.34%
"BLMN","NASD","Bloomin Brands Inc","Consumer Cyclical","Restaurants",943.54,11.02,0.64%,1834656,2341.50,0.78,21.90%,32.13%,35.71%,55.87%,78.61%,66.21%,7.96%,-14.18%,30.33%,1.34%,3.45%,-4.49%,92.47%,9.58%,21.57%,29.90%,54.80%,1.19%
"WOLF","NYSE","Wolfspeed Inc","Technology","Semiconductors",1522.78,29.30,-10.86%,4534440,7006.53,0.65,20.33%,-16.97%,-37.12%,86.15%,68.29%,-83.47%,12.05%,-272.59%,-64.54%,-18.99%,,9.52%,92.61%,70.70%,6.66%,-25.98%,3.27%,-11.21%
"EXK","NYSE","Endeavour Silver Corp","Basic Materials","Silver",3032.47,10.24,7.34%,10045772,6888.35,1.46,32.47%,26.73%,2.09%,-9.86%,8.94%,88.93%,5.01%,3928.57%,381.97%,149.32%,,5.42%,56.72%,6.91%,25.74%,22.72%,7.12%,6.78%
"AMPL","NASD","Amplitude Inc","Technology","Software - Application",1522.72,12.19,8.26%,2832445,2577.09,1.10,28.05%,32.79%,90.77%,68.60%,5.27%,5.72%,5.90%,14.09%,-42.49%,21.16%,65.70%,-1.67%,64.53%,10.14%,28.11%,44.55%,42.09%,9.62%
"APPS","NASD","Digital Turbine Inc","Technology","Software - Application",1741.42,14.39,0.35%,3115024,6358.23,0.49,59.89%,36.27%,256.19%,246.75%,187.80%,230.80%,13.88%,29.46%,29.02%,26.78%,,-4.21%,61.39%,9.96%,47.51%,43.90%,143.83%,0.84%
"BSP","NASD","Bending Spoons S.p.A","Technology","Software - Application",32669.33,51.43,15.70%,7001678,3133.79,2.23,41.99%,56.27%,,,65.90%,,12.53%,,,,,162.08%,11.51%,3.71%,41.70%,42.76%,42.76%,15.68%
"CHYM","NASD","Chime Financial Inc","Technology","Software - Application",11679.35,30.85,6.01%,8328414,6082.93,1.37,27.16%,47.47%,67.44%,41.64%,22.57%,6.78%,8.36%,109.48%,102.84%,10.61%,,7.01%,47.03%,13.65%,30.19%,48.72%,43.76%,5.87%
"FSLY","NASD","Fastly Inc","Technology","Software - Application",4420.58,27.75,20.86%,14326161,6648.05,2.15,20.49%,41.65%,35.30%,223.80%,172.59%,297.00%,8.92%,303.76%,61.59%,23.27%,73.85%,16.87%,88.49%,17.26%,27.17%,39.97%,61.17%,23.61%
"MNTN","NYSE","MNTN Inc","Technology","Software - Application",853.83,11.55,3.96%,1280552,1184.81,1.08,21.20%,10.00%,34.93%,43.66%,-3.27%,-47.09%,7.92%,733.20%,124.90%,20.56%,,1.77%,38.39%,11.12%,19.89%,20.63%,8.59%,4.15%
"SHOP","NASD","Shopify Inc","Technology","Software - Application",201369.32,155.18,2.38%,10622541,10455.78,1.02,32.62%,26.64%,40.55%,38.49%,-3.60%,3.72%,5.35%,33.13%,67.20%,33.69%,32.29%,1.88%,63.92%,2.20%,21.51%,29.26%,17.03%,3.15%
"TEAM","NASD","Atlassian Corp","Technology","Software - Application",38539.73,151.87,1.88%,8644666,5234.84,1.65,46.44%,70.91%,65.80%,60.34%,-6.33%,-9.63%,5.81%,-4.78%,703.74%,27.60%,13.98%,3.35%,64.85%,11.20%,48.62%,60.08%,40.67%,1.70%
"U","NYSE","Unity Software Inc","Technology","Software - Application",18967.83,43.10,0.23%,14598515,9434.30,1.55,29.12%,39.53%,53.05%,71.64%,-2.42%,29.62%,8.51%,21.66%,79.32%,23.93%,,-0.09%,66.73%,9.42%,30.79%,41.45%,36.92%,0.84%
"AEVA","NASD","Aeva Technologies Inc","Technology","Software - Infrastructure",1651.33,23.69,-11.01%,2234985,2335.65,0.96,28.68%,12.86%,74.58%,91.05%,78.39%,79.74%,12.30%,10.86%,64.76%,11.34%,15.34%,-0.75%,56.34%,10.13%,29.63%,9.46%,42.22%,-8.39%
"APPN","NASD","Appian Corp","Technology","Software - Infrastructure",2548.53,35.58,2.71%,788735,939.18,0.84,28.40%,40.30%,62.32%,41.13%,0.45%,22.31%,10.07%,77.28%,-3759.52%,19.11%,37.33%,0.11%,51.61%,17.02%,30.72%,42.19%,26.65%,5.89%
"ARQQ","NASD","Arqit Quantum Inc","Technology","Software - Infrastructure",393.47,22.61,-1.27%,206310,856.55,0.24,22.55%,18.50%,51.14%,21.62%,3.34%,-30.06%,10.39%,,,,,4.24%,24.64%,46.90%,21.28%,16.09%,8.16%,-1.70%
"BAND","NASD","Bandwidth Inc","Technology","Software - Infrastructure",1696.25,52.71,5.50%,935072,1356.00,0.69,21.26%,-30.17%,5.65%,292.48%,241.17%,294.24%,10.09%,22.38%,56.67%,22.16%,21.74%,1.87%,73.86%,12.37%,-5.58%,-12.16%,73.41%,7.18%
"BLZE","NASD","Backblaze Inc","Technology","Software - Infrastructure",1192.82,19.27,2.39%,4772428,3154.84,1.51,23.60%,9.49%,157.62%,370.00%,313.52%,169.89%,13.07%,206.12%,34.40%,17.67%,1.20%,-3.35%,49.66%,4.48%,30.55%,50.99%,173.61%,1.23%
"PLTR","NASD","Palantir Technologies Inc","Technology","Software - Infrastructure",421094.00,175.23,1.87%,56883494,43359.40,1.31,39.46%,38.20%,27.16%,28.94%,-1.42%,-6.27%,6.74%,112.35%,221.57%,92.83%,66.12%,-0.99%,57.25%,3.54%,27.63%,31.52%,15.10%,2.47%
"RBRK","NYSE","Rubrik Inc","Technology","Software - Infrastructure",20152.64,97.91,8.70%,5981173,3563.02,1.68,31.00%,16.03%,57.06%,91.72%,28.02%,12.01%,4.93%,3204.08%,61.43%,38.99%,,-2.26%,59.00%,8.90%,24.25%,25.99%,46.70%,7.81%
"TWLO","NYSE","Twilio Inc","Technology","Software - Infrastructure",37952.57,250.06,3.64%,3366928,2436.14,1.38,27.20%,16.55%,23.98%,117.41%,75.80%,153.43%,6.07%,20.64%,4659.40%,22.03%,16.84%,-1.06%,91.36%,2.79%,23.85%,22.23%,63.74%,2.27%
"ZETA","NYSE","Zeta Global Holdings Corp","Technology","Software - Infrastructure",6864.55,27.54,3.38%,7166346,9475.51,0.76,22.07%,28.15%,60.68%,63.06%,35.33%,47.04%,8.14%,32.77%,154.07%,43.55%,24.76%,0.64%,77.19%,14.37%,22.25%,27.79%,44.57%,3.49%
"TIC","NYSE","TIC Solutions Inc","Industrials","Specialty Business Services",2254.22,10.33,2.68%,4320116,2077.77,2.08,31.76%,37.18%,4.24%,8.17%,2.18%,10.25%,8.86%,56.63%,-3105.26%,86.14%,,-12.55%,148.84%,16.11%,35.47%,30.14%,13.06%,2.28%
