"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"ARXS","NASD","Arxis Inc","Industrials","Aerospace & Defense",24255.26,58.10,-0.02%,682252,1038.37,0.66,-2.52%,35.12%,60.23%,,52.89%,,5.34%,37.98%,,,47.36%,5.22%,1.40%,3.31%,17.22%,27.58%,37.84%,-1.11%
"AXON","NASD","Axon Enterprise Inc","Industrials","Aerospace & Defense",48724.58,599.78,-5.74%,1077855,1096.88,0.98,-1.59%,9.60%,52.36%,34.19%,5.61%,-21.96%,10.46%,12.61%,-19.00%,35.28%,26.81%,1.53%,85.85%,4.66%,9.53%,15.23%,17.37%,-4.64%
"HPE","NYSE","Hewlett Packard Enterprise Co","Technology","Communication Equipment",77849.93,58.79,8.11%,22320545,26329.95,0.85,10.47%,18.62%,94.60%,145.26%,144.75%,175.75%,5.68%,76.43%,153.39%,40.64%,31.71%,-0.52%,92.91%,4.94%,18.97%,21.55%,91.75%,5.53%
"CRSR","NASD","Corsair Gaming Inc","Technology","Computer Hardware",1397.65,12.92,0.70%,1774065,2791.21,0.64,15.36%,33.89%,72.27%,149.90%,117.51%,38.92%,11.08%,43.80%,138.92%,-1.80%,11.26%,1.80%,37.34%,25.33%,17.70%,30.81%,79.76%,-0.92%
"DELL","NYSE","Dell Technologies Inc","Technology","Computer Hardware",314092.16,484.50,9.87%,6207646,8633.35,0.72,4.71%,5.89%,102.77%,284.49%,284.89%,242.06%,6.49%,81.11%,281.26%,87.49%,36.82%,-3.18%,38.98%,4.37%,13.67%,15.48%,113.91%,5.49%
"QMCO","NASD","Quantum Corp","Technology","Computer Hardware",864.26,21.93,13.07%,5025770,1383.31,3.63,89.42%,118.04%,145.36%,256.09%,240.08%,195.22%,14.28%,117.29%,-277.09%,25.69%,,1.54%,17.43%,9.82%,81.28%,78.51%,159.90%,9.13%
"UMAC","AMEX","Unusual Machines Inc","Technology","Computer Hardware",1350.32,27.03,4.08%,4336881,5962.42,0.73,5.05%,44.70%,91.43%,114.52%,112.17%,154.76%,10.14%,63.51%,49.95%,687.32%,31.29%,65.62%,64.90%,20.82%,23.87%,20.19%,67.63%,-0.99%
"KSS","NYSE","Kohl's Corp","Consumer Cyclical","Department Stores",2185.22,19.27,4.22%,3730844,4748.51,0.79,-1.98%,17.29%,51.37%,11.39%,-5.59%,50.19%,4.86%,-10.96%,7.48%,-2.04%,-2.01%,-0.70%,110.66%,28.49%,2.67%,8.56%,12.60%,4.11%
"ADPT","NASD","Adaptive Biotechnologies Corp","Healthcare","Diagnostics & Research",4029.80,25.25,-0.55%,1706500,2895.35,0.59,2.64%,17.83%,85.25%,61.45%,55.48%,99.45%,4.25%,-39.74%,-47.80%,21.53%,,-1.04%,94.99%,8.07%,8.08%,21.16%,49.46%,-0.36%
"CDNA","NASD","Caredx Inc","Healthcare","Diagnostics & Research",2447.55,47.31,0.17%,984911,1011.90,0.97,3.98%,63.53%,121.07%,130.00%,151.11%,279.70%,4.04%,109.20%,1412.42%,52.23%,49.46%,-1.71%,97.75%,13.12%,13.67%,46.55%,112.82%,-0.34%
"NEO","NASD","Neogenomics Inc","Healthcare","Diagnostics & Research",2109.57,16.42,-0.67%,1047085,2766.81,0.38,4.39%,15.39%,87.66%,42.78%,39.63%,170.07%,3.71%,52.27%,104.85%,11.21%,57.44%,1.91%,109.11%,13.28%,8.44%,20.26%,48.19%,0.12%
"PSNL","NASD","Personalis Inc","Healthcare","Diagnostics & Research",1517.62,14.21,1.36%,1549448,3951.51,0.39,5.10%,-5.46%,135.26%,64.85%,78.52%,210.94%,4.89%,-16.85%,-32.61%,29.96%,9.11%,0.98%,62.83%,12.11%,7.28%,13.38%,54.04%,1.28%
"TWST","NASD","Twist Bioscience Corp","Healthcare","Diagnostics & Research",8242.88,125.21,1.70%,1605827,1774.70,0.90,8.87%,35.32%,123.79%,155.22%,294.74%,356.14%,7.75%,-66.14%,-268.48%,23.24%,14.99%,3.13%,121.22%,23.41%,25.07%,36.60%,124.00%,1.01%
"WGS","NASD","GeneDx Holdings Corp","Healthcare","Diagnostics & Research",2457.07,82.39,0.80%,506396,1040.31,0.49,17.85%,31.97%,108.64%,-13.07%,-36.65%,-29.22%,8.11%,-92.86%,-264.35%,11.44%,9.47%,-0.76%,117.47%,21.24%,22.05%,28.52%,-7.59%,0.35%
"AMLX","NASD","Amylyx Pharmaceuticals Inc","Healthcare","Drug Manufacturers - Specialty & Generic",2601.73,23.35,-1.18%,1454081,1645.13,0.88,6.86%,28.30%,61.70%,56.82%,93.29%,184.76%,7.83%,3.65%,16.00%,,22.04%,2.62%,96.45%,14.10%,15.37%,31.19%,54.25%,-2.14%
"MEI","NYSE","Methode Electronics Inc","Technology","Electronic Components",601.99,16.96,1.25%,636766,981.90,0.65,-1.74%,-2.64%,81.20%,87.61%,155.42%,143.33%,9.33%,53.47%,101.43%,15.95%,,0.97%,93.68%,6.72%,9.37%,14.30%,79.78%,-2.08%
"OUST","NASD","Ouster Inc","Technology","Electronic Components",3325.82,46.12,2.19%,2746998,4871.06,0.56,2.22%,9.89%,70.18%,129.91%,113.12%,60.70%,10.32%,-1102.52%,27.46%,55.86%,,-2.57%,42.23%,9.01%,16.63%,8.16%,58.37%,-0.92%
"WNC","NYSE","Wabash National Corp","Industrials","Farm & Heavy Construction Machinery",507.17,12.45,0.48%,1033483,1123.71,0.92,-2.05%,-7.23%,79.14%,8.64%,43.93%,17.56%,4.51%,-2.24%,-143.54%,-9.06%,,-0.97%,98.62%,11.77%,-3.37%,4.86%,27.90%,-1.19%
"HNGE","NYSE","Hinge Health Inc","Healthcare","Health Information Services",6965.54,86.32,-3.02%,1369167,1942.43,0.70,6.84%,-3.35%,56.32%,161.18%,85.83%,54.17%,8.90%,-10.25%,107.01%,53.00%,17.93%,6.39%,57.79%,16.01%,6.33%,11.66%,62.47%,-3.12%
"OMDA","NASD","Omada Health Inc","Healthcare","Health Information Services",1459.40,23.84,-0.71%,1552408,1313.19,1.18,24.75%,1.71%,59.89%,110.41%,51.08%,23.59%,9.04%,198.62%,189.42%,43.12%,,-3.60%,61.78%,26.59%,9.91%,15.48%,40.81%,-0.67%
"TXG","NASD","10x Genomics Inc","Healthcare","Health Information Services",7524.32,57.75,-1.25%,3743250,3242.17,1.15,21.68%,26.12%,176.05%,201.57%,254.08%,350.82%,10.06%,-112.62%,-149.75%,-12.65%,-6.16%,0.28%,96.10%,13.43%,18.98%,41.84%,131.63%,-1.47%
"ELF","NYSE","e.l.f. Beauty Inc","Consumer Defensive","Household & Personal Products",5465.32,92.62,-2.49%,1845539,3610.85,0.51,7.24%,28.19%,66.40%,26.43%,21.80%,-20.67%,6.01%,15.39%,93.06%,35.52%,11.36%,-0.51%,98.16%,14.08%,9.94%,26.70%,21.98%,-1.52%
"EFOR","NYSE","Everforth Inc","Technology","Information Technology Services",1341.52,32.72,-0.34%,1240336,1107.29,1.12,3.41%,91.23%,83.00%,-33.68%,-32.07%,-35.03%,5.69%,-20.41%,-48.00%,-1.33%,5.88%,-4.18%,107.24%,11.67%,27.60%,50.88%,-7.45%,1.61%
