"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"JEM","NASD","707 Cayman Holdings Ltd","Consumer Cyclical","Apparel Retail",,5.29,-3.64%,122641,401.75,0.31,-60.64%,-79.87%,-70.81%,-87.90%,-87.53%,-99.40%,27.82%,,,,,7.38%,,
"SDOT","NASD","Sadot Group Inc","Consumer Defensive","Farm Products",10.61,14.25,-6.56%,643464,3267.21,0.20,-46.65%,-39.28%,-54.33%,-79.17%,-41.12%,-94.48%,28.95%,,-250.07%,-100.00%,,0.12%,0.63%,13.51%
"SNWV","NASD","Sanuwave Health Inc","Healthcare","Medical Devices",57.18,6.65,-8.53%,789425,181.99,4.34,-45.02%,-54.67%,-63.60%,-76.72%,-77.71%,-81.02%,21.05%,,74.77%,2.97%,,3.16%,57.59%,7.76%
"FAC","NASD","Factorial Energy Inc","Industrials","Electrical Equipment & Parts",597.19,5.58,-8.07%,325676,470.78,0.69,-42.83%,-64.12%,-45.75%,-45.86%,-45.80%,-44.26%,35.08%,,8216.67%,,,,28.09%,0.75%
"STFS","NASD","Star Fashion Culture Holdings Ltd","Communication Services","Advertising Agencies",12.14,10.17,-37.98%,47276,268.64,0.18,-39.13%,24.33%,152.37%,154.01%,153.50%,-83.38%,28.74%,,26.86%,34.12%,,1.78%,2.54%,5.03%
"AIAI","NASD","AIAI Holdings Corp","Industrials","Conglomerates",539.94,6.93,-16.91%,217075,384.41,0.56,-38.56%,-53.30%,,,-42.25%,,15.53%,,,,,4.20%,,1.51%
"GRRR","NASD","Gorilla Technology Group Inc","Technology","Software - Infrastructure",318.66,11.48,-3.45%,2637184,1466.82,1.80,-37.40%,-34.36%,-7.72%,-10.87%,5.13%,-43.77%,15.26%,-591.70%,-507.27%,54.61%,,-1.07%,13.12%,15.06%
"ZSQR","NASD","Z Squared Inc","Technology","Software - Infrastructure",280.53,5.45,5.42%,702361,447.60,1.57,-35.81%,-57.32%,-58.04%,-62.10%,-61.75%,-44.25%,25.80%,,34.74%,80.95%,,4.05%,1.04%,3.46%
"JLHL","NASD","Julong Holding Ltd","Industrials","Building Products & Equipment",181.02,8.44,-21.49%,757144,2107.08,0.36,-34.01%,-60.21%,37.01%,107.37%,109.43%,121.52%,120.77%,,62.93%,61.71%,,-47.82%,0.03%,1.30%
"WYFI","NASD","Whitefiber Inc","Technology","Information Technology Services",996.24,25.80,-11.58%,2861402,2215.49,1.29,-33.57%,-13.94%,61.35%,39.99%,63.29%,,16.34%,-4.08%,-933.33%,46.00%,,-2.31%,21.29%,42.45%
"BGDE","NASD","Big Digital Energy Inc","Financial","Capital Markets",29.05,5.26,-17.30%,186260,172.54,1.08,-32.30%,-38.69%,-16.11%,17.41%,24.94%,-49.74%,15.03%,,134.79%,-65.11%,,24.03%,1.20%,6.07%
"VELO","NASD","Velo3D Inc","Technology","Computer Hardware",308.29,10.35,-7.72%,2242249,3855.94,0.58,-29.29%,-55.20%,-8.37%,-48.49%,-24.71%,37.97%,12.10%,78.68%,85.25%,48.24%,58.48%,3.80%,24.96%,36.15%
"RGNX","NASD","Regenxbio Inc","Healthcare","Biotechnology",579.01,11.20,-8.72%,1787839,1982.33,0.90,-28.43%,58.42%,19.66%,-25.58%,-22.22%,31.76%,8.93%,26.96%,-1551.90%,-92.82%,18.88%,-1.14%,79.28%,22.51%
"ABSI","NASD","Absci Corp","Healthcare","Biotechnology",1394.17,8.23,-15.68%,7414806,6062.98,1.22,-28.25%,13.20%,159.62%,148.64%,135.82%,200.36%,7.48%,10.95%,8.60%,-81.76%,19.27%,1.39%,69.11%,25.49%
