"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"FFAI","NASD","Faraday Future Intelligent Electric Inc","Consumer Cyclical","Auto Manufacturers",15.76,6.49,-39.66%,1113196,152.25,7.31,-67.66%,-82.96%,-89.02%,-95.80%,-95.76%,-98.56%,33.96%,74.20%,-33.75%,62.03%,,3.08%,11.51%,14.68%,-74.91%,-83.54%,-93.75%
"VEEE","NASD","Twin Vee PowerCats Co","Consumer Cyclical","Recreational Vehicles",7.41,12.97,-10.55%,235003,2275.46,0.10,-66.49%,154.31%,78.57%,-77.09%,-79.85%,-84.96%,30.22%,,67.74%,9.76%,,25.78%,4.93%,54.36%,-18.23%,28.41%,-65.94%
"QMLS","NASD","QumulusAI Inc","Technology","Software - Infrastructure",235.33,7.16,-12.68%,309358,851.96,0.36,-49.86%,,,,-81.16%,,52.31%,,-834.02%,76.07%,,90.18%,3.47%,,-34.51%,-34.51%,-34.51%
"DBGI","NASD","Digital Brands Group Inc","Consumer Cyclical","Apparel Retail",7.42,12.90,-35.63%,112995,131.69,0.86,-49.28%,-55.97%,-78.78%,-95.74%,-97.46%,-97.31%,29.27%,,-16.04%,-29.69%,,4.65%,4.27%,11.37%,-51.44%,-56.87%,-93.52%
"HQ","NASD","Horizon Quantum Holdings Ltd","Technology","Software - Infrastructure",372.45,11.70,-14.85%,321281,680.72,0.47,-47.56%,-58.82%,1.74%,-9.30%,-9.93%,-9.16%,19.87%,-40.74%,92.50%,,-28.28%,126.24%,5.36%,9.99%,-45.33%,-35.49%,-12.97%
"JLHL","NASD","Julong Holding Ltd","Industrials","Building Products & Equipment",130.41,6.08,-2.09%,226489,2139.07,0.11,-34.97%,-54.11%,-36.40%,41.40%,50.87%,24.08%,15.40%,,62.93%,61.71%,,-47.82%,0.03%,24.61%,-32.75%,-67.42%,-31.91%
"SDOT","NASD","Sadot Group Inc","Consumer Defensive","Farm Products",17.91,17.52,-8.32%,173921,3803.07,0.05,-30.75%,141.66%,-45.93%,-72.28%,-27.60%,-92.04%,24.73%,,-250.07%,-100.00%,,0.12%,0.63%,8.67%,-38.35%,3.31%,-62.83%
"CTEV","NYSE","Claritev Corp","Healthcare","Health Information Services",368.40,21.61,-7.13%,69062,151.06,0.46,-28.89%,-29.12%,6.45%,-28.09%,-49.45%,-48.20%,9.41%,7.93%,-0.55%,5.77%,8.97%,-3.46%,56.99%,11.29%,-28.51%,-22.28%,-32.97%
"LBRT","NYSE","Liberty Energy Inc","Energy","Oil & Gas Equipment & Services",2833.00,17.36,-11.52%,14256034,3794.45,3.76,-27.18%,-33.77%,-46.29%,-19.29%,-5.96%,33.95%,11.85%,76.11%,-40.52%,14.01%,70.12%,6.66%,106.69%,9.38%,-27.89%,-36.97%,-28.11%
"ACI","NYSE","Albertsons Companies Inc","Consumer Defensive","Grocery Stores",5402.26,11.03,-3.58%,21368908,7540.50,2.83,-27.00%,-21.94%,-34.58%,-35.80%,-35.76%,-46.30%,4.73%,-11.90%,-58.62%,0.24%,-1.61%,-1.02%,66.68%,15.38%,-21.43%,-26.19%,-34.42%
"CLRO","NASD","ClearOne Inc","Technology","Communication Equipment",14.29,5.34,-3.61%,33556,3360.67,0.01,-26.85%,94.89%,70.88%,-22.16%,4.91%,-6.64%,11.91%,,88.11%,-100.00%,,1.12%,4.57%,19.26%,-20.99%,13.73%,7.29%
"ZVRA","NASD","Zevra Therapeutics Inc","Healthcare","Biotechnology",563.07,9.52,-23.92%,6941222,1688.91,4.11,-25.41%,-27.18%,-5.79%,4.90%,6.31%,-18.38%,7.09%,-20.58%,1152.36%,77.54%,4.14%,7.57%,71.69%,13.37%,-27.71%,-22.64%,-6.01%
"SSTK","NYSE","Shutterstock Inc","Communication Services","Internet Content & Information",205.00,5.58,-3.13%,1323532,793.52,1.67,-24.70%,-60.68%,-68.76%,-71.09%,-70.79%,-72.02%,12.39%,,-352.96%,-17.91%,,-12.59%,62.41%,4.91%,-37.46%,-54.80%,-67.82%
