"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"BANL","NASD","CBL International Ltd","Energy","Oil & Gas Midstream",13.58,6.47,-28.19%,88179,115.16,0.77,-57.55%,73.83%,29.40%,-16.01%,12.68%,-27.85%,27.67%,,271.55%,63.97%,,-5.09%,0.77%,18.04%,-44.97%,-14.16%,1.87%,-25.55%
"PSQL","NASD","Pasqal Holding SA","Technology","Computer Hardware",1706.84,8.04,1.01%,1833732,416.94,4.40,-53.53%,-20.94%,-22.99%,-20.08%,-19.20%,,33.07%,,,,,,11.64%,,-27.52%,-24.16%,-22.23%,-1.95%
"ALMS","NASD","Alumis Inc","Healthcare","Biotechnology",1412.38,10.58,-4.68%,4486730,1988.03,2.26,-51.49%,-61.67%,-44.29%,-60.58%,8.40%,144.91%,12.31%,-14.16%,-243.88%,-37.66%,10.01%,3.49%,66.12%,6.08%,-48.75%,-57.69%,-52.38%,-4.25%
"RARE","NASD","Ultragenyx Pharmaceutical Inc","Healthcare","Biotechnology",1467.00,14.88,-2.75%,5911049,2966.43,1.99,-40.98%,-42.57%,-31.08%,-34.19%,-35.30%,-52.78%,5.34%,31.44%,22.67%,28.53%,71.02%,1.01%,105.48%,17.67%,-39.11%,-45.68%,-42.56%,-1.44%
"FCUV","NASD","Focus Universal Inc","Technology","Scientific & Technical Instruments",4.15,5.91,-65.24%,1354341,3666.10,0.37,-40.00%,13.65%,96.97%,-66.11%,-81.76%,-93.28%,30.91%,,66.36%,1811.04%,,13.31%,4.75%,4.63%,-38.28%,-7.44%,-77.75%,-27.93%
"MF","NASD","MindForge Inc","Communication Services","Advertising Agencies",26.60,13.30,14.07%,65837,1281.13,0.05,-38.68%,35.58%,318.90%,-70.93%,-73.40%,-82.33%,28.50%,,-300.92%,-32.59%,,20.63%,0.56%,1.27%,-10.14%,35.41%,-53.28%,12.24%
"VACI","NYSE","Viking Acquisition Corp I","Financial","Shell Companies",214.59,6.85,-2.97%,34863,187.86,0.19,-34.82%,-32.45%,-33.11%,-30.81%,-30.81%,,22.34%,,4566.67%,,,,68.22%,0.03%,-30.27%,-31.66%,-31.81%,-3.93%
"RTB","NASD","RTB Digital Inc","Technology","Software - Application",124.53,8.89,-22.29%,297466,140.92,2.11,-34.00%,-47.71%,122.81%,61.05%,56.69%,-14.36%,10.66%,,80.44%,-16.35%,,92.90%,5.18%,6.99%,-35.52%,-41.80%,0.86%,-21.81%
"CXM","NYSE","Sprinklr Inc","Technology","Software - Application",1288.55,5.55,-6.09%,4524706,3617.73,1.25,-32.40%,-19.10%,2.78%,-5.61%,-28.66%,-29.84%,8.28%,-2.76%,-37.58%,0.80%,5.92%,-12.43%,50.42%,9.00%,-21.72%,-13.05%,-10.35%,-4.64%
"EGAN","NASD","eGain Corp","Technology","Software - Application",143.02,5.21,-10.79%,711514,189.30,3.76,-30.16%,-28.92%,-30.16%,-46.01%,-49.37%,-32.51%,4.90%,-88.65%,-95.74%,-4.67%,,-1.13%,53.15%,8.47%,-26.92%,-24.19%,-37.75%,-8.44%
"PSNY","NASD","Polestar Automotive Holding UK PLC ADR","Consumer Cyclical","Auto Manufacturers",1458.09,8.93,-3.04%,504119,168.20,3.00,-29.07%,-37.25%,-54.55%,-44.91%,-58.21%,-71.10%,12.63%,51.27%,65.78%,16.11%,18.23%,25.86%,23.58%,1.48%,-28.79%,-38.92%,-49.11%,-3.04%
"GWRE","NYSE","Guidewire Software Inc","Technology","Software - Application",12464.31,149.71,-7.83%,2841400,1585.37,1.79,-26.88%,-12.21%,17.71%,-8.32%,-25.52%,-42.83%,4.52%,22.14%,-37.66%,15.29%,25.88%,-0.51%,102.53%,5.62%,-19.11%,-7.22%,-4.49%,-6.73%
"CRDO","NASD","Credo Technology Group Holding Ltd","Technology","Semiconductors",31528.93,167.75,-1.65%,10217666,7683.75,1.33,-25.84%,-32.87%,-24.53%,44.64%,16.58%,13.71%,8.70%,81.15%,93.83%,114.73%,52.03%,-2.81%,71.76%,3.62%,-25.72%,-26.69%,-4.41%,-1.64%
"PATH","NYSE","UiPath Inc","Technology","Software - Infrastructure",7258.87,14.01,-7.77%,62435601,68627.04,0.91,-24.96%,-6.91%,25.43%,17.04%,-14.52%,18.73%,6.06%,8.94%,2279.31%,13.42%,13.36%,9.98%,68.82%,29.51%,-15.61%,0.33%,8.66%,-7.59%
"SPRC","NASD","SciSparc Ltd","Healthcare","Biotechnology",2.92,5.10,-3.59%,6951,189.70,0.04,-23.08%,-26.41%,-51.06%,-9.09%,-58.33%,-74.59%,10.53%,,,,,13.55%,9.38%,3.07%,-19.68%,-14.75%,-35.15%,-1.54%
"MEI","NYSE","Methode Electronics Inc","Technology","Electronic Components",501.17,14.06,-10.39%,1027991,772.99,1.33,-22.87%,-15.66%,23.66%,148.41%,111.75%,93.93%,10.20%,31.35%,-9.75%,10.35%,,3.54%,93.13%,8.12%,-14.13%,-12.45%,36.71%,-11.01%
"RPD","NASD","Rapid7 Inc","Technology","Software - Infrastructure",705.01,10.46,-4.91%,2011426,2372.38,0.85,-22.29%,-9.59%,42.51%,57.53%,-31.18%,-49.22%,6.58%,-13.54%,-30.64%,-1.55%,-5.21%,11.07%,104.25%,12.41%,-14.84%,-6.90%,6.42%,-3.24%
"IMC","AMEX","IMC Rare Earths Ltd","Basic Materials","Other Industrial Metals & Mining",,7.68,10.19%,67279,296.80,0.23,-21.55%,0.00%,,,48.26%,,23.99%,,,,,,,,-16.37%,-8.74%,-8.74%,4.77%
"MDB","NASD","MongoDB Inc","Technology","Software - Infrastructure",28678.06,356.00,-3.46%,2477482,1649.15,1.50,-21.48%,-10.73%,0.98%,31.01%,-15.18%,10.12%,4.68%,31.10%,186.04%,30.50%,24.54%,2.32%,93.41%,3.66%,-15.72%,-4.89%,3.93%,-1.32%
"QTTB","NASD","Q32 Bio Inc","Healthcare","Biotechnology",348.01,11.69,-2.50%,592918,1128.59,0.53,-21.39%,-25.06%,-2.83%,129.22%,252.11%,568.00%,6.82%,-160.06%,43.46%,,,5.47%,50.20%,14.94%,-21.95%,-22.11%,44.61%,-2.58%
"XPON","NASD","Expion Energy Inc","Industrials","Electrical Equipment & Parts",5.34,5.55,-5.29%,82530,2467.37,0.03,-20.83%,59.94%,-2.63%,-35.58%,-31.77%,-61.78%,14.26%,,72.72%,-32.10%,,3.55%,4.75%,2.93%,3.93%,21.61%,-29.08%,-5.77%
"DYN","NASD","Dyne Therapeutics Inc","Healthcare","Biotechnology",3792.82,20.31,-16.35%,17064992,2220.77,7.68,-20.13%,-22.63%,20.82%,14.81%,3.83%,52.71%,3.54%,-3.48%,-10.86%,,8.80%,1.22%,85.20%,14.00%,-20.45%,-17.93%,1.99%,18.91%
