"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"PN","NASD","PN Smart Energy Ltd","Technology","Solar",133.68,9.34,131.76%,11759554,1643.82,7.15,148.40%,166.10%,255.13%,-13.81%,-35.66%,-84.94%,9.69%,,-2920.83%,43.12%,,-32.10%,0.01%,6.73%
"ADVB","NASD","Advanced Biomed Inc","Healthcare","Diagnostics & Research",20.24,12.25,73.02%,29440005,1048.20,28.09,135.58%,136.94%,143.54%,88.46%,109.90%,-3.79%,22.35%,,69.15%,,,-0.01%,0.08%,2.75%
"UTZ","NYSE","Utz Brands Inc","Consumer Defensive","Packaged Foods",2023.04,14.06,0.00%,21415742,2897.74,7.39,89.74%,105.26%,86.23%,34.42%,35.45%,-2.56%,3.94%,-5.42%,-122.40%,2.62%,3.84%,-0.50%,84.78%,11.08%
"ATAI","NASD","AtaiBeckley Inc","Healthcare","Biotechnology",2656.27,7.18,0.63%,10972937,10535.07,1.04,33.96%,77.28%,47.43%,86.49%,75.55%,103.40%,3.24%,85.46%,44.43%,-38.65%,46.33%,15.65%,26.40%,10.24%
"SDOT","NASD","Sadot Group Inc","Consumer Defensive","Farm Products",15.09,20.28,-7.23%,464605,3790.93,0.12,32.98%,119.24%,-38.17%,-69.99%,-16.20%,-94.34%,38.74%,,-250.07%,-100.00%,,0.12%,0.63%,13.51%
"MAN","NYSE","ManpowerGroup","Industrials","Staffing & Employment Services",2402.57,51.66,-0.04%,1297115,1204.06,1.08,32.39%,64.89%,62.30%,76.43%,73.76%,16.19%,7.63%,22.11%,178.22%,7.54%,30.17%,-3.53%,115.05%,14.77%
"ARMP","AMEX","Armata Pharmaceuticals Inc","Healthcare","Biotechnology",192.37,5.24,1.55%,127618,141.56,0.90,31.33%,-23.73%,-64.59%,-11.34%,-16.56%,122.98%,15.26%,20.73%,-1649.31%,60.69%,40.13%,8.16%,10.70%,3.86%
"NUAI","NASD","New Era Energy & Digital Inc","Technology","Software - Infrastructure",588.50,5.81,-1.69%,10726310,7983.60,1.34,30.27%,-13.02%,34.18%,5.83%,98.29%,1045.96%,12.95%,58.65%,32.44%,145.78%,15.84%,8.19%,14.03%,21.62%
"XNCR","NASD","Xencor Inc","Healthcare","Biotechnology",1446.51,19.51,-4.60%,1259720,889.03,1.42,30.24%,39.26%,54.72%,54.35%,27.43%,112.07%,11.37%,-213.22%,-160.68%,-86.20%,,-3.63%,109.98%,16.49%
"ASBP","NASD","Aspire Biopharma Holdings Inc","Healthcare","Biotechnology",10.06,7.76,2.92%,131481,688.98,0.19,28.48%,23.37%,31.44%,-87.13%,-95.10%,-98.34%,8.96%,,95.93%,,,3.84%,0.99%,8.31%
