"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"DFNS","NASD","T3 Defense Inc","Industrials","Aerospace & Defense",13.25,13.10,201.15%,74865261,584.44,128.10,207.51%,-41.12%,-79.55%,-96.24%,-97.40%,-98.73%,49.40%,,-105.31%,,,,1.95%,15.36%,5.02%,-52.91%,-96.11%
"PN","NASD","PN Smart Energy Ltd","Technology","Solar",145.12,10.14,27.07%,227955,1878.64,0.12,134.72%,180.11%,326.05%,-11.75%,-30.15%,-84.73%,50.26%,,-2920.83%,43.12%,,-32.10%,0.01%,4.49%,104.87%,138.25%,5.69%
"UTZ","NYSE","Utz Brands Inc","Consumer Defensive","Packaged Foods",2026.99,14.08,-0.14%,2446870,3373.78,0.73,88.99%,95.01%,81.44%,35.12%,35.65%,-1.68%,1.07%,-5.47%,-122.40%,2.62%,3.84%,-0.53%,84.70%,12.41%,50.79%,74.37%,53.94%
"ADVB","NASD","Advanced Biomed Inc","Healthcare","Diagnostics & Research",23.73,14.36,-24.34%,442433,1790.80,0.25,61.35%,187.78%,150.61%,124.94%,146.06%,43.66%,67.43%,,69.15%,,,-0.01%,0.08%,1.89%,93.05%,155.65%,128.48%
"FBRX","NASD","Forte Biosciences Inc","Healthcare","Biotechnology",1566.63,76.50,39.65%,17538528,499.60,35.11,61.09%,308.87%,178.69%,139.81%,180.53%,559.48%,11.95%,18.59%,9.65%,,6.38%,15.40%,58.75%,11.55%,91.29%,178.69%,203.89%
"MF","NASD","MindForge Inc","Communication Services","Advertising Agencies",11.25,6.19,18.36%,288535,1296.30,0.22,46.68%,-25.60%,-78.47%,-87.37%,-87.62%,-91.96%,23.68%,,-300.92%,-32.59%,,-5.21%,0.04%,3.69%,18.04%,23.42%,-82.06%
"OTLY","NASD","Oatly Group AB ADR","Consumer Defensive","Packaged Foods",456.31,14.30,6.96%,349876,120.84,2.90,44.74%,62.87%,13.49%,33.27%,33.77%,-5.42%,14.76%,43.75%,47.05%,14.13%,31.93%,5.14%,5.09%,2.34%,38.37%,49.64%,25.73%
"SAFT","NASD","Safety Insurance Group Inc","Financial","Insurance - Property & Casualty",1512.39,103.00,-0.19%,1966052,137.87,14.26,39.47%,42.09%,35.46%,35.76%,32.20%,45.54%,1.73%,-17.96%,-166.82%,4.47%,,0.93%,86.53%,2.15%,32.11%,39.23%,37.77%
"NVEC","NASD","NVE Corp","Technology","Semiconductors",567.79,117.38,-0.14%,249850,227.35,1.10,38.60%,24.45%,42.85%,54.20%,97.84%,85.03%,12.38%,,78.57%,80.75%,,-1.19%,87.13%,10.04%,20.88%,18.59%,52.10%
"CLF","NYSE","Cleveland-Cliffs Inc","Basic Materials","Steel",6989.11,12.25,2.68%,43332991,20595.37,2.10,36.41%,13.85%,25.51%,-18.82%,-7.76%,7.08%,6.40%,91.07%,73.98%,5.92%,,2.31%,84.15%,14.81%,24.59%,8.48%,6.40%
