"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"QMCO","NASD","Quantum Corp","Technology","Computer Hardware",972.64,24.68,12.51%,4367614,1452.86,3.01,111.30%,139.61%,180.14%,290.51%,282.64%,208.50%,14.95%,117.29%,-277.09%,25.69%,,1.54%,22.54%,9.81%,92.01%,96.96%,189.98%,13.47%
"BOXL","NASD","Boxlight Corp","Technology","Consumer Electronics",4.54,6.80,-13.60%,1821986,1615.96,1.13,106.06%,73.03%,49.85%,-17.27%,-33.33%,-90.96%,31.22%,,100.61%,-15.99%,,18.03%,1.96%,4.72%,86.25%,65.16%,-45.81%,-2.86%
"XHLD","NASD","TEN Holdings Inc","Communication Services","Broadcasting",65.82,5.49,2.71%,2432185,2913.98,0.83,95.55%,165.46%,289.72%,148.64%,365.68%,-1.36%,175.20%,,41.35%,-34.50%,,1.15%,0.51%,0.66%,151.59%,200.15%,178.92%,7.32%
"RCEL","NASD","AVITA Medical Inc","Healthcare","Medical Devices",198.97,8.01,-1.35%,401142,433.06,0.93,68.63%,69.34%,88.03%,108.59%,132.17%,39.06%,14.60%,44.59%,33.76%,17.83%,68.77%,2.23%,17.31%,10.91%,45.17%,68.26%,88.19%,-0.87%
"ABCL","NASD","AbCellera Biologics Inc","Healthcare","Biotechnology",3363.53,10.97,5.94%,20049821,7841.25,2.56,67.99%,62.76%,129.98%,250.48%,220.76%,139.52%,15.09%,-33.88%,-55.98%,-76.29%,-20.31%,2.84%,42.05%,20.48%,63.73%,68.57%,139.35%,6.30%
"MB","NASD","Masterbeef Group","Consumer Cyclical","Restaurants",103.27,6.02,-1.15%,43495,615.38,0.07,60.53%,49.57%,-12.63%,15.33%,-15.57%,-17.65%,44.13%,,-181.42%,-12.13%,,-10.58%,0.32%,0.04%,28.30%,9.86%,-8.27%,-0.33%
"ARX","NYSE","Accelerant Holdings","Financial","Insurance Brokers",4257.11,19.51,43.35%,70092315,2048.50,34.22,58.75%,53.86%,55.71%,70.24%,19.33%,-32.26%,5.30%,-17.02%,-179.32%,82.58%,8.34%,4.85%,28.58%,10.72%,46.82%,46.44%,44.21%,-0.51%
"CTEV","NYSE","Claritev Corp","Healthcare","Health Information Services",715.52,42.22,19.54%,223135,150.99,1.48,57.30%,43.41%,53.08%,102.98%,-1.24%,-40.01%,13.34%,12.72%,8.30%,6.59%,12.01%,-3.59%,58.22%,10.62%,51.85%,43.27%,40.32%,19.54%
"BWMN","NASD","Bowman Consulting Group Ltd","Industrials","Engineering & Construction",731.56,42.20,-0.05%,848583,213.95,3.97,56.59%,59.85%,28.85%,18.37%,27.80%,6.19%,1.45%,13.26%,-58.20%,19.69%,,-1.43%,61.82%,5.91%,42.19%,42.18%,29.88%,-0.05%
"VREX","NASD","Varex Imaging Corp","Healthcare","Medical Devices",778.85,18.50,0.27%,1059496,697.47,1.52,51.02%,71.46%,83.71%,35.93%,58.80%,73.06%,1.65%,-3.33%,117.16%,3.69%,13.04%,2.69%,98.20%,2.98%,45.19%,61.95%,56.76%,0.11%
"TEAM","NASD","Atlassian Corp","Technology","Software - Application",42120.38,165.98,6.92%,5522377,5085.24,1.09,50.66%,80.87%,105.88%,90.85%,2.37%,1.21%,5.28%,-5.40%,703.74%,27.60%,13.98%,3.35%,64.22%,10.01%,47.82%,69.84%,53.89%,6.70%
"EROC","NYSE","ERock Inc","Industrials","Specialty Industrial Machinery",3435.80,15.66,13.31%,11283501,2420.47,4.66,50.43%,29.85%,,,-22.09%,,9.21%,,,,,8.99%,2.06%,19.78%,38.31%,18.49%,18.49%,5.03%
"SENS","NASD","Senseonics Holdings Inc","Healthcare","Medical Devices",408.72,7.73,-2.52%,786789,698.33,1.13,50.10%,50.10%,40.55%,0.39%,40.04%,-19.85%,12.50%,-37.18%,-77.96%,117.82%,4.15%,14.68%,23.00%,13.25%,35.88%,29.82%,19.73%,0.00%
"ECOR","NASD","ElectroCore Inc","Healthcare","Medical Devices",89.62,9.94,5.74%,109350,117.93,0.93,48.36%,64.84%,57.28%,82.05%,121.63%,93.39%,17.77%,15.15%,26.30%,28.03%,,-5.35%,10.60%,5.86%,43.15%,29.04%,52.85%,4.30%
"HZO","NYSE","Marinemax Inc","Consumer Cyclical","Specialty Retail",1149.39,52.04,-0.17%,735800,461.32,1.59,48.14%,49.63%,56.04%,81.07%,114.78%,99.69%,3.25%,16.63%,127.37%,-6.98%,61.57%,-2.78%,89.68%,14.96%,35.80%,43.65%,75.07%,-0.31%
"NXTC","NASD","Nextcure Inc","Healthcare","Biotechnology",37.90,8.28,1.35%,284027,2150.90,0.13,48.12%,24.89%,-15.51%,-33.76%,-41.65%,59.54%,18.21%,65.02%,75.16%,,44.52%,5.74%,55.37%,4.62%,49.28%,121.38%,-11.58%,0.49%
"STDN","NYSE","Standard Nuclear Inc","Basic Materials","Specialty Chemicals",1942.50,12.09,5.31%,510448,1378.89,0.37,47.44%,,,,-10.44%,,16.22%,,,,,41.70%,,3.67%,33.46%,31.22%,31.22%,6.71%
"MTW","NYSE","Manitowoc Co Inc","Industrials","Farm & Heavy Construction Machinery",752.61,20.87,3.52%,581329,286.01,2.03,46.87%,61.16%,64.72%,40.07%,74.06%,112.09%,6.66%,186.56%,827.68%,10.27%,31.04%,4.28%,77.98%,3.29%,35.90%,50.79%,61.29%,1.71%
"EMBC","NASD","Embecta Corp","Healthcare","Medical Instruments & Supplies",289.53,5.11,7.58%,2617677,2084.38,1.26,46.00%,58.70%,63.78%,-49.20%,-56.99%,-63.34%,11.22%,-37.80%,-53.64%,-8.05%,-12.89%,-13.19%,83.68%,12.80%,33.39%,47.29%,-39.13%,8.26%
"NIQ","NYSE","NIQ Global Intelligence plc","Technology","Software - Application",4972.96,16.86,0.30%,1992416,1739.76,1.15,44.47%,53.41%,67.93%,54.82%,2.24%,-7.92%,8.23%,369.54%,-116.32%,8.01%,84.61%,1.48%,23.26%,11.08%,39.55%,62.65%,37.03%,0.24%
"AIAI","NASD","AIAI Holdings Corp","Industrials","Conglomerates",451.90,5.80,4.88%,164219,319.74,0.51,44.28%,-30.46%,,,-51.67%,,16.65%,,,,,75.07%,17.31%,1.69%,6.65%,-43.77%,-47.49%,3.76%
"TCGX","NASD","TCGX Acquisition Corp","Financial","Shell Companies",187.65,16.60,-5.14%,10587,207.22,0.05,41.16%,,,,61.17%,,22.24%,,,,,,,,18.70%,18.70%,18.70%,2.03%
"SHAZ","NASD","SharonAI Holdings Inc","Technology","Information Technology Services",2578.57,72.02,5.20%,1788138,1637.42,1.09,38.10%,1.97%,30.87%,3690.53%,3690.53%,44.04%,11.22%,-248.07%,-1144.50%,,31.26%,21.55%,28.60%,8.99%,24.17%,5.25%,-91.24%,5.20%
"QNST","NASD","QuinStreet Inc","Communication Services","Advertising Agencies",1191.42,20.74,-0.24%,795007,875.01,0.91,36.27%,18.18%,79.57%,93.11%,44.33%,35.56%,6.34%,25.20%,500.00%,42.67%,21.18%,0.14%,93.17%,8.58%,21.30%,34.81%,51.66%,-0.77%
"AIRO","NASD","AIRO Group Holdings Inc","Industrials","Aerospace & Defense",336.78,10.71,26.15%,3383030,524.52,6.45,36.26%,58.90%,36.78%,16.29%,30.93%,-50.74%,5.69%,-592.20%,-552.79%,-24.53%,,6.86%,33.64%,19.45%,43.19%,42.78%,16.95%,7.85%
"AZ","NASD","A2Z Cust2Mate Solutions Corp","Technology","Software - Application",365.11,8.10,25.19%,3018788,354.91,8.51,35.45%,47.81%,25.19%,35.00%,24.42%,-17.52%,9.51%,53.12%,54.89%,408.97%,,-4.53%,42.05%,13.95%,35.54%,37.23%,26.64%,15.71%
"P","NYSE","Everpure Inc","Technology","Computer Hardware",39007.72,117.35,5.34%,4050134,3271.19,1.24,34.48%,65.87%,38.99%,54.31%,75.12%,97.06%,7.40%,18.44%,263.40%,35.25%,22.01%,-1.59%,83.89%,3.18%,40.72%,50.60%,57.62%,3.80%
