"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"HXL","NYSE","Hexcel Corp","Industrials","Aerospace & Defense",7830.10,103.81,2.08%,770347,1053.69,0.73,4.70%,5.51%,25.09%,24.53%,40.47%,70.99%,3.11%,30.52%,37.12%,8.46%,28.23%,-0.82%,116.95%,5.70%
"CTVA","NYSE","Corteva Inc","Basic Materials","Agricultural Inputs",58387.99,87.30,0.75%,3783116,3826.57,0.99,1.89%,13.57%,7.57%,24.82%,30.24%,19.31%,2.44%,12.28%,12.56%,11.05%,11.54%,0.84%,89.61%,2.82%
"BAC","NYSE","Bank Of America Corp","Financial","Banks - Diversified",434808.09,61.27,-0.36%,45045235,35747.09,1.26,2.68%,7.79%,14.50%,16.75%,11.40%,30.31%,2.39%,21.16%,35.65%,-1.14%,15.50%,-2.22%,78.33%,1.28%
"CM","NYSE","Canadian Imperial Bank Of Commerce","Financial","Banks - Diversified",112342.19,121.24,0.41%,1173675,1450.15,0.81,2.94%,6.18%,12.79%,32.56%,33.80%,66.04%,1.70%,19.96%,29.11%,4.94%,12.99%,-1.79%,49.86%,1.39%
"HOMB","NYSE","Home Bancshares Inc","Financial","Banks - Regional",6211.59,30.84,0.49%,3189059,1801.87,1.77,7.38%,10.14%,15.33%,7.79%,11.02%,5.87%,2.13%,6.19%,-1.05%,5.42%,3.95%,1.41%,73.54%,5.84%
"KEY","NYSE","Keycorp","Financial","Banks - Regional",25419.13,23.55,-1.83%,11328885,11361.09,1.00,1.07%,3.52%,8.68%,12.41%,14.10%,28.20%,1.98%,20.19%,33.12%,-1.18%,16.92%,-2.31%,88.60%,2.88%
"MTB","NYSE","M & T Bank Corp","Financial","Banks - Regional",36123.10,249.24,-1.89%,1110090,1081.44,1.03,2.85%,9.15%,14.88%,18.80%,23.70%,27.42%,2.21%,12.94%,25.37%,1.79%,11.07%,-1.69%,93.86%,4.11%
"PNC","NYSE","PNC Financial Services Group Inc","Financial","Banks - Regional",100891.14,252.86,-0.92%,2192224,2078.49,1.05,0.38%,7.74%,14.90%,19.09%,21.14%,29.02%,2.27%,14.28%,24.81%,6.46%,12.87%,-1.48%,85.82%,1.92%
"USB","NYSE","U.S. Bancorp","Financial","Banks - Regional",98355.18,63.14,-1.36%,13160757,8825.97,1.49,1.17%,7.22%,13.81%,18.02%,18.33%,39.66%,2.22%,12.23%,21.37%,1.05%,11.20%,0.36%,84.55%,1.52%
"MNST","NASD","Monster Beverage Corp","Consumer Defensive","Beverages - Non-Alcoholic",95355.79,97.50,-2.44%,10755168,5642.87,1.91,0.11%,4.90%,29.38%,25.43%,27.17%,65.00%,2.15%,11.68%,27.65%,26.89%,12.46%,1.87%,68.44%,2.90%
"ELVN","NASD","Enliven Therapeutics Inc","Healthcare","Biotechnology",3800.52,53.20,4.60%,818038,1307.03,0.63,4.13%,25.03%,17.34%,104.22%,245.45%,127.93%,5.66%,6.59%,34.03%,,-16.86%,0.13%,71.66%,14.54%
"INCY","NASD","Incyte Corp","Healthcare","Biotechnology",23424.46,117.25,0.51%,2232513,1721.22,1.30,0.46%,17.54%,23.01%,10.67%,18.71%,70.08%,2.89%,13.83%,83.74%,20.87%,11.59%,1.23%,105.76%,5.35%
"MRVI","NASD","Maravai LifeSciences Holdings Inc","Healthcare","Biotechnology",1869.30,7.24,2.12%,2845187,2986.09,0.95,18.88%,44.51%,112.32%,83.76%,122.77%,188.45%,7.02%,60.67%,87.79%,40.53%,43.44%,-2.12%,73.36%,8.29%
"RPRX","NASD","Royalty Pharma plc","Healthcare","Biotechnology",33504.83,58.18,-0.60%,2540469,3755.18,0.68,3.10%,7.32%,20.01%,44.69%,50.57%,64.03%,2.44%,8.22%,23.61%,10.97%,9.45%,-0.13%,83.76%,3.00%
"TRVI","NASD","Trevi Therapeutics Inc","Healthcare","Biotechnology",2707.55,19.07,9.85%,8312192,2054.50,4.05,6.89%,23.83%,31.16%,66.70%,52.32%,178.80%,9.97%,-47.34%,-3.07%,,-29.80%,4.19%,71.75%,14.98%
"GPRE","NASD","Green Plains Inc","Basic Materials","Chemicals",1346.68,19.23,11.74%,5147145,1461.70,3.52,13.85%,29.93%,20.49%,72.00%,96.22%,143.88%,6.48%,199.82%,134.41%,-23.67%,,-2.55%,104.64%,19.72%
"AAPL","NASD","Apple Inc","Technology","Consumer Electronics",4901758.20,333.74,0.14%,63407059,54793.10,1.16,5.84%,11.53%,26.70%,28.38%,22.76%,58.91%,2.33%,17.44%,22.04%,16.60%,12.92%,0.00%,67.21%,0.96%
"PSNL","NASD","Personalis Inc","Healthcare","Diagnostics & Research",1611.66,15.39,-1.22%,6618903,3493.37,1.89,9.38%,58.82%,131.08%,65.48%,93.34%,137.50%,10.04%,-12.72%,-60.02%,-24.91%,6.03%,0.37%,62.33%,16.02%
"TGT","NYSE","Target Corp","Consumer Defensive","Discount Stores",63405.08,139.60,-0.44%,5188212,5126.14,1.01,3.30%,4.65%,12.66%,27.12%,42.81%,34.68%,3.05%,10.85%,-24.50%,6.70%,7.73%,1.58%,87.97%,4.12%
"MRK","NYSE","Merck & Co Inc","Healthcare","Drug Manufacturers - General",314902.62,127.50,-0.10%,13472724,10393.87,1.30,3.21%,10.71%,10.43%,14.85%,21.13%,56.40%,2.85%,-68.99%,-185.47%,3.72%,5.78%,-0.53%,82.22%,1.27%
"AMRX","NASD","Amneal Pharmaceuticals Inc","Healthcare","Drug Manufacturers - Specialty & Generic",5700.06,17.85,-1.05%,2118218,1939.74,1.09,4.94%,9.85%,36.36%,34.72%,41.67%,116.63%,3.87%,17.12%,403.46%,3.90%,15.16%,4.10%,47.46%,4.79%
"VTRS","NASD","Viatris Inc","Healthcare","Drug Manufacturers - Specialty & Generic",20292.96,17.29,-0.23%,9520920,11147.03,0.85,6.27%,7.79%,23.41%,31.48%,38.88%,86.52%,2.95%,4.34%,105.88%,8.50%,8.86%,1.81%,86.24%,4.18%
"EA","NASD","Electronic Arts Inc","Communication Services","Electronic Gaming & Multimedia",52381.98,208.90,0.51%,3883837,1953.11,1.99,1.21%,2.90%,2.72%,2.30%,2.24%,39.42%,0.40%,2.99%,85.07%,13.65%,4.21%,-0.18%,82.14%,4.23%
"ADM","NYSE","Archer Daniels Midland Co","Consumer Defensive","Farm Products",41400.07,85.90,3.49%,4330798,3692.44,1.17,6.83%,10.10%,25.07%,32.97%,49.42%,60.44%,1.98%,35.34%,0.80%,1.55%,15.37%,-0.64%,87.63%,3.68%
"CROX","NASD","Crocs Inc","Consumer Cyclical","Footwear & Accessories",6813.94,137.13,-1.28%,652209,1194.10,0.55,3.28%,7.91%,34.11%,64.15%,60.35%,28.60%,3.44%,9.24%,-4.26%,-1.69%,5.16%,-0.28%,100.38%,10.00%
"SN","NYSE","SharkNinja Inc","Consumer Cyclical","Furnishings, Fixtures & Appliances",21869.14,154.53,0.21%,1708320,1994.22,0.86,1.23%,13.39%,34.51%,24.74%,38.10%,34.42%,2.96%,16.49%,2.94%,15.55%,15.08%,2.30%,59.52%,10.86%
"CVS","NYSE","CVS Health Corp","Healthcare","Healthcare Plans",137123.90,107.47,0.91%,6608661,8314.01,0.79,3.19%,6.70%,39.95%,35.47%,35.42%,69.78%,2.54%,10.25%,63.49%,6.17%,12.73%,-1.07%,90.37%,1.57%
"AFL","NYSE","Aflac Inc","Financial","Insurance - Life",63480.60,124.72,1.38%,4031527,2485.99,1.62,2.30%,6.23%,9.68%,13.20%,13.10%,22.97%,1.63%,-6.22%,3634.91%,27.90%,1.90%,-1.58%,59.95%,2.77%
"GNW","NYSE","Genworth Financial Inc","Financial","Insurance - Life",3864.56,10.09,0.70%,2744235,2806.24,0.98,9.67%,12.61%,17.74%,19.98%,11.74%,35.44%,2.96%,211.43%,-6.50%,-2.32%,,-0.66%,88.49%,2.09%
"MET","NYSE","Metlife Inc","Financial","Insurance - Life",60483.06,94.00,0.32%,4015118,3516.80,1.14,2.56%,7.55%,21.94%,19.52%,19.08%,21.56%,1.78%,11.95%,35.88%,2.72%,11.68%,-0.75%,79.09%,2.66%
"MFC","NYSE","Manulife Financial Corp","Financial","Insurance - Life",72413.14,43.39,0.05%,1807995,2095.74,0.86,5.09%,5.52%,12.32%,16.23%,19.60%,40.38%,1.66%,2.88%,173.97%,6.83%,7.13%,-3.92%,49.17%,0.36%
"PRU","NYSE","Prudential Financial Inc","Financial","Insurance - Life",41317.29,119.07,0.69%,1828880,2041.23,0.90,3.21%,9.08%,19.33%,1.16%,5.48%,15.46%,1.78%,-4.36%,-14.02%,15.26%,3.02%,0.27%,64.95%,3.43%
"TRV","NYSE","Travelers Companies Inc","Financial","Insurance - Property & Casualty",78461.64,368.98,9.22%,4309208,1710.20,2.52,8.87%,19.99%,23.47%,35.29%,27.21%,40.93%,3.56%,8.22%,57.16%,0.31%,2.20%,-3.02%,87.71%,3.76%
"CHRW","NASD","C.H. Robinson Worldwide Inc","Industrials","Integrated Freight & Logistics",24576.53,208.50,1.34%,3798919,1747.73,2.17,7.75%,10.08%,14.81%,21.00%,29.70%,111.61%,2.44%,21.12%,9.65%,-0.84%,17.12%,2.61%,107.99%,6.98%
"EXPD","NYSE","Expeditors International Of Washington Inc","Industrials","Integrated Freight & Logistics",23908.62,182.80,0.46%,2731203,1211.86,2.25,6.27%,11.45%,24.35%,12.69%,22.68%,60.46%,2.02%,15.67%,16.33%,4.37%,7.26%,-3.26%,101.13%,3.77%
"PBI","NYSE","Pitney Bowes Inc","Industrials","Integrated Freight & Logistics",2507.02,18.51,0.00%,1289843,3349.21,0.39,0.98%,5.65%,52.10%,73.80%,75.12%,57.26%,2.86%,19.88%,105.27%,-3.24%,13.10%,-11.06%,85.86%,13.59%
"LTH","NYSE","Life Time Group Holdings Inc","Consumer Cyclical","Leisure",9382.71,42.15,-1.61%,2461423,2999.99,0.82,0.62%,20.88%,52.17%,57.92%,58.58%,38.70%,2.90%,-9.04%,13.74%,11.71%,5.10%,4.13%,75.02%,7.31%
