"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"OMC","NYSE","Omnicom Group Inc","Communication Services","Advertising Agencies",24573.23,86.22,4.62%,4024744,4191.40,0.96,8.85%,17.96%,13.43%,7.29%,6.77%,15.53%,2.31%,24.35%,-6.65%,69.17%,16.92%,-0.97%,109.87%,9.75%,7.31%,12.46%,12.32%
"GD","NYSE","General Dynamics Corp","Industrials","Aerospace & Defense",106330.44,393.19,1.04%,1702132,1295.33,1.31,6.92%,13.41%,25.81%,8.16%,16.79%,25.58%,2.20%,8.43%,12.20%,10.29%,8.48%,-0.57%,87.16%,1.08%,5.22%,10.09%,12.73%
"RTX","NYSE","RTX Corp","Industrials","Aerospace & Defense",294592.99,218.58,0.07%,7775885,5410.18,1.44,12.86%,16.27%,26.07%,12.59%,19.18%,40.05%,3.36%,14.48%,28.04%,14.49%,11.43%,-0.15%,80.62%,1.27%,9.72%,16.28%,16.87%
"CTVA","NYSE","Corteva Inc","Basic Materials","Agricultural Inputs",59491.54,88.95,1.56%,5663030,3843.83,1.47,2.31%,7.66%,12.00%,22.47%,32.70%,22.86%,1.70%,12.72%,12.56%,11.05%,11.81%,0.54%,88.37%,2.76%,2.95%,8.91%,18.81%
"LEVI","NYSE","Levi Strauss & Co","Consumer Cyclical","Apparel Manufacturing",9798.30,25.46,-0.27%,2784192,2840.02,0.98,3.66%,3.75%,11.52%,19.92%,22.76%,23.29%,2.87%,14.99%,38.36%,7.88%,13.39%,-1.05%,23.44%,7.64%,3.99%,7.80%,17.20%
"ROST","NASD","Ross Stores Inc","Consumer Cyclical","Apparel Retail",80525.67,251.03,3.16%,3191895,3091.24,1.03,6.45%,17.71%,10.99%,33.83%,39.35%,78.26%,2.36%,18.50%,38.06%,20.57%,12.67%,0.23%,92.30%,3.27%,10.75%,10.61%,24.93%
"VSXY","NYSE","Victoria's Secret & Co","Consumer Cyclical","Apparel Retail",7099.40,89.31,4.68%,2639672,2291.83,1.15,2.55%,0.92%,69.98%,52.48%,64.87%,329.37%,4.75%,54.03%,2332.02%,15.30%,27.62%,1.67%,97.21%,15.66%,9.11%,20.29%,61.77%
"RJF","NYSE","Raymond James Financial Inc","Financial","Asset Management",34036.28,177.18,2.06%,1391156,1423.47,0.98,5.51%,18.17%,14.83%,4.41%,10.33%,5.83%,2.71%,13.94%,42.20%,11.82%,16.26%,-0.26%,80.67%,5.56%,6.02%,12.38%,12.09%
"TROW","NASD","T. Rowe Price Group Inc","Financial","Asset Management",26071.96,121.68,2.07%,2919002,2121.01,1.38,3.46%,10.35%,20.05%,14.70%,18.85%,14.79%,1.70%,5.00%,3.92%,5.28%,1.32%,1.98%,89.25%,12.71%,3.64%,10.17%,18.90%
"GM","NYSE","General Motors Company","Consumer Cyclical","Auto Manufacturers",79233.87,90.30,3.75%,13354425,8073.91,1.65,13.56%,15.62%,15.83%,13.69%,11.04%,68.94%,4.72%,26.29%,-25.99%,1.92%,15.12%,-1.50%,89.92%,2.79%,14.57%,13.47%,17.43%
