"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"WT","NYSE","WisdomTree Inc","Financial","Asset Management",3439.33,22.70,-0.70%,2493332,2832.63,0.88,-0.13%,9.71%,20.81%,33.69%,86.22%,69.15%,2.60%,36.88%,67.69%,57.31%,18.38%,1.31%,107.14%,11.08%,7.10%,15.88%,39.98%,-2.70%
"MGA","NYSE","Magna International Inc","Consumer Cyclical","Auto Parts",18849.61,71.01,1.05%,649715,1221.61,0.53,1.86%,4.63%,19.51%,6.24%,33.23%,59.72%,1.97%,23.46%,27.60%,3.28%,13.38%,-0.48%,69.87%,3.82%,2.49%,6.19%,19.94%,0.19%
"ABCL","NASD","AbCellera Biologics Inc","Healthcare","Biotechnology",3891.81,12.01,8.00%,10706631,8083.46,1.32,15.98%,101.17%,196.54%,283.71%,251.17%,179.95%,10.17%,-33.88%,-55.98%,-76.29%,-20.31%,3.43%,39.56%,19.38%,54.23%,72.58%,155.54%,4.43%
"ACAD","NASD","Acadia Pharmaceuticals Inc","Healthcare","Biotechnology",5205.35,30.21,0.10%,2286838,1624.37,1.41,2.58%,18.80%,47.51%,30.22%,13.10%,20.99%,3.47%,-73.36%,15.24%,16.40%,-12.48%,-2.21%,97.69%,6.36%,9.20%,18.26%,25.39%,-1.47%
"ACHV","NASD","Achieve Life Sciences Inc","Healthcare","Biotechnology",877.76,8.53,13.43%,3922237,1771.96,2.21,27.50%,31.23%,91.69%,103.58%,71.63%,231.91%,5.06%,-10.18%,-118.05%,,,23.73%,59.09%,23.45%,26.66%,36.33%,72.76%,11.94%
"ATAI","NASD","AtaiBeckley Inc","Healthcare","Biotechnology",2729.56,7.36,0.96%,9129864,11751.01,0.78,1.80%,3.15%,85.86%,86.33%,79.95%,85.39%,0.51%,85.11%,36.07%,137.00%,46.30%,27.31%,35.50%,6.58%,1.98%,24.15%,63.61%,1.10%
"AUTL","NASD","Autolus Therapeutics plc ADR","Healthcare","Biotechnology",676.05,2.54,10.92%,7832791,1756.62,4.46,19.81%,73.38%,55.83%,62.82%,27.64%,41.90%,10.10%,27.48%,19.25%,116.09%,26.30%,-3.04%,45.71%,5.73%,33.19%,50.36%,61.80%,7.63%
"CADL","NASD","Candel Therapeutics Inc","Healthcare","Biotechnology",1033.00,13.50,12.03%,2375195,1646.91,1.44,26.40%,32.09%,76.24%,130.77%,138.94%,142.81%,8.19%,-80.86%,-463.69%,,,38.28%,64.75%,20.92%,26.40%,36.33%,95.50%,8.70%
"CGON","NASD","Cg Oncology Inc","Healthcare","Biotechnology",7151.50,80.68,5.75%,845852,1008.95,0.84,4.79%,12.49%,27.46%,46.13%,94.32%,215.65%,3.74%,-57.81%,-64.91%,,28.41%,7.97%,89.33%,20.74%,9.23%,15.07%,36.99%,3.70%
"CLYM","NASD","Climb Bio Inc","Healthcare","Biotechnology",995.95,17.34,-0.29%,1286258,1296.47,0.99,20.50%,32.37%,79.69%,215.27%,333.50%,758.42%,9.66%,5.83%,-38.22%,,-16.20%,28.80%,119.12%,13.61%,25.37%,32.76%,119.94%,-4.15%
"DNTH","NASD","Dianthus Therapeutics Inc","Healthcare","Biotechnology",6359.74,113.70,-1.59%,793272,1051.28,0.75,1.15%,7.55%,32.72%,139.52%,175.90%,400.88%,4.48%,8.94%,-1.51%,294.30%,-9.38%,57.03%,115.59%,18.01%,3.91%,14.64%,58.69%,-3.37%
"HALO","NASD","Halozyme Therapeutics Inc","Healthcare","Biotechnology",12214.66,107.62,2.60%,2539185,2006.75,1.27,5.73%,36.92%,56.58%,46.96%,59.91%,53.79%,3.22%,101.27%,42.59%,47.67%,41.35%,-4.75%,109.93%,12.49%,17.19%,31.90%,49.78%,1.16%
"IMMX","NASD","Immix Biopharma Inc","Healthcare","Biotechnology",943.60,13.19,11.69%,1974618,1876.77,1.05,16.01%,37.83%,48.87%,69.76%,152.20%,502.28%,7.09%,16.43%,17.97%,,9.26%,24.90%,78.28%,16.14%,33.38%,34.29%,67.27%,10.01%
"IMNM","NASD","Immunome Inc","Healthcare","Biotechnology",3387.45,29.83,8.22%,2984357,1378.63,2.16,6.56%,30.93%,51.70%,35.63%,38.85%,197.65%,6.83%,5.64%,-29.43%,-100.00%,14.84%,3.99%,103.40%,17.46%,18.89%,31.54%,37.86%,7.09%
"IMVT","NASD","Immunovant Inc","Healthcare","Biotechnology",9286.60,44.96,1.49%,1273153,1701.92,0.75,5.54%,13.74%,71.02%,68.71%,76.87%,203.37%,4.21%,-3.72%,-5.60%,,13.03%,-0.89%,51.49%,19.39%,10.83%,16.02%,52.60%,-0.67%
"IOVA","NASD","Iovance Biotherapeutics Inc","Healthcare","Biotechnology",3619.24,7.99,13.66%,24184886,15885.84,1.52,18.55%,45.80%,130.92%,193.75%,192.67%,207.31%,7.03%,55.30%,68.51%,65.65%,,6.70%,57.63%,25.41%,40.35%,64.70%,124.44%,10.97%
"KURA","NASD","Kura Oncology Inc","Healthcare","Biotechnology",1114.67,12.53,1.62%,4077153,1826.52,2.23,26.06%,15.06%,39.84%,47.59%,20.60%,74.27%,7.97%,-2.45%,-1.87%,36.54%,15.84%,3.39%,98.60%,15.18%,24.63%,21.09%,29.68%,-1.65%
"MRNA","NASD","Moderna Inc","Healthcare","Biotechnology",69618.75,174.38,176.97%,193232361,6858.01,28.18,173.88%,192.29%,281.41%,274.21%,491.32%,524.79%,5.19%,-17.04%,7.60%,2.11%,27.48%,-2.19%,78.82%,13.62%,171.62%,172.86%,266.38%,50.30%
"MRVI","NASD","Maravai LifeSciences Holdings Inc","Healthcare","Biotechnology",1874.85,7.22,25.78%,15076225,2814.79,5.36,24.91%,1.69%,71.09%,142.28%,122.15%,187.65%,4.17%,64.63%,69.44%,8.53%,44.37%,2.44%,81.45%,7.92%,13.89%,17.91%,71.52%,7.49%
"NRIX","NASD","Nurix Therapeutics Inc","Healthcare","Biotechnology",2884.09,27.79,3.19%,2019089,2004.61,1.01,4.36%,18.36%,82.35%,79.52%,46.49%,182.42%,3.25%,11.97%,-55.54%,-79.47%,41.75%,-0.02%,109.04%,18.67%,10.39%,21.75%,53.72%,1.05%
