"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"EVC","NYSE","Entravision Communications Corp","Communication Services","Advertising Agencies",1019.80,11.08,3.75%,1004132,3035.56,0.33,0.45%,-2.72%,195.47%,249.53%,278.16%,363.60%,5.12%,,124.41%,114.45%,,-0.79%,51.45%,9.62%,-4.71%,7.75%,124.30%
"AAOI","NASD","Applied Optoelectronics Inc","Technology","Communication Equipment",7849.34,97.82,-2.33%,6633689,11736.48,0.57,-5.05%,-29.39%,-39.68%,173.85%,180.61%,260.56%,8.97%,497.41%,-2.56%,51.36%,,12.49%,72.32%,13.10%,-16.55%,-35.23%,10.05%
"HPE","NYSE","Hewlett Packard Enterprise Co","Technology","Communication Equipment",63813.36,48.19,1.05%,13742884,25828.72,0.53,8.15%,3.15%,71.13%,128.93%,100.62%,132.47%,4.11%,76.05%,153.39%,40.64%,31.41%,-0.96%,92.80%,4.94%,4.57%,7.29%,65.97%
"LITE","NASD","Lumentum Holdings Inc","Technology","Communication Equipment",55390.49,711.96,-6.69%,3725499,5576.13,0.67,-7.00%,-17.40%,-19.25%,109.90%,93.16%,581.17%,7.14%,299.28%,332.76%,90.12%,142.92%,-5.30%,98.62%,11.59%,-8.01%,-16.03%,20.47%
"VIAV","NASD","Viavi Solutions Inc","Technology","Communication Equipment",9413.53,38.16,-3.44%,3695483,7288.07,0.51,-3.22%,-24.35%,-20.08%,103.09%,114.14%,275.04%,5.61%,99.52%,-70.20%,42.84%,57.74%,-4.49%,94.90%,4.94%,-8.64%,-18.43%,21.28%
"DELL","NYSE","Dell Technologies Inc","Technology","Computer Hardware",276757.67,426.91,-2.42%,4924095,8710.79,0.57,11.79%,4.26%,97.56%,269.84%,239.14%,225.34%,5.53%,79.42%,281.26%,87.49%,35.99%,-1.83%,39.74%,4.35%,1.30%,10.37%,103.66%
"SNDK","NASD","Sandisk Corp","Technology","Computer Hardware",189292.78,1278.23,-11.02%,20991977,13208.79,1.59,-8.10%,-45.26%,29.13%,169.77%,438.47%,2909.02%,8.12%,2136.60%,272.72%,251.03%,,-4.08%,79.13%,5.38%,-24.10%,-25.99%,55.39%
"STX","NASD","Seagate Technology Holdings Plc","Technology","Computer Hardware",183192.84,816.99,-4.07%,4629036,4660.23,0.99,1.81%,-20.32%,39.36%,136.06%,196.67%,441.45%,6.10%,84.04%,107.51%,44.07%,78.20%,-1.93%,85.52%,3.28%,-5.61%,-7.94%,61.26%
"WDC","NASD","Western Digital Corp","Technology","Computer Hardware",171624.13,497.92,-4.21%,6195437,8456.88,0.73,2.15%,-26.28%,23.25%,110.63%,189.03%,623.51%,6.24%,102.67%,483.37%,45.47%,82.73%,-0.81%,98.49%,6.81%,-9.42%,-10.92%,53.59%
"TWST","NASD","Twist Bioscience Corp","Healthcare","Diagnostics & Research",5388.96,86.54,-4.13%,1345842,1718.00,0.78,-1.04%,-10.46%,42.01%,101.54%,172.82%,140.46%,7.84%,-61.35%,-8.21%,19.31%,15.12%,3.60%,120.99%,23.65%,-7.68%,7.64%,68.27%
