"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"BAC","NYSE","Bank Of America Corp","Financial","Banks - Diversified",440343.43,62.05,1.26%,29013136,35914.05,0.81,1.27%,7.48%,18.26%,18.30%,12.82%,28.23%,1.85%,21.33%,35.65%,-1.14%,15.43%,-2.22%,77.30%,1.28%
"KO","NYSE","Coca-Cola Co","Consumer Defensive","Beverages - Non-Alcoholic",353879.18,82.25,1.33%,11969782,17407.43,0.69,0.85%,2.05%,7.83%,14.44%,17.65%,19.03%,2.18%,8.94%,17.81%,12.75%,7.57%,-0.18%,76.57%,1.16%
"VZ","NYSE","Verizon Communications Inc","Communication Services","Telecom Services",193662.44,46.38,5.84%,40727290,26995.19,1.51,6.40%,1.53%,-1.78%,17.48%,13.87%,7.66%,2.30%,5.80%,3.79%,2.85%,6.19%,-0.10%,69.79%,2.28%
"ABT","NYSE","Abbott Laboratories","Healthcare","Medical Devices",179511.18,103.06,2.29%,10366517,13394.37,0.77,2.36%,13.89%,11.44%,-5.11%,-17.74%,-17.97%,2.13%,7.02%,-48.22%,13.02%,9.31%,-1.84%,81.33%,1.35%
"T","NYSE","AT&T Inc","Communication Services","Telecom Services",165348.06,24.13,5.10%,80607266,59138.38,1.36,10.64%,7.87%,-9.32%,2.33%,-2.86%,-13.57%,3.64%,10.12%,6.92%,2.30%,11.08%,0.06%,68.67%,1.81%
"BMY","NYSE","Bristol-Myers Squibb Co","Healthcare","Drug Manufacturers - General",126792.21,62.09,0.94%,11985547,11743.74,1.02,2.22%,12.89%,5.20%,13.01%,15.11%,26.87%,2.36%,3.16%,103.45%,-6.36%,-4.12%,-0.04%,82.56%,1.99%
"CSX","NASD","CSX Corp","Industrials","Railroads",98607.24,53.23,0.80%,14299621,12710.48,1.13,4.89%,15.57%,15.27%,48.77%,46.84%,52.09%,2.17%,24.22%,21.78%,10.10%,15.92%,1.56%,78.83%,2.10%
"SLB","NYSE","SLB Ltd","Energy","Oil & Gas Equipment & Services",78370.91,52.42,11.01%,28832733,14070.97,2.05,11.56%,12.47%,-4.24%,6.29%,36.58%,48.75%,2.39%,-14.06%,-14.04%,2.51%,9.22%,5.63%,92.70%,3.61%
"DLR","NYSE","Digital Realty Trust Inc","Real Estate","REIT - Specialty",71204.09,199.08,11.01%,10762663,2818.81,3.82,14.49%,3.14%,-0.46%,25.44%,28.68%,10.59%,2.24%,-29.21%,-58.82%,28.86%,-4.43%,-0.84%,97.82%,2.25%
"F","NYSE","Ford Motor Co","Consumer Cyclical","Auto Manufacturers",57260.03,14.37,1.55%,76465035,62400.53,1.23,0.98%,3.83%,15.14%,4.81%,9.53%,27.62%,3.00%,53.25%,433.13%,6.38%,23.60%,-1.11%,65.75%,2.66%
