"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"AAPL","NASD","Apple Inc","Technology","Consumer Electronics",4994875.98,340.08,0.94%,51576538,55282.93,0.93,3.77%,19.84%,27.08%,33.15%,25.09%,58.88%,2.18%,17.43%,22.04%,16.60%,13.08%,0.00%,66.05%,1.00%,6.29%,10.48%,22.86%
"V","NYSE","Visa Inc","Financial","Credit Services",690701.32,366.59,1.12%,10961918,8354.44,1.31,3.03%,9.03%,18.39%,11.60%,4.53%,3.13%,1.33%,14.71%,35.82%,17.05%,13.83%,-1.22%,79.91%,1.42%,3.13%,8.40%,11.10%
"CSCO","NASD","Cisco Systems Inc","Technology","Communication Equipment",455551.05,115.58,0.88%,27872695,25000.08,1.11,3.03%,1.59%,30.95%,50.08%,50.05%,70.17%,2.10%,12.23%,36.10%,11.96%,11.44%,0.84%,79.83%,1.65%,1.02%,-1.95%,30.12%
"BAC","NYSE","Bank Of America Corp","Financial","Banks - Diversified",444388.47,62.62,0.79%,28661381,36037.11,0.80,2.29%,8.19%,18.98%,20.38%,13.85%,29.84%,1.69%,21.47%,35.65%,-1.14%,15.47%,-2.07%,77.32%,1.37%,3.77%,10.68%,17.31%
"VZ","NYSE","Verizon Communications Inc","Communication Services","Telecom Services",201220.18,48.19,1.84%,29661649,27102.38,1.09,10.07%,3.55%,2.31%,21.63%,18.32%,13.76%,3.03%,6.15%,-22.30%,-0.73%,5.99%,-0.04%,69.76%,2.05%,10.64%,5.95%,8.23%
"ABT","NYSE","Abbott Laboratories","Healthcare","Medical Devices",186844.21,107.27,2.66%,12656863,13297.29,0.95,7.63%,13.97%,15.59%,-1.38%,-14.38%,-15.10%,2.11%,7.07%,-48.22%,13.02%,9.29%,-1.96%,81.39%,1.44%,10.55%,16.42%,-1.35%
"BA","NYSE","Boeing Co","Industrials","Aerospace & Defense",174656.26,221.56,4.76%,10441685,6196.49,1.69,8.18%,1.98%,-4.22%,-10.82%,2.04%,-6.28%,2.58%,-114.31%,30.07%,13.95%,89.54%,0.21%,74.84%,1.87%,1.82%,1.17%,1.48%
"DIS","NYSE","Walt Disney Co","Communication Services","Entertainment",171723.60,98.89,2.32%,10825523,10095.34,1.07,2.86%,0.10%,-3.38%,-11.16%,-13.08%,-17.84%,2.13%,14.71%,-29.76%,7.45%,11.91%,-2.38%,77.01%,1.31%,2.32%,-0.63%,-5.72%
"NVO","NYSE","Novo Nordisk ADR","Healthcare","Drug Manufacturers - General",171122.66,50.96,2.60%,9499633,12983.11,0.73,3.20%,6.01%,23.69%,-20.35%,0.16%,-26.14%,2.15%,-9.96%,86.54%,37.63%,-0.86%,-3.46%,9.81%,0.93%,3.08%,9.60%,8.29%
"SHOP","NASD","Shopify Inc","Technology","Software - Application",169057.84,130.28,2.68%,9557538,10284.18,0.93,5.89%,11.48%,4.87%,-4.42%,-19.07%,2.71%,5.39%,30.19%,15.33%,34.32%,31.07%,-2.36%,64.91%,2.18%,7.07%,13.52%,-2.53%
"BKNG","NASD","Booking Holdings Inc","Consumer Cyclical","Travel Services",154441.01,199.31,6.70%,9057095,7624.80,1.19,11.10%,9.84%,12.27%,-2.44%,-6.96%,-12.26%,2.81%,14.48%,238.88%,16.17%,16.16%,-5.01%,94.64%,2.95%,10.44%,15.58%,7.38%
"CRM","NYSE","Salesforce Inc","Technology","Software - Application",148648.49,181.50,4.55%,17126449,14712.43,1.16,6.73%,14.61%,0.73%,-20.88%,-31.49%,-32.84%,4.74%,13.06%,52.27%,13.27%,12.76%,-2.24%,93.23%,5.86%,8.51%,6.38%,-11.88%
