"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"TSM","NYSE","Taiwan Semiconductor Manufacturing ADR","Technology","Semiconductors",2276864.72,439.00,2.35%,13068029,13088.19,1.00,5.70%,4.51%,2.86%,25.90%,44.46%,77.60%,1.98%,59.77%,73.31%,32.92%,38.14%,-0.70%,15.07%,0.58%,4.28%,4.39%,17.49%,0.22%
"SPCX","NASD","Space Exploration Technologies Corp","Industrials","Aerospace & Defense",2082752.02,153.47,3.73%,85403681,111899.93,0.76,6.81%,15.30%,,,2.31%,,3.97%,,,,,-0.01%,10.38%,9.39%,8.32%,12.86%,8.29%,2.97%
"TSLA","NASD","Tesla Inc","Consumer Cyclical","Auto Manufacturers",1454065.46,368.16,3.98%,50867064,42166.31,1.21,0.06%,12.05%,-9.97%,-7.66%,-18.14%,6.28%,4.17%,2.74%,-5.50%,25.52%,23.67%,1.70%,44.24%,2.45%,5.10%,2.92%,-7.82%,3.10%
"SKHY","NASD","SK Hynix Inc ADR","Technology","Semiconductors",1352409.03,185.55,4.83%,22980998,33745.90,0.68,12.74%,34.54%,,,9.15%,,4.59%,523.44%,1180.72%,232.92%,110.97%,-38.32%,0.00%,,14.19%,17.77%,17.77%,0.48%
"AMD","NASD","Advanced Micro Devices Inc","Technology","Semiconductors",825607.88,505.74,5.90%,27980539,26473.53,1.06,7.44%,4.63%,3.14%,149.53%,136.15%,234.02%,3.15%,82.98%,158.80%,50.11%,75.71%,3.65%,75.20%,2.47%,6.02%,1.36%,47.72%,3.44%
"INTC","NASD","Intel Corp","Technology","Semiconductors",552239.44,104.47,9.05%,139503516,114265.28,1.22,16.71%,2.77%,-5.26%,129.20%,183.12%,326.76%,4.12%,256.99%,-223.64%,25.42%,94.32%,1.49%,63.32%,3.01%,10.79%,4.33%,40.22%,3.64%
"VZ","NYSE","Verizon Communications Inc","Communication Services","Telecom Services",209442.23,50.41,0.54%,16033157,26272.19,0.61,0.78%,7.12%,10.94%,-0.08%,23.77%,16.37%,1.32%,6.00%,-22.30%,-0.73%,6.10%,0.59%,72.01%,1.84%,2.11%,8.43%,10.16%,0.86%
"GLW","NYSE","Corning Inc","Technology","Electronic Components",142956.01,165.96,7.56%,13600981,13442.79,1.01,11.58%,0.17%,-11.51%,28.60%,89.54%,130.02%,3.57%,30.25%,17.83%,16.65%,33.31%,0.97%,75.30%,2.13%,7.42%,1.11%,15.08%,4.22%
"FCX","NYSE","Freeport-McMoRan Inc","Basic Materials","Copper",110027.66,76.62,5.35%,16766835,14710.42,1.14,1.16%,10.05%,20.03%,26.96%,51.39%,65.09%,3.88%,66.48%,27.43%,-8.48%,36.05%,0.99%,90.22%,1.82%,5.05%,14.87%,25.57%,0.84%
"ASX","NYSE","ASE Technology Holding CoLtd ADR","Technology","Semiconductors",87490.65,39.79,6.08%,9187800,9899.19,0.93,7.69%,6.42%,12.02%,83.70%,147.14%,245.70%,3.20%,103.89%,163.45%,23.83%,60.32%,-0.81%,7.08%,0.40%,5.33%,3.31%,40.98%,1.40%
