"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"KRMN","NYSE","Karman Holdings Inc","Industrials","Aerospace & Defense",6288.37,47.45,-2.73%,18733139,2946.68,6.36,-5.19%,-1.70%,-48.83%,-55.86%,-35.15%,-11.70%,6.34%,55.98%,261.98%,51.02%,50.90%,21.30%,78.02%,13.31%
"CVNA","NYSE","Carvana Co","Consumer Cyclical","Auto & Truck Dealerships",77502.42,70.66,0.10%,5782977,11460.04,0.50,5.27%,2.55%,-4.79%,-24.60%,-16.28%,0.36%,5.57%,-9.76%,11.42%,51.98%,15.57%,1.73%,102.44%,11.04%
"BMNR","NYSE","BitMine Immersion Technologies Inc","Financial","Capital Markets",9313.81,15.44,-2.22%,28342947,37664.64,0.75,5.11%,-9.76%,-30.89%,-50.54%,-43.13%,-65.54%,5.00%,-218.15%,51.19%,2167.95%,,10.20%,34.21%,8.32%
"ANET","NYSE","Arista Networks Inc","Technology","Computer Hardware",212251.19,168.56,-1.95%,8402088,9840.19,0.85,-8.73%,-0.31%,9.22%,29.73%,28.64%,55.64%,6.17%,22.11%,26.22%,35.13%,22.43%,1.61%,73.09%,2.07%
"AFRM","NASD","Affirm Holdings Inc","Financial","Credit Services",26738.30,79.84,-2.29%,3774582,4857.14,0.78,-4.70%,11.04%,33.91%,5.09%,7.27%,18.79%,4.87%,733.72%,3549.38%,33.75%,157.75%,1.22%,76.44%,6.87%
"KLAR","NYSE","Klarna Group plc","Financial","Credit Services",7255.74,19.22,-1.84%,2084735,5555.60,0.38,-3.85%,9.20%,29.34%,-35.98%,-33.52%,,4.24%,126.24%,95.07%,44.37%,,0.81%,23.00%,21.92%
"GH","NASD","Guardant Health Inc","Healthcare","Diagnostics & Research",20552.98,155.00,-4.88%,2819021,2661.40,1.06,-5.53%,19.40%,82.65%,45.01%,51.75%,224.20%,5.17%,13.31%,-11.14%,48.26%,,3.66%,104.26%,9.54%
"RBLX","NYSE","Roblox Corp","Communication Services","Electronic Gaming & Multimedia",38670.01,54.01,-5.36%,8380104,11648.22,0.72,-4.29%,18.29%,-9.67%,-36.31%,-33.35%,-54.62%,4.44%,3.92%,-7.93%,39.30%,20.41%,6.21%,82.70%,4.66%
"ONON","NYSE","On Holding AG","Consumer Cyclical","Footwear & Accessories",12644.11,38.20,1.98%,2399752,5536.56,0.43,3.89%,-1.27%,7.82%,-19.17%,-17.81%,-27.76%,4.01%,75.67%,107.83%,31.34%,40.09%,0.39%,60.86%,9.21%
"TEM","NASD","Tempus AI Inc","Healthcare","Health Information Services",9622.87,53.59,-6.39%,4727188,6376.37,0.74,-12.86%,2.43%,-5.00%,-20.19%,-9.25%,-10.64%,7.78%,42.04%,-77.97%,36.12%,,3.06%,53.17%,31.67%
