"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"CVNA","NYSE","Carvana Co","Consumer Cyclical","Auto & Truck Dealerships",69649.07,63.50,5.03%,5131196,10921.43,0.60,-1.00%,-4.08%,-22.39%,-32.92%,-24.77%,-4.40%,4.19%,-10.15%,11.42%,51.98%,15.86%,1.23%,101.25%,11.47%,-4.06%,-5.07%,-12.31%
"BMNR","NYSE","BitMine Immersion Technologies Inc","Financial","Capital Markets",10746.96,17.82,12.83%,38961305,36949.43,1.35,7.13%,33.75%,-19.53%,-38.14%,-34.38%,-55.24%,6.71%,-218.15%,51.19%,2167.95%,,8.63%,32.47%,8.33%,14.90%,7.37%,-31.81%
"HUT","NASD","Hut 8 Corp","Financial","Capital Markets",11463.21,101.81,-7.44%,2723556,4559.64,0.77,0.87%,-13.49%,32.44%,74.87%,121.62%,399.56%,8.18%,-46.57%,-52.18%,225.54%,,2.58%,77.49%,11.59%,-2.33%,-8.55%,47.73%
"ASTS","NASD","AST SpaceMobile Inc","Technology","Communication Equipment",22069.73,56.86,1.18%,5358285,22360.44,0.31,-0.97%,-13.35%,-25.57%,-49.93%,-21.71%,4.65%,7.18%,-64.55%,-221.95%,1952.23%,,0.40%,41.97%,22.88%,-18.44%,-32.16%,-31.54%
"IONQ","NYSE","IonQ Inc","Technology","Computer Hardware",12868.48,34.47,4.98%,20135832,27332.80,0.94,0.69%,-31.81%,-19.24%,-27.04%,-23.17%,-20.14%,5.01%,82.70%,1570.07%,754.72%,-6.81%,2.33%,55.59%,12.82%,-16.52%,-33.72%,-26.84%
"SMCI","NASD","Super Micro Computer Inc","Technology","Computer Hardware",18694.57,28.90,-3.99%,27362515,54127.50,0.65,21.28%,-8.78%,-0.62%,-8.83%,-1.26%,-46.94%,7.29%,36.07%,314.07%,122.68%,21.39%,7.83%,62.27%,17.24%,4.77%,-11.55%,-13.32%
"RBLX","NYSE","Roblox Corp","Communication Services","Electronic Gaming & Multimedia",34431.42,48.09,1.14%,5290244,11459.17,0.59,-9.69%,3.66%,-14.26%,-35.12%,-40.65%,-59.53%,4.62%,3.87%,-7.93%,39.30%,20.33%,6.33%,82.59%,4.71%,-10.41%,-1.56%,-32.74%
"CDE","NYSE","Coeur Mining Inc","Basic Materials","Gold",15571.17,15.11,-0.13%,20959317,31022.85,0.87,6.71%,-5.50%,-21.75%,-42.13%,-15.26%,62.82%,4.43%,82.34%,451.88%,137.76%,33.11%,29.35%,77.36%,5.45%,-3.81%,-10.04%,-19.58%
"QXO","NYSE","QXO Inc","Industrials","Industrial Distribution",14524.09,13.99,2.38%,7079274,21670.54,0.42,3.36%,-22.25%,-33.26%,-41.47%,-27.45%,-36.93%,5.56%,-8.13%,-1037.83%,12708.71%,51.82%,2.72%,63.95%,11.21%,-6.53%,-12.72%,-29.00%
"APLD","NASD","Applied Digital Corp","Technology","Information Technology Services",7427.15,25.99,-4.41%,11952352,20899.56,0.73,-6.68%,-36.53%,-25.70%,-31.04%,6.00%,141.77%,7.28%,-1077.78%,-120.39%,139.29%,,8.77%,73.42%,26.94%,-15.12%,-32.65%,-20.64%
"AS","NYSE","Amer Sports Inc","Consumer Cyclical","Leisure",20448.85,35.36,4.25%,2006878,4226.64,0.61,-2.69%,3.64%,-1.33%,-6.25%,-5.32%,-6.10%,4.11%,30.04%,19.14%,32.12%,24.57%,8.71%,28.88%,7.75%,2.19%,1.55%,0.34%
"RKT","NYSE","Rocket Companies Inc","Financial","Mortgage Finance",37829.48,13.37,2.45%,14303417,28381.21,0.65,-4.43%,-9.54%,-14.29%,-36.54%,-30.94%,-10.87%,4.25%,140.57%,224.31%,112.90%,58.39%,0.50%,29.77%,14.20%,-7.37%,-4.35%,-19.37%
"COMP","NYSE","Compass Inc","Real Estate","Real Estate Services",8886.63,11.73,6.01%,10940003,14078.11,1.00,-0.04%,6.20%,49.49%,-11.97%,11.02%,62.53%,4.69%,225.97%,128.96%,99.38%,,27.43%,84.55%,7.02%,-1.11%,17.66%,22.48%
"CBRS","NASD","Cerebras Systems Inc","Technology","Semiconductors",51195.23,184.66,-7.26%,3929721,7772.43,0.65,4.40%,9.58%,,,-47.24%,,15.34%,,44.27%,94.35%,,47.31%,4.77%,13.02%,-7.02%,-16.57%,-16.57%
"BTDR","NASD","Bitdeer Technologies Group","Technology","Software - Application",2705.65,11.12,-3.81%,5766971,9550.11,0.77,-2.20%,-32.15%,-7.79%,-23.47%,-0.80%,-24.04%,7.95%,-49.29%,-138.15%,169.41%,-9.13%,38.14%,47.19%,43.35%,-13.91%,-26.98%,-17.40%
"FIG","NYSE","Figma Inc","Technology","Software - Application",11946.59,22.61,7.05%,8173650,20972.77,0.50,-5.87%,34.26%,29.42%,-21.85%,-39.50%,,7.28%,-39.30%,-1719.05%,46.12%,0.78%,18.99%,29.22%,33.16%,3.76%,5.69%,-23.86%
"IOT","NYSE","Samsara Inc","Technology","Software - Infrastructure",21118.47,36.13,9.12%,2733895,6016.06,0.58,-6.28%,24.67%,20.59%,12.55%,1.92%,-7.34%,6.81%,27.16%,294.10%,30.52%,26.80%,10.47%,63.05%,11.22%,1.31%,7.33%,7.63%
"NBIS","NASD","Nebius Group NV","Technology","Software - Infrastructure",46525.13,184.88,-1.54%,13331241,18253.85,0.94,1.24%,-27.96%,25.63%,95.64%,120.87%,259.90%,11.13%,-44.20%,521.40%,621.52%,-14.09%,15.68%,50.69%,30.22%,-12.12%,-18.36%,31.78%
"ZETA","NYSE","Zeta Global Holdings Corp","Technology","Software - Infrastructure",5167.11,20.73,8.36%,3555199,9243.24,0.49,-2.86%,15.94%,18.25%,-4.69%,1.87%,29.24%,5.56%,31.42%,45.37%,49.88%,25.08%,1.20%,74.33%,14.37%,-1.65%,1.35%,10.31%
