"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"FLY","NASD","Firefly Aerospace Inc","Industrials","Aerospace & Defense",3908.06,23.34,2.28%,2684532,3600.26,0.75,13.93%,-4.52%,-14.20%,-2.77%,4.36%,-52.86%,6.58%,-41.05%,-2.13%,656.85%,22.04%,19.58%,36.68%,10.46%,8.26%,4.98%,-15.85%,2.12%
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",3717.73,16.24,3.31%,8321468,9476.84,0.88,17.09%,-11.35%,-22.48%,-20.04%,0.06%,60.32%,7.02%,12.50%,-33.24%,309.77%,,12.81%,78.81%,23.26%,8.05%,7.20%,-19.16%,3.57%
"PL","NYSE","Planet Labs PBC","Industrials","Aerospace & Defense",6152.66,16.91,-0.94%,10044048,9552.72,1.05,5.56%,-24.14%,-40.73%,-50.00%,-14.25%,52.21%,4.82%,-33.25%,65.01%,58.14%,,4.34%,60.89%,10.27%,-6.89%,-18.78%,-37.96%,-1.40%
"RDW","NYSE","Redwire Corp","Industrials","Aerospace & Defense",2939.91,11.76,1.38%,12522163,16862.27,0.74,9.40%,-2.16%,-3.76%,25.37%,54.74%,45.01%,6.81%,67.06%,86.71%,89.56%,62.87%,7.23%,58.29%,17.20%,7.80%,9.16%,7.97%,0.64%
"RKLB","NASD","Rocket Lab Corp","Industrials","Aerospace & Defense",43077.13,71.98,2.99%,21931280,20222.13,1.08,13.27%,-0.81%,-24.33%,5.85%,3.18%,44.51%,6.02%,25.20%,39.33%,61.99%,,4.89%,54.82%,7.70%,10.69%,3.46%,-10.86%,0.47%
"JHX","NYSE","James Hardie Industries plc","Basic Materials","Building Materials",15871.48,27.34,2.59%,15661086,8613.88,1.82,1.03%,-10.15%,12.60%,40.06%,31.76%,39.63%,5.11%,21.98%,22.93%,63.86%,20.25%,3.20%,53.11%,1.78%,-4.13%,-3.20%,15.50%,2.63%
"BMNR","NYSE","BitMine Immersion Technologies Inc","Financial","Capital Markets",17348.80,28.76,1.81%,40309824,39832.26,1.01,21.86%,25.97%,90.09%,35.21%,5.93%,-47.80%,6.17%,-263.44%,51.19%,2167.95%,,8.66%,41.38%,6.94%,15.13%,38.06%,30.49%,2.79%
"HOOD","NASD","Robinhood Markets Inc","Financial","Capital Markets",111710.98,124.25,0.77%,15962082,22758.30,0.70,12.49%,14.91%,20.34%,71.40%,9.86%,-0.51%,6.52%,4.74%,44.87%,34.50%,20.67%,6.57%,67.69%,4.67%,9.87%,19.83%,31.01%,1.02%
"HUT","NASD","Hut 8 Corp","Financial","Capital Markets",13140.69,106.61,3.08%,5373369,4749.99,1.13,22.41%,31.85%,-11.53%,101.38%,132.06%,181.52%,8.07%,-119.39%,-207.87%,81.44%,38.12%,0.47%,79.06%,13.24%,17.93%,14.17%,36.29%,4.52%
"SBET","NASD","Sharplink Inc","Financial","Capital Markets",2222.20,10.23,2.51%,16115987,9599.44,1.68,22.81%,29.33%,106.04%,36.22%,14.43%,-38.41%,7.31%,31.57%,56.02%,1553.26%,,17.48%,59.67%,17.28%,17.42%,39.70%,37.41%,3.23%
