"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)"
"XOP","NYSE",170.18,2.25%,3346954,3740.65,0.89,7.32%,8.28%,1.41%,28.98%,34.79%,31.70%,Energy,-3.90,2.65,37.17,35.37
"KRE","NYSE",76.69,-1.58%,15369482,14592.95,1.05,2.23%,5.79%,11.42%,14.50%,18.33%,21.40%,Financials,3.15,18.30,11.92,21.44
"BOAT","NYSE",41.39,-0.40%,9600,23.02,0.42,2.21%,-1.54%,1.36%,21.57%,31.15%,39.63%,Industrials,0.00,-11.28,27.48,31.39
"KWEB","NYSE",26.81,-2.44%,32193649,25886.53,1.24,1.63%,3.59%,-10.93%,-27.19%,-21.26%,-24.92%,Technology,-8.22,-7.06,-13.70,20.19
"XRT","NYSE",89.42,-1.17%,6322943,5256.56,1.20,1.52%,2.69%,5.82%,-0.40%,4.84%,12.51%,Consumer Discretionary,-4.98,-2.20,-3.07,72.52
"COAL","NYSE",22.96,0.06%,12955,73.61,0.18,1.48%,-8.69%,-10.37%,-12.62%,0.67%,17.79%,Energy,-14.40,-47.52,154.06,256.38
"KIE","NYSE",64.17,1.10%,1157471,1313.91,0.88,1.12%,9.15%,11.29%,8.85%,6.68%,11.33%,Financials,27.72,37.23,5.59,-29.99
"IBUY","NYSE",71.17,-1.62%,24395,12.66,1.93,0.59%,3.67%,3.41%,-6.14%,-4.39%,1.82%,Consumer Discretionary,-11.24,-11.24,-19.39,-28.70
"CIBR","NASD",92.36,0.51%,1285771,1634.74,0.79,0.52%,8.56%,40.11%,27.53%,29.27%,24.73%,Technology,2.31,2.62,3.60,12.63
"IGV","CBOE",92.80,-0.96%,10121091,19856.43,0.51,0.42%,1.57%,10.00%,-8.18%,-12.20%,-16.63%,Technology,-2.85,7.79,81.00,22.25
