"Ticker","Exchange","Price","Change","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)"
"COPX","NYSE",77.72,-0.83%,5.96%,2.67%,-5.75%,-5.48%,8.26%,70.03%,1.90%,-4.55%,1.16%,-47660800.00,-0.66,388138900.00,5.70,2404050400.00,50.15,3739474400.00,108.14
"RING","NASD",64.49,0.00%,5.86%,0.67%,-19.34%,-28.12%,-12.43%,42.90%,0.28%,-7.10%,-14.35%,-119869.60,-0.01,-291683689.30,-12.01,-401770660.15,-15.82,-27014614.25,-1.25
"BOAT","NYSE",43.76,1.63%,5.72%,5.57%,9.49%,28.52%,38.64%,41.40%,7.52%,6.25%,17.45%,0.00,0.00,-9331170.00,-10.79,15822295.00,25.81,17532757.50,29.43
"SIL","NYSE",75.44,0.21%,5.16%,-0.17%,-19.91%,-30.57%,-9.67%,49.56%,-0.58%,-8.25%,-12.77%,-36348900.00,-0.88,-249775300.00,-5.77,-473243300.00,-10.40,690861900.00,20.41
"ITA","CBOE",240.14,0.80%,4.08%,1.67%,9.60%,1.83%,11.85%,22.00%,0.87%,2.88%,6.75%,-37246783.30,-0.26,-662537521.25,-4.46,-92783645.55,-0.65,2848535752.65,25.11
"OIH","NYSE",391.66,2.27%,3.34%,5.49%,-7.95%,14.67%,37.54%,54.78%,4.07%,-3.02%,9.41%,-41458500.00,-1.99,-70595396.10,-3.35,172044503.28,9.22,337938222.32,19.88
"COAL","NYSE",23.68,-1.33%,3.12%,2.11%,-7.14%,-12.58%,3.81%,12.32%,2.57%,-3.81%,-4.05%,-5842400.00,-10.39,-23823900.00,-32.10,29841500.00,145.14,35402600.00,236.04
"URA","NYSE",39.89,-3.01%,3.00%,-10.80%,-29.36%,-29.47%,-6.65%,-5.38%,-4.13%,-12.39%,-19.52%,35734000.00,0.65,-23023700.00,-0.41,835177900.00,17.71,1861289700.00,50.46
"BLOK","NYSE",60.25,-2.89%,2.94%,-5.28%,0.33%,-4.27%,5.91%,-1.98%,-2.58%,-5.09%,-0.92%,-40405720.00,-3.54,-87922760.00,-7.39,-59266810.00,-5.11,-95693760.00,-8.00
"PAVE","CBOE",57.69,0.31%,2.47%,-1.23%,2.38%,11.65%,20.72%,25.14%,1.12%,1.39%,9.89%,34146600.00,0.24,868440900.00,6.51,2086349700.00,17.20,2592026200.00,22.30
"XOP","NYSE",174.05,-0.92%,2.27%,13.74%,2.65%,29.38%,37.85%,35.14%,6.56%,5.80%,15.57%,95711447.40,2.70,231432117.00,6.79,1079083885.15,42.17,918254408.05,33.76
"EWZ","NYSE",35.73,-1.22%,1.42%,5.55%,-10.88%,-0.61%,12.46%,32.15%,1.41%,1.41%,1.45%,-461720200.20,-4.85,-1357287026.50,-13.04,1817705196.00,25.13,2549088315.55,39.21
"SMH","NASD",561.19,-3.27%,0.84%,-9.33%,16.47%,39.32%,55.83%,94.99%,-5.55%,-6.29%,25.92%,2398791500.00,3.72,1850428248.48,2.84,7214824190.21,12.08,10861350139.23,19.36
"BOIL","NYSE",22.59,-1.35%,0.80%,-19.67%,-12.37%,-56.81%,-50.68%,-69.78%,-6.95%,-14.39%,-44.94%,117803697.60,46.04,-90031371.19,-19.42,-254909364.80,-40.55,-51363575.42,-12.08
"IGPT","NYSE",88.68,-3.35%,0.24%,-11.19%,23.53%,37.40%,49.12%,75.78%,-6.91%,-7.78%,24.54%,57283636.90,5.11,191493383.90,19.43,211513131.30,21.90,268718008.50,29.58
"XHB","NYSE",108.44,1.64%,0.18%,-5.11%,-0.91%,-4.54%,5.32%,2.74%,-1.06%,1.90%,1.44%,102659262.85,6.78,39189084.25,2.49,-70886973.60,-4.20,60235317.55,3.87
"KIE","NYSE",64.14,2.18%,-0.05%,7.40%,10.09%,9.62%,6.63%,12.43%,1.51%,7.59%,9.96%,168765655.00,35.48,136916266.00,26.98,34182002.55,5.60,-273388195.60,-29.79
"IHI","NYSE",50.23,1.60%,-0.55%,1.23%,-5.24%,-17.36%,-19.18%,-17.22%,-0.92%,0.49%,-11.12%,-66153475.85,-2.15,-105331117.20,-3.38,-317936207.90,-9.55,-709861943.85,-19.08
"IAI","NYSE",186.90,-0.23%,-0.78%,3.04%,6.02%,-0.67%,4.20%,7.16%,0.13%,1.86%,5.42%,-67458025.55,-4.74,-247230071.25,-15.43,-309396162.65,-18.58,-161562637.35,-10.65
"JETS","NYSE",30.10,2.66%,-1.18%,-7.33%,17.03%,4.22%,7.23%,23.26%,-5.02%,0.90%,9.40%,-124284200.00,-14.26,-187299830.00,-20.04,-130845300.00,-14.90,-315533285.00,-29.69
"KRE","NYSE",75.73,0.77%,-1.25%,2.38%,8.19%,8.29%,16.85%,21.79%,0.41%,4.63%,12.08%,-253869435.20,-5.56,252397329.95,6.21,-126016703.75,-2.84,116435731.95,2.77
"BETZ","NYSE",18.92,1.65%,-1.36%,1.92%,-0.26%,-1.83%,-9.83%,-21.51%,-1.36%,-0.76%,-3.75%,-9584925.00,-16.32,-2601225.00,-5.03,-7767962.50,-13.65,-20318177.50,-29.25
"UFO","NASD",42.96,-1.74%,-1.54%,-7.57%,-18.79%,-8.30%,11.15%,38.63%,-7.53%,-17.94%,-5.12%,-143367772.50,-19.24,76255790.00,14.51,548529172.50,1028.38,612884267.50,
"BOTZ","NASD",33.83,-1.40%,-1.66%,-7.52%,-7.72%,-10.69%,-6.62%,-1.91%,-6.09%,-10.46%,-8.53%,7465500.00,0.24,116387900.00,3.82,231714200.00,7.91,354344800.00,12.62
