"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"ITA","CBOE",244.98,0.44%,640007,806.78,0.79,6.63%,3.46%,13.40%,4.97%,14.11%,23.70%,Industrials,-0.75,-4.48,-0.64,24.31,2.62%,4.61%,8.76%
"IHI","NYSE",52.69,2.57%,4152521,2950.01,1.41,5.49%,3.25%,-0.06%,-13.25%,-15.22%,-13.86%,Healthcare,-1.20,-1.84,-8.63,-18.03,3.69%,5.13%,-6.63%
"JETS","NYSE",31.86,2.87%,2612099,3357.05,0.78,4.42%,-4.27%,24.79%,12.50%,13.50%,29.09%,Industrials,-14.88,-16.90,-14.56,-29.13,1.10%,6.05%,15.52%
"KIE","NYSE",66.45,2.64%,1282455,1322.40,0.97,4.35%,8.85%,14.99%,13.59%,10.47%,16.52%,Financials,31.01,28.10,5.55,-29.37,4.44%,10.75%,13.81%
"XHB","NYSE",109.64,0.37%,1885610,2677.08,0.70,3.49%,-5.19%,1.15%,-1.58%,6.49%,2.85%,Consumer Discretionary,5.72,5.84,0.33,8.72,0.59%,2.64%,2.54%
"XRT","NYSE",91.52,2.21%,5072621,5252.82,0.97,3.46%,3.16%,7.35%,3.07%,7.30%,12.14%,Consumer Discretionary,-3.75,34.62,5.86,10.06,3.75%,6.45%,7.72%
"IBUY","NYSE",72.81,2.31%,11202,12.88,0.87,2.66%,4.63%,5.82%,-2.28%,-2.19%,0.98%,Consumer Discretionary,-14.13,-14.13,-22.03,-31.05,3.16%,6.58%,4.63%
"BETZ","NYSE",19.66,0.93%,6511,40.86,0.16,2.30%,4.70%,1.57%,2.51%,-6.28%,-18.04%,Consumer Discretionary,-15.89,-4.88,-13.28,-28.60,2.17%,2.89%,0.20%
"BOAT","NYSE",43.32,1.00%,20905,23.98,0.87,1.67%,9.37%,7.79%,26.48%,37.25%,40.63%,Industrials,0.00,-10.94,26.30,30.00,5.37%,5.10%,15.86%
"PAVE","CBOE",57.10,-0.66%,1808505,1882.71,0.96,1.60%,-2.96%,1.48%,11.70%,19.48%,22.37%,Infrastructure,0.08,6.39,17.26,22.18,0.34%,0.31%,8.57%
"INDA","CBOE",49.38,1.00%,8110180,6222.40,1.30,1.23%,-0.36%,0.00%,-4.00%,-8.64%,-7.23%,,-3.51,1.65,-23.75,-29.00,1.02%,1.58%,-3.26%
"EWZ","NYSE",36.05,0.50%,13790801,23546.50,0.59,1.21%,3.98%,-9.63%,-1.53%,13.47%,36.40%,,-4.84,-13.01,25.05,39.07,1.93%,2.43%,2.17%
"KWEB","NYSE",27.31,1.15%,15212095,25183.47,0.60,1.07%,14.08%,-3.70%,-23.76%,-19.79%,-24.14%,Technology,-2.25,-10.57,-13.66,1.99,3.76%,3.58%,-14.96%
"KRE","NYSE",76.79,1.68%,12467961,14417.55,0.86,1.07%,2.16%,9.59%,13.04%,18.48%,24.10%,Financials,-7.44,5.88,-2.50,1.41,1.65%,5.59%,13.43%
"RING","NASD",63.81,-1.91%,1729163,572.22,3.02,0.33%,-3.26%,-20.72%,-30.73%,-13.35%,43.20%,Materials,-2.51,-13.87,-17.50,-4.93,-0.63%,-7.11%,-15.23%
"IAI","NYSE",188.85,0.11%,98983,104.15,0.95,0.13%,7.41%,6.31%,1.66%,5.29%,7.98%,Financials,-4.70,-15.30,-18.43,-10.56,0.47%,2.71%,6.44%
"IGV","CBOE",91.78,0.96%,24288938,18499.16,1.31,-0.04%,4.06%,7.43%,-7.11%,-13.16%,-18.69%,Technology,-9.00,2.55,64.97,14.92,-0.43%,-1.11%,-3.44%
"UFO","NASD",43.83,-0.14%,724699,1293.18,0.56,-0.39%,-5.11%,-13.45%,-3.20%,13.40%,45.13%,Space Exploration & Technology,-20.02,13.64,838.27,56706.30,-4.87%,-15.42%,-3.29%
"CIBR","NASD",89.28,0.20%,1112505,1615.68,0.69,-1.44%,4.59%,32.17%,23.85%,24.95%,20.15%,Technology,1.95,3.45,4.24,13.14,-2.14%,1.83%,19.70%
"SIL","NYSE",73.99,-2.36%,711148,1505.89,0.47,-2.04%,-5.65%,-21.04%,-33.94%,-11.41%,50.97%,Materials,-1.06,-6.32,-10.51,19.68,-2.10%,-8.86%,-14.47%
"COPX","NYSE",76.52,-1.77%,2376955,3715.16,0.64,-2.20%,0.45%,-6.34%,-13.12%,6.59%,71.34%,Materials,-0.66,6.41,50.08,112.85,0.16%,-5.40%,-0.59%
"BOTZ","NASD",33.98,-1.05%,1075552,1005.41,1.07,-2.61%,-5.64%,-11.72%,-10.48%,-6.21%,-0.82%,Robotics & Automation,0.23,3.76,7.78,12.00,-5.08%,-9.37%,-8.05%
"COAL","NYSE",22.83,-1.95%,26203,56.67,0.46,-2.62%,-0.97%,-9.99%,-12.94%,0.07%,14.36%,Energy,-10.61,-32.61,153.86,240.29,-1.14%,-6.97%,-7.50%
"XBI","NYSE",149.78,-0.54%,8913355,9052.07,0.98,-3.06%,-3.60%,12.58%,17.14%,22.84%,73.02%,Healthcare,-2.65,3.01,2.80,14.81,-3.99%,3.87%,16.67%
"OIH","NYSE",371.35,-3.72%,346393,363.70,0.95,-3.17%,-1.12%,-15.49%,7.56%,30.40%,44.70%,Energy,-2.06,-8.19,8.32,16.44,-1.44%,-7.49%,3.41%
"URA","NYSE",38.95,-3.40%,3186877,3605.11,0.88,-3.23%,-10.64%,-31.31%,-29.09%,-8.85%,-4.98%,Materials,0.64,-1.75,17.44,49.45,-5.45%,-13.45%,-21.23%
"XOP","NYSE",166.37,-1.60%,3762247,3624.32,1.04,-4.29%,7.56%,-1.84%,23.43%,31.77%,27.07%,Energy,2.48,4.93,42.25,33.83,1.07%,1.16%,10.22%
"MAGS","CBOE",63.44,0.68%,3058786,4236.91,0.72,-5.24%,2.99%,-5.43%,-3.76%,-3.82%,9.00%,Technology,12.60,-17.42,-5.76,36.52,-3.84%,-4.62%,-2.44%
"IPO","NYSE",51.39,-1.66%,17593,39.75,0.44,-5.46%,-9.72%,4.41%,8.26%,12.57%,10.56%,,-5.11,2.34,-2.13,-7.41,-6.87%,-6.88%,6.03%
"BLOK","NYSE",59.45,-1.63%,329630,308.96,1.07,-5.54%,-5.89%,-0.50%,-4.48%,4.50%,-1.99%,Fintech,-3.53,-7.61,-5.09,-7.98,-3.38%,-6.06%,-2.03%
