"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"WISE","NASD",36.71,0.00%,0,11.19,0.00,15.28%,0.86%,-4.87%,-0.80%,-5.79%,-4.10%,Robotics & Automation,-8.98,-2.92,-16.15,-4.29,5.39%,-3.00%,-4.45%,0.00%
"RING","NASD",73.16,1.34%,154,655.26,0.00,11.20%,15.69%,-8.86%,-13.21%,-0.65%,49.58%,Materials,-8.55,-17.45,-21.60,-9.96,12.79%,8.25%,-2.81%,0.00%
"COPX","NYSE",88.19,1.70%,58464,3632.76,0.32,10.93%,20.74%,5.53%,1.82%,22.84%,99.21%,Materials,1.63,7.14,46.59,103.68,12.33%,9.24%,13.58%,1.70%
"SIL","NYSE",84.20,0.51%,23325,1408.08,0.33,10.51%,13.75%,-11.07%,-15.41%,0.81%,62.58%,Materials,-1.56,-6.14,-10.70,17.80,11.17%,5.85%,-2.79%,0.51%
"IPO","NYSE",54.50,0.00%,0,39.69,0.00,9.44%,-3.78%,6.42%,24.37%,19.39%,16.30%,,-3.13,2.20,-2.00,-5.74,1.58%,-1.68%,12.26%,0.00%
"CIBR","NASD",97.78,0.22%,1213,1644.18,0.01,8.62%,6.68%,39.35%,46.97%,36.85%,33.87%,Technology,1.15,3.05,3.55,11.52,6.29%,9.41%,30.00%,0.22%
"URA","NYSE",43.07,0.42%,4580,3697.29,0.02,8.44%,3.39%,-26.07%,-17.79%,0.80%,4.57%,Materials,0.47,-0.91,16.80,45.89,6.38%,-1.81%,-12.03%,0.42%
"JETS","NYSE",33.53,0.00%,0,3285.91,0.00,8.27%,3.14%,28.66%,14.24%,19.45%,42.20%,Industrials,-6.97,-6.95,-7.45,-17.96,7.04%,8.93%,20.61%,0.00%
"BLOK","NYSE",60.47,0.00%,0,291.85,0.00,7.58%,-1.87%,-3.80%,6.59%,6.29%,6.12%,Fintech,-2.62,-9.80,-6.72,-9.49,-0.53%,-3.96%,0.26%,0.00%
"MAGS","CBOE",68.47,0.07%,83304,4417.66,0.38,7.12%,4.07%,0.01%,6.83%,3.81%,16.56%,Technology,-0.94,-17.86,-6.72,29.47,3.29%,3.54%,5.14%,0.06%
"UFO","NASD",46.89,0.64%,392,1271.43,0.01,7.00%,-1.64%,-11.03%,7.84%,21.31%,51.24%,Space Exploration & Technology,-18.93,1.68,449.33,802.56,5.01%,-5.92%,2.99%,0.85%
"IGV","CBOE",99.63,-1.66%,38061,18000.82,0.04,6.77%,7.73%,13.45%,18.83%,-5.73%,-10.89%,Technology,0.16,4.37,62.32,22.28,6.48%,6.65%,5.46%,3.69%
"BOTZ","NASD",37.10,-0.54%,1527,973.38,0.03,6.30%,3.08%,-6.98%,1.33%,2.40%,10.41%,Robotics & Automation,1.37,3.48,8.74,12.58,5.04%,0.43%,0.44%,-0.49%
"XHB","NYSE",110.88,0.00%,0,2734.62,0.00,5.92%,1.34%,7.85%,-0.62%,7.69%,3.37%,Consumer Discretionary,-24.35,-3.12,-10.53,-4.01,3.04%,2.77%,3.68%,0.00%
"IGPT","NYSE",91.14,-1.12%,10,229.22,0.00,5.73%,-4.63%,4.96%,48.61%,53.25%,82.03%,Robotics & Automation,-5.77,12.26,14.78,21.24,0.65%,-4.83%,25.49%,0.00%
"ITA","CBOE",251.36,-0.36%,116,766.01,0.00,5.56%,4.90%,12.51%,10.25%,17.08%,27.33%,Industrials,-0.13,-4.55,-0.77,22.34,5.19%,5.91%,10.96%,-0.36%
"SMH","NASD",568.66,-0.18%,19768,12047.40,0.03,5.52%,-4.10%,3.44%,48.86%,57.90%,98.40%,Technology,3.76,5.63,15.71,22.72,0.60%,-4.45%,24.98%,0.12%
"PAVE","CBOE",58.65,0.00%,30,1917.79,0.00,4.55%,4.66%,0.51%,10.62%,22.72%,29.53%,Infrastructure,-2.31,3.45,15.63,20.11,3.03%,2.43%,10.78%,-0.89%
"ARKK","CBOE",75.92,-0.34%,1379,6713.74,0.00,4.14%,-5.29%,-4.60%,8.47%,-1.30%,2.38%,Innovation / Patent Based,-5.37,-7.15,-11.43,-25.99,0.83%,-1.93%,-1.47%,0.03%
"ICLN","NASD",18.21,0.61%,600,6127.54,0.00,3.06%,-4.41%,-14.59%,-2.83%,10.83%,33.90%,Green Investing,-11.82,3.67,9.79,18.09,0.07%,-8.54%,-2.48%,0.00%
"IAI","NYSE",189.95,0.00%,0,102.76,0.00,3.03%,0.61%,7.32%,5.78%,5.90%,9.51%,Financials,-4.09,-13.87,-18.42,-11.04,0.55%,2.72%,6.80%,0.00%
"OIH","NYSE",385.54,0.12%,4,344.08,0.00,2.58%,2.04%,-10.88%,6.35%,35.39%,61.35%,Energy,-10.88,-15.85,1.08,15.03,0.94%,-1.72%,6.00%,0.00%
"IBUY","NYSE",73.82,0.00%,0,15.34,0.00,2.50%,4.67%,10.22%,5.67%,-0.83%,4.11%,Consumer Discretionary,-3.09,-13.61,-21.29,-26.81,3.43%,6.45%,6.13%,0.00%
"TAN","NYSE",51.00,-0.53%,366,1469.92,0.00,2.33%,-5.80%,-15.66%,-12.22%,3.83%,41.39%,Green Investing,-9.72,-3.60,37.45,56.30,-2.46%,-12.29%,-7.27%,-0.53%
"COAL","NYSE",23.36,0.00%,0,51.08,0.00,2.27%,5.04%,-10.60%,-11.58%,2.41%,17.10%,Energy,-7.22,-22.84,159.76,229.79,0.88%,-3.93%,-5.21%,0.00%
"KRE","NYSE",77.30,-0.05%,83,14506.97,0.00,1.84%,5.40%,9.32%,6.84%,19.27%,30.20%,Financials,-16.42,-3.72,-2.30,8.16,1.45%,4.64%,13.26%,0.01%
"IHI","NYSE",53.57,-0.28%,23,2960.42,0.00,1.57%,4.50%,7.76%,-7.58%,-13.81%,-10.39%,Healthcare,1.70,0.28,-4.57,-13.21,3.78%,5.89%,-4.73%,-1.14%
