"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"ASAN","NYSE","Asana Inc","Technology","Software - Application",1581.30,6.86,4.41%,4714477,6211.69,0.76,-10.79%,3.16%,12.46%,-38.53%,-49.96%,-54.08%,8.31%,38.07%,64.50%,9.52%,28.76%,25.13%,44.93%,39.51%
"ASST","NASD","Strive Inc","Financial","Asset Management",962.20,11.49,-4.96%,2212896,4198.63,0.53,-3.12%,-8.45%,-29.07%,-33.97%,-22.15%,-86.82%,6.03%,59.66%,-79.68%,1516.41%,,66.24%,43.60%,30.24%
"CRK","NYSE","Comstock Resources Inc","Energy","Oil & Gas E&P",3970.77,13.52,-1.46%,1694568,2697.56,0.63,1.35%,0.45%,-21.40%,-44.75%,-41.67%,-36.26%,4.54%,-22.94%,187.58%,14.53%,36.25%,-1.83%,28.99%,30.62%
"CSIQ","NASD","Canadian Solar Inc","Technology","Solar",906.42,13.35,-9.12%,2804005,2937.48,0.95,-10.70%,-10.88%,-9.00%,-37.76%,-43.84%,3.89%,7.39%,66.90%,6.72%,-9.92%,,18.98%,52.02%,34.53%
"GEMI","NASD","Gemini Space Station Inc","Financial","Capital Markets",511.75,4.29,-2.50%,518681,1925.75,0.27,2.39%,2.63%,-1.83%,-57.40%,-56.75%,,6.61%,58.49%,26.67%,630.01%,33.12%,-1.95%,8.91%,36.18%
"GRND","NYSE","Grindr Inc","Technology","Software - Application",2639.23,14.85,1.02%,1291066,1715.14,0.75,-2.69%,12.67%,13.53%,23.96%,9.68%,-22.45%,4.75%,40.76%,69.80%,38.33%,27.35%,-3.11%,20.33%,36.60%
"GRPN","NASD","Groupon Inc","Communication Services","Internet Content & Information",980.37,25.81,1.53%,975907,1837.91,0.53,-7.26%,40.88%,76.54%,59.52%,46.56%,-22.28%,8.38%,93.59%,-284.42%,0.01%,,-4.75%,68.12%,66.68%
"METC","NASD","Ramaco Resources Inc","Basic Materials","Coking Coal",640.53,10.35,-7.59%,2217645,1475.13,1.50,-11.23%,-17.66%,-25.97%,-59.41%,-42.50%,-54.66%,7.54%,23.57%,-55.83%,-9.69%,,-6.94%,62.76%,30.13%
"MRLN","NASD","Merlin Inc","Industrials","Aerospace & Defense",334.94,3.47,-1.56%,960194,2601.97,0.37,-3.34%,-38.37%,-72.74%,-67.42%,-67.63%,-66.44%,12.85%,-212.73%,-1849.10%,,-26.37%,30.74%,5.82%,71.35%
"NNE","NASD","Nano Nuclear Energy Inc","Industrials","Specialty Industrial Machinery",811.98,15.59,-7.64%,2195648,2745.14,0.80,-2.74%,-32.66%,-38.45%,-56.80%,-35.07%,-59.97%,6.24%,15.29%,69.08%,,-20.67%,-10.15%,46.30%,32.32%
"PLAY","NASD","Dave & Buster's Entertainment Inc","Communication Services","Entertainment",343.36,9.87,1.23%,865374,1802.82,0.48,-3.14%,-18.36%,-22.28%,-52.30%,-39.11%,-69.11%,6.97%,39.91%,-73.55%,-1.50%,15.32%,-9.01%,109.95%,33.54%
"POET","NASD","POET Technologies Inc","Technology","Semiconductors",1189.15,6.89,-9.34%,13706116,40087.86,0.34,-6.77%,-35.37%,-41.21%,-0.72%,8.85%,10.42%,7.50%,-90.36%,-203.33%,201.86%,,20.62%,69.43%,30.10%
"RUM","NASD","RUM Group Inc","Communication Services","Internet Content & Information",2488.87,5.71,-4.67%,1398774,3410.61,0.41,-0.87%,-7.90%,-12.42%,-9.51%,-9.65%,-41.26%,4.84%,12.50%,-935.71%,7.39%,,2.42%,15.34%,36.56%
"SAIL","NASD","Sailpoint Inc","Technology","Software - Infrastructure",8479.39,14.95,4.44%,2197800,4448.24,0.49,-4.66%,18.93%,28.77%,-13.63%,-26.10%,-26.97%,5.04%,33.45%,65.12%,21.55%,24.67%,0.69%,15.05%,33.95%
"SECZ","NYSE","Securitize Corp","Technology","Software - Application",1219.24,7.47,2.33%,829086,1069.69,0.78,4.04%,-29.86%,-32.46%,-40.90%,-33.66%,-33.42%,12.83%,-574.95%,8811.11%,,74.59%,,9.21%,42.70%
"SERV","NASD","Serve Robotics Inc","Industrials","Specialty Industrial Machinery",372.17,4.81,-4.56%,3288777,4572.71,0.72,-5.50%,-21.41%,-48.39%,-63.70%,-53.66%,-57.81%,5.16%,-63.91%,-177.29%,577.47%,-6.20%,5.71%,41.80%,33.89%
"UPST","NASD","Upstart Holdings Inc","Financial","Credit Services",2577.51,26.93,-2.39%,3884056,4459.97,0.87,-8.74%,-17.52%,-17.95%,-41.81%,-38.42%,-67.44%,4.42%,-45.74%,-163.85%,44.45%,24.47%,-8.32%,60.50%,31.95%
"WOLF","NYSE","Wolfspeed Inc","Technology","Semiconductors",1200.04,23.09,-11.06%,6213925,7452.10,0.83,-22.75%,-49.66%,-16.19%,20.39%,32.62%,-89.17%,9.49%,-272.59%,-64.54%,-18.99%,,15.04%,87.49%,71.97%
"WYFI","NASD","Whitefiber Inc","Technology","Information Technology Services",912.45,23.63,-12.84%,2265514,2377.58,0.95,-6.04%,-38.96%,41.33%,20.01%,49.56%,,11.48%,-5.74%,-933.33%,46.00%,,-3.00%,21.15%,61.12%
