"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"ASAN","NYSE","Asana Inc","Technology","Software - Application",1786.45,7.75,12.97%,9155620,6174.03,1.48,1.97%,21.28%,21.28%,-30.43%,-43.47%,-47.99%,8.31%,38.07%,64.50%,9.52%,28.76%,25.13%,44.93%,39.51%,6.02%,7.63%,-18.25%
"ASST","NASD","Strive Inc","Financial","Asset Management",1020.82,12.19,6.09%,3458616,4196.23,0.82,-1.22%,6.93%,-22.85%,-29.98%,-17.41%,-85.21%,6.03%,59.66%,-79.68%,1516.41%,,66.24%,43.60%,30.24%,-0.47%,-14.62%,-23.32%
"CRK","NYSE","Comstock Resources Inc","Energy","Oil & Gas E&P",3818.05,13.00,-3.85%,1746311,2700.96,0.65,0.85%,-6.27%,-23.26%,-46.33%,-43.92%,-37.32%,4.54%,-22.69%,187.58%,14.53%,36.25%,-1.83%,28.99%,30.62%,-4.94%,-4.76%,-31.47%
"CSIQ","NASD","Canadian Solar Inc","Technology","Solar",936.29,13.79,3.30%,2346752,2939.74,0.80,-9.28%,-12.83%,-2.34%,-38.52%,-41.99%,8.16%,7.39%,66.90%,6.72%,-9.92%,,18.98%,52.02%,34.53%,-7.57%,-15.57%,-26.31%
"GEMI","NASD","Gemini Space Station Inc","Financial","Capital Markets",530.84,4.45,3.73%,745554,1915.54,0.39,-1.11%,13.81%,1.37%,-54.22%,-55.14%,,6.61%,58.49%,26.67%,630.01%,33.12%,-1.95%,8.91%,36.18%,1.54%,-3.82%,-48.51%
"GRND","NYSE","Grindr Inc","Technology","Software - Application",2751.20,15.48,4.24%,2222279,1719.39,1.29,-0.58%,14.16%,14.84%,29.54%,14.33%,-15.36%,4.75%,40.76%,69.80%,38.33%,27.35%,-3.11%,20.33%,36.60%,0.50%,12.85%,19.10%
"GRPN","NASD","Groupon Inc","Communication Services","Internet Content & Information",1045.70,27.53,6.66%,1714660,1833.11,0.94,-1.50%,20.32%,87.66%,69.94%,56.33%,-16.45%,8.38%,93.59%,-284.42%,0.01%,,-4.75%,68.12%,66.68%,5.33%,28.95%,61.70%
"LVWR","NYSE","LiveWire Group Inc","Consumer Cyclical","Auto Manufacturers",497.57,2.43,66.44%,74453107,2079.54,35.80,194.69%,140.59%,19.12%,-8.99%,-45.02%,-42.55%,25.50%,,4.00%,55.20%,,-1.46%,1.95%,31.89%,149.79%,110.44%,-8.12%
"METC","NASD","Ramaco Resources Inc","Basic Materials","Coking Coal",629.39,10.17,-1.74%,1890531,1492.64,1.27,-11.10%,-19.60%,-26.25%,-63.31%,-43.50%,-54.88%,7.54%,23.57%,-55.83%,-9.69%,,-6.94%,62.76%,30.13%,-16.29%,-25.54%,-44.98%
"MRLN","NASD","Merlin Inc","Industrials","Aerospace & Defense",361.00,3.74,7.78%,912313,2604.37,0.35,4.47%,-29.17%,-68.86%,-64.92%,-65.11%,-63.83%,12.85%,-212.73%,-1849.10%,,-26.37%,30.74%,5.82%,71.35%,-11.84%,-36.05%,-59.97%
"NNE","NASD","Nano Nuclear Energy Inc","Industrials","Specialty Industrial Machinery",874.48,16.79,7.70%,2355400,2752.52,0.86,2.32%,-18.69%,-31.46%,-51.66%,-30.07%,-59.88%,6.24%,15.67%,69.08%,,-20.67%,-10.15%,46.30%,32.32%,-8.24%,-25.43%,-41.39%
