"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"CRK","NYSE","Comstock Resources Inc","Energy","Oil & Gas E&P",4451.29,15.16,-0.66%,2042231,2576.48,0.79,5.06%,13.05%,17.98%,-24.50%,-34.60%,-1.88%,4.71%,-29.85%,-92.98%,-25.21%,28.57%,1.98%,30.71%,31.27%,5.29%,9.37%,-15.87%,-2.19%
"CSIQ","NASD","Canadian Solar Inc","Technology","Solar",941.73,13.87,4.92%,2430033,2235.22,1.09,12.49%,-12.82%,-18.60%,-17.19%,-41.65%,27.01%,5.09%,12.06%,-1156.77%,-28.70%,,17.42%,61.84%,33.25%,-2.73%,-5.66%,-22.24%,3.43%
"GRPN","NASD","Groupon Inc","Communication Services","Internet Content & Information",770.60,18.95,0.42%,1133372,1474.54,0.77,-1.20%,-24.29%,17.12%,57.00%,7.61%,-16.70%,4.71%,93.91%,-109.93%,-0.82%,,-2.71%,92.37%,38.53%,-4.77%,-20.18%,9.26%,1.61%
"KVYO","NYSE","Klaviyo Inc","Technology","Software - Application",5093.78,17.89,-3.87%,4545894,5816.33,0.78,-13.07%,7.64%,17.54%,-12.73%,-44.90%,-46.11%,5.85%,23.05%,65.02%,26.43%,25.54%,-10.91%,42.35%,30.30%,-4.19%,0.11%,-12.08%,-2.51%
"METC","NASD","Ramaco Resources Inc","Basic Materials","Coking Coal",724.93,12.53,-5.08%,1291240,1934.09,0.67,-12.01%,22.36%,-17.89%,-11.64%,-30.39%,-51.68%,9.59%,3.84%,8.51%,-5.33%,,-7.40%,61.13%,32.53%,0.71%,6.56%,-17.03%,-2.87%
"MRLN","NASD","Merlin Inc","Industrials","Aerospace & Defense",342.63,3.39,1.19%,1164863,2309.61,0.50,11.88%,-23.65%,-57.03%,-67.65%,-68.38%,-67.27%,9.17%,-338.64%,-2114.86%,,-25.22%,30.28%,17.32%,86.81%,-2.09%,-12.57%,-58.83%,0.30%
"NNE","NASD","Nano Nuclear Energy Inc","Industrials","Specialty Industrial Machinery",1039.06,19.35,9.20%,2365000,2302.71,1.03,5.80%,2.65%,-25.15%,-18.29%,-19.41%,-39.30%,3.95%,23.92%,0.92%,,-12.59%,0.66%,43.76%,32.83%,3.50%,6.08%,-22.38%,7.50%
"NUAI","NASD","New Era Energy & Digital Inc","Technology","Software - Infrastructure",703.30,6.60,22.00%,15397874,7458.40,2.06,39.09%,25.00%,34.56%,43.79%,125.26%,1905.47%,7.68%,49.04%,2.39%,-82.55%,21.14%,130.53%,58.17%,31.71%,27.08%,31.67%,37.51%,17.86%
"POET","NASD","POET Technologies Inc","Technology","Semiconductors",1438.11,8.31,4.92%,17846695,15572.39,1.15,11.39%,-6.73%,-32.33%,24.22%,31.28%,55.33%,4.76%,-86.62%,67.23%,112.29%,,11.37%,48.37%,30.19%,1.47%,1.90%,1.93%,3.88%
"SERV","NASD","Serve Robotics Inc","Industrials","Integrated Freight & Logistics",424.87,4.90,-0.91%,2751219,4461.82,0.62,0.62%,-3.64%,-35.61%,-48.37%,-52.79%,-53.33%,4.94%,-66.43%,-120.28%,404.36%,-9.04%,8.42%,37.97%,34.34%,1.08%,-6.72%,-43.66%,-1.51%
"VELO","NASD","Velo3D Inc","Technology","Computer Hardware",384.50,11.96,3.01%,842749,2841.28,0.30,0.42%,-15.54%,-26.31%,-2.05%,-12.95%,243.68%,4.51%,75.64%,60.11%,52.25%,55.56%,20.74%,37.84%,37.11%,-9.18%,-5.97%,-13.68%,2.31%
"WOLF","NYSE","Wolfspeed Inc","Technology","Semiconductors",1530.51,28.88,1.87%,2408245,4760.31,0.51,5.40%,-12.14%,-47.89%,62.61%,65.88%,-80.39%,6.87%,36.88%,34.73%,-24.06%,,48.04%,96.44%,68.71%,1.87%,-4.43%,-0.03%,-0.41%
"WYFI","NASD","Whitefiber Inc","Technology","Information Technology Services",799.10,20.57,5.27%,1876806,2751.60,0.68,8.72%,-16.48%,-12.09%,30.11%,30.19%,28.56%,7.69%,-26.65%,-72.22%,59.49%,,5.25%,26.12%,63.77%,-6.95%,-21.85%,-4.58%,2.85%
"XNDU","NASD","Xanadu Quantum Technologies Ltd","Technology","Software - Infrastructure",2919.13,9.59,-1.34%,1208107,1867.97,0.65,-10.87%,-12.82%,-26.63%,-6.71%,-10.96%,-4.39%,6.47%,47.98%,-444.47%,,23.82%,10.72%,6.66%,31.27%,-8.05%,-10.61%,-22.75%,-3.81%
