"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"KRMN","NYSE","Karman Holdings Inc","Industrials","Aerospace & Defense",6288.37,47.45,-2.73%,18733139,2946.68,6.36,-5.19%,-1.70%,-48.83%,-55.86%,-35.15%,-11.70%,6.34%,55.98%,261.98%,51.02%,50.90%,21.30%,78.02%,13.31%
"KTOS","NASD","Kratos Defense & Security Solutions Inc","Industrials","Aerospace & Defense",8805.94,46.96,-5.48%,3104603,4901.41,0.63,-3.87%,-17.64%,-37.10%,-60.78%,-38.14%,-13.49%,5.83%,38.90%,130.21%,22.60%,36.23%,8.88%,90.42%,5.46%
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",2916.76,13.44,-9.49%,13350385,13986.55,0.95,-20.47%,-47.83%,-43.72%,-23.51%,-17.19%,19.79%,5.81%,56.85%,-135.53%,198.65%,,16.23%,72.09%,26.54%
"ASST","NASD","Strive Inc","Financial","Asset Management",964.83,11.65,-7.61%,2580516,4406.71,0.59,-7.54%,-30.11%,-13.90%,-39.95%,-21.07%,-90.19%,5.79%,59.66%,-79.68%,1516.41%,,65.44%,44.02%,27.34%
"IREN","NASD","IREN Ltd","Financial","Capital Markets",12429.34,34.83,-9.01%,40936310,46311.03,0.88,-16.51%,-42.76%,-28.66%,-34.27%,-7.78%,101.21%,8.62%,-234.18%,-877.11%,13.25%,87.59%,4.81%,46.72%,24.68%
"AAOI","NASD","Applied Optoelectronics Inc","Technology","Communication Equipment",8043.53,100.24,-8.11%,9875344,11927.07,0.83,-17.98%,-47.67%,-29.68%,193.27%,187.55%,245.83%,10.44%,497.54%,-2.56%,51.36%,,12.20%,72.60%,14.18%
"ADTN","NASD","ADTRAN Holdings Inc","Technology","Communication Equipment",948.49,11.71,-1.43%,1703578,2538.87,0.67,-13.52%,-22.60%,-25.56%,30.11%,34.75%,21.22%,5.70%,128.80%,91.04%,15.48%,63.76%,11.22%,104.73%,16.92%
"UMAC","AMEX","Unusual Machines Inc","Technology","Computer Hardware",795.29,16.64,-10.15%,3978649,6016.03,0.66,-19.73%,-32.71%,7.91%,11.01%,30.61%,35.28%,10.91%,60.14%,203.99%,296.41%,34.81%,37.57%,57.44%,17.47%
"VELO","NASD","Velo3D Inc","Technology","Computer Hardware",308.29,10.35,-7.72%,2242249,3855.94,0.58,-29.29%,-55.20%,-8.37%,-48.49%,-24.71%,37.97%,12.10%,78.68%,85.25%,48.24%,58.48%,3.80%,24.96%,36.15%
"AMPX","NYSE","Amprius Technologies Inc","Industrials","Electrical Equipment & Parts",1430.43,10.10,-10.93%,9729266,8575.03,1.13,-14.98%,-39.95%,-44.81%,4.45%,28.01%,35.57%,5.74%,80.86%,53.65%,152.89%,,14.31%,63.06%,19.99%
"TEM","NASD","Tempus AI Inc","Healthcare","Health Information Services",9622.87,53.59,-6.39%,4727188,6376.37,0.74,-12.86%,2.43%,-5.00%,-20.19%,-9.25%,-10.64%,7.78%,42.04%,-77.97%,36.12%,,3.06%,53.17%,31.67%
