"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"KRMN","NYSE","Karman Holdings Inc","Industrials","Aerospace & Defense",6257.89,47.22,3.58%,1754807,3478.96,0.50,-5.03%,-5.41%,-28.43%,-59.04%,-35.47%,-6.29%,6.79%,55.98%,261.98%,51.02%,50.90%,18.83%,79.09%,12.10%,-3.02%,-8.20%,-36.87%
"KTOS","NASD","Kratos Defense & Security Solutions Inc","Industrials","Aerospace & Defense",8657.80,46.17,5.22%,3210989,4795.72,0.67,-6.61%,-7.40%,-22.48%,-59.02%,-39.18%,-20.41%,7.23%,38.90%,130.21%,22.60%,36.23%,8.23%,90.34%,5.62%,-5.16%,-12.77%,-38.76%
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",2658.51,12.25,7.55%,7677460,13325.46,0.58,-10.65%,-42.73%,-50.58%,-46.30%,-24.52%,6.06%,7.12%,45.79%,-135.53%,198.65%,,29.90%,81.52%,29.46%,-17.44%,-47.81%,-36.01%
"FIGS","NYSE","Figs Inc","Consumer Cyclical","Apparel Manufacturing",1752.33,10.49,-0.66%,3441116,3316.12,1.04,13.53%,2.54%,-30.21%,-7.09%,-7.66%,59.18%,5.57%,38.09%,5450.00%,28.02%,19.59%,4.54%,91.08%,13.13%,4.27%,-5.21%,-10.78%
"ASST","NASD","Strive Inc","Financial","Asset Management",999.88,11.94,7.96%,2864371,4176.26,0.69,-1.24%,9.44%,-17.14%,-25.43%,-19.11%,-82.34%,8.00%,59.66%,-79.68%,1516.41%,,66.24%,43.61%,30.24%,-2.69%,-14.54%,-23.15%
"IREN","NASD","IREN Ltd","Financial","Capital Markets",13653.36,38.26,30.54%,72377569,48475.41,1.49,-5.72%,-16.34%,-10.73%,-39.21%,1.30%,137.05%,10.57%,-277.30%,-802.55%,2.30%,71.80%,4.46%,46.94%,30.42%,-0.74%,-22.43%,-20.67%
"AAOI","NASD","Applied Optoelectronics Inc","Technology","Communication Equipment",7230.68,90.11,17.76%,10676082,11792.95,0.91,-19.56%,-39.18%,-41.04%,99.23%,158.49%,290.76%,12.64%,497.41%,-2.56%,51.36%,,12.49%,72.16%,13.10%,-16.64%,-37.76%,0.45%
"UMAC","AMEX","Unusual Machines Inc","Technology","Computer Hardware",980.25,20.51,18.83%,3181873,5839.74,0.54,-4.69%,-8.03%,49.27%,26.22%,60.99%,118.19%,12.16%,60.14%,203.99%,296.41%,34.81%,54.93%,57.67%,20.81%,5.81%,-5.34%,31.67%
"NEO","NASD","Neogenomics Inc","Healthcare","Diagnostics & Research",2040.19,15.88,3.99%,5264664,2664.62,1.98,11.52%,8.84%,77.23%,28.27%,35.03%,211.37%,6.57%,52.27%,104.85%,11.21%,56.84%,5.33%,106.70%,10.77%,10.01%,27.35%,46.89%
"TRU","NYSE","TransUnion","Financial","Financial Data & Stock Exchanges",15377.82,80.26,-4.14%,2205976,2448.00,0.90,8.71%,11.26%,13.89%,-1.12%,-6.40%,-16.87%,5.72%,12.56%,33.20%,14.91%,14.63%,4.54%,116.06%,5.66%,2.89%,10.38%,5.00%
