"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"KRMN","NYSE","Karman Holdings Inc","Industrials","Aerospace & Defense",4439.88,33.50,-4.86%,4572574,3374.82,1.35,-10.60%,-37.27%,-27.77%,-67.28%,-54.22%,-50.17%,7.41%,58.60%,106.03%,58.18%,54.53%,12.54%,89.47%,12.27%,-14.92%,-29.42%,-52.23%,-5.77%
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",3717.73,16.24,3.31%,8321468,9476.84,0.88,17.09%,-11.35%,-22.48%,-20.04%,0.06%,60.32%,7.02%,12.50%,-33.24%,309.77%,,12.81%,78.81%,23.26%,8.05%,7.20%,-19.16%,3.57%
"RDW","NYSE","Redwire Corp","Industrials","Aerospace & Defense",2939.91,11.76,1.38%,12522163,16862.27,0.74,9.40%,-2.16%,-3.76%,25.37%,54.74%,45.01%,6.81%,67.06%,86.71%,89.56%,62.87%,7.23%,58.29%,17.20%,7.80%,9.16%,7.97%,0.64%
"RKLB","NASD","Rocket Lab Corp","Industrials","Aerospace & Defense",43077.13,71.98,2.99%,21931280,20222.13,1.08,13.27%,-0.81%,-24.33%,5.85%,3.18%,44.51%,6.02%,25.20%,39.33%,61.99%,,4.89%,54.82%,7.70%,10.69%,3.46%,-10.86%,0.47%
"CRCL","NYSE","Circle Internet Group Inc","Financial","Capital Markets",24014.12,94.59,0.11%,12239933,14564.06,0.84,9.61%,7.51%,24.99%,-25.31%,19.28%,-31.28%,7.80%,342.04%,108.51%,6.57%,,6.36%,44.87%,10.72%,2.68%,21.41%,9.98%,-2.46%
"GLXY","NASD","Galaxy Digital Inc","Financial","Capital Markets",10620.46,27.17,4.22%,22810900,6435.82,3.54,21.89%,14.93%,-13.33%,25.21%,21.51%,-19.35%,6.52%,-19.52%,-191.71%,-73.19%,,3.37%,77.66%,16.23%,10.34%,18.05%,8.59%,4.70%
"SBET","NASD","Sharplink Inc","Financial","Capital Markets",2222.20,10.23,2.51%,16115987,9599.44,1.68,22.81%,29.33%,106.04%,36.22%,14.43%,-38.41%,7.31%,31.57%,56.02%,1553.26%,,17.48%,59.67%,17.28%,17.42%,39.70%,37.41%,3.23%
"SMCI","NASD","Super Micro Computer Inc","Technology","Computer Hardware",27290.34,41.54,0.83%,30029524,48752.58,0.62,16.55%,11.55%,24.67%,92.49%,41.92%,-11.37%,5.74%,19.50%,445.49%,93.16%,18.32%,23.02%,71.56%,16.32%,8.19%,21.85%,31.11%,0.68%
"UMAC","AMEX","Unusual Machines Inc","Technology","Computer Hardware",1200.46,24.03,-0.91%,1951682,4003.93,0.49,4.34%,-12.40%,11.72%,50.28%,88.62%,67.46%,6.82%,63.51%,49.95%,687.32%,31.29%,16.48%,60.82%,19.25%,0.86%,1.96%,32.50%,0.00%
"OUST","NASD","Ouster Inc","Technology","Electronic Components",2902.52,40.25,5.59%,3004569,3447.19,0.87,22.75%,4.76%,-10.87%,90.04%,86.00%,14.93%,5.23%,-715.68%,27.46%,55.86%,,9.52%,50.29%,9.97%,13.23%,4.88%,30.83%,5.59%
"OSCR","NYSE","Oscar Health Inc","Healthcare","Healthcare Plans",9467.61,30.67,-1.98%,8239095,5532.72,1.49,-5.46%,-4.28%,2.47%,151.19%,113.43%,65.78%,6.55%,212.94%,221.42%,70.40%,,8.91%,61.50%,6.51%,-2.96%,-0.19%,43.41%,-2.54%
"WRBY","NYSE","Warby Parker Inc","Healthcare","Medical Instruments & Supplies",2835.57,22.94,-1.33%,3643393,2688.01,1.36,-5.75%,-16.40%,-10.53%,-5.13%,5.28%,-19.68%,6.01%,21.52%,358.04%,9.81%,37.69%,18.63%,101.70%,15.95%,-5.77%,-10.31%,-8.75%,-2.38%
"DINO","NYSE","HF Sinclair Corp","Energy","Oil & Gas Refining & Marketing",18967.76,106.69,-2.38%,4783581,2704.29,1.77,-4.95%,9.63%,62.51%,80.01%,131.53%,103.57%,5.59%,218.68%,350.42%,53.15%,16.19%,4.12%,88.19%,6.05%,0.49%,10.93%,55.09%,-0.42%
"PBF","NYSE","PBF Energy Inc","Energy","Oil & Gas Refining & Marketing",8468.27,71.44,-1.43%,4986117,3320.02,1.50,-4.39%,-2.84%,75.57%,53.34%,163.42%,133.16%,6.79%,586.97%,16421.43%,56.23%,,5.12%,89.46%,11.22%,-3.28%,2.71%,53.68%,0.28%
"ALM","NASD","Almonty Industries Inc","Basic Materials","Other Industrial Metals & Mining",4139.70,14.35,-2.11%,6200742,6567.96,0.94,2.21%,-22.47%,-21.11%,-15.24%,62.88%,170.75%,7.07%,218.99%,235.56%,497.89%,,16.18%,47.17%,11.24%,-13.38%,-5.31%,-7.14%,-0.97%
"EQPT","NASD","Equipmentshare.Com Inc","Industrials","Rental & Leasing Services",4715.73,18.58,2.26%,3682188,3071.81,1.20,5.09%,0.38%,-22.19%,-8.65%,-34.81%,,5.02%,4435.39%,29.24%,26.33%,,6.60%,33.01%,13.15%,2.48%,-0.58%,-17.26%,2.26%
"AXTI","NASD","AXT Inc","Technology","Semiconductor Equipment & Materials",5100.94,77.79,-2.68%,7606627,10346.35,0.74,34.82%,9.97%,-0.15%,20.72%,375.78%,1413.42%,7.92%,308.78%,208.25%,164.77%,,27.12%,71.64%,14.63%,20.40%,21.53%,34.65%,1.51%
