"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"LFTO","NASD","Liftoff Mobile Inc","Communication Services","Advertising Agencies",3685.88,22.14,-0.54%,282037,1245.14,0.23,-2.08%,-18.00%,,,-11.79%,,5.39%,,1177.16%,37.12%,,5.67%,0.04%,2.34%
"AADX","NYSE","Applied Aerospace & Defense Inc","Industrials","Aerospace & Defense",3075.09,18.01,-5.71%,940143,1908.40,0.49,5.94%,-1.32%,,,-13.20%,,8.94%,,-107.01%,21.01%,,0.04%,0.05%,3.58%
"ARXS","NASD","Arxis Inc","Industrials","Aerospace & Defense",17398.19,42.40,-0.59%,317310,1028.47,0.31,1.37%,-1.60%,13.83%,,11.58%,,5.21%,13.74%,,,42.24%,3.44%,0.01%,4.38%
"BETA","NYSE","BETA Technologies Inc","Industrials","Aerospace & Defense",4202.07,18.21,-0.87%,1099698,1609.24,0.68,2.53%,16.14%,18.71%,-27.68%,-35.45%,,8.27%,83.39%,-36.77%,128.38%,47.80%,1.96%,26.36%,5.83%
"DPC","NYSE","DPC Holdings PLC","Industrials","Aerospace & Defense",7244.53,49.91,2.04%,1392253,2628.82,0.53,7.87%,,,,13.43%,,7.51%,,,,,37.84%,30.92%,2.84%
"FLY","NASD","Firefly Aerospace Inc","Industrials","Aerospace & Defense",3233.79,19.69,-4.88%,2611916,6860.81,0.38,2.18%,-21.18%,-48.91%,-36.32%,-11.98%,,7.10%,-40.29%,-20.35%,44.80%,28.25%,8.98%,21.08%,13.86%
"HONA","NASD","Honeywell Aerospace Inc","Industrials","Aerospace & Defense",64666.25,204.07,4.19%,2709707,3004.74,0.90,-3.57%,-16.71%,,,-31.41%,,5.87%,,,,,19.23%,2.28%,2.59%
"MDA","NYSE","MDA Space Ltd","Industrials","Aerospace & Defense",4794.18,29.57,-4.24%,1440273,1446.41,1.00,-2.22%,-21.36%,-10.01%,11.17%,52.41%,-1.04%,5.07%,-8.99%,-9.52%,38.31%,10.26%,64.05%,59.99%,1.81%
"SPCX","NASD","Space Exploration Technologies Corp","Industrials","Aerospace & Defense",1526648.23,115.07,-2.68%,56786082,126741.05,0.45,-7.19%,-25.54%,,,-23.29%,,6.65%,,,,,66.05%,0.28%,25.55%
"YSS","NYSE","York Space Systems Inc","Industrials","Aerospace & Defense",2241.65,17.06,-3.18%,707459,1856.59,0.38,-4.85%,-30.48%,-52.23%,,-55.11%,,8.36%,-15.13%,,,,109.09%,40.34%,10.16%
"VGNT","NYSE","Versigent Plc","Consumer Cyclical","Auto Parts",2952.72,41.65,1.39%,712435,1493.85,0.48,4.10%,-1.35%,21.39%,,38.83%,,3.90%,-23.14%,,,-0.94%,57.47%,7.05%,5.75%
