"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"LFTO","NASD","Liftoff Mobile Inc","Communication Services","Advertising Agencies",3784.10,22.73,2.66%,132563,1217.62,0.14,-1.86%,-11.83%,,,-9.44%,,5.39%,,1177.16%,37.12%,,7.38%,0.34%,2.34%,-3.21%,-7.72%,-7.72%
"AADX","NYSE","Applied Aerospace & Defense Inc","Industrials","Aerospace & Defense",3127.08,18.31,1.69%,1286268,1881.50,0.88,8.69%,-2.32%,,,-11.74%,,8.94%,,-107.01%,21.01%,,2.34%,0.23%,3.58%,-7.91%,-6.82%,-6.82%
"ARXS","NASD","Arxis Inc","Industrials","Aerospace & Defense",17695.56,43.12,1.71%,246557,1009.28,0.31,3.24%,-2.52%,23.21%,,13.49%,,5.21%,13.74%,,,42.24%,4.68%,0.01%,4.38%,-0.35%,3.61%,7.68%
"BETA","NYSE","BETA Technologies Inc","Industrials","Aerospace & Defense",4096.89,17.75,-2.50%,582171,1613.11,0.46,-9.60%,10.89%,16.12%,-29.41%,-37.06%,,8.27%,83.39%,-36.77%,128.38%,47.80%,2.05%,26.94%,5.83%,-0.67%,3.91%,-15.47%
"DPC","NYSE","DPC Holdings PLC","Industrials","Aerospace & Defense",7025.35,48.40,-3.03%,502820,2569.94,0.25,7.41%,3.24%,,,10.00%,,7.51%,,,,,40.73%,30.92%,2.84%,1.28%,1.43%,1.43%
"FLY","NASD","Firefly Aerospace Inc","Industrials","Aerospace & Defense",3217.91,19.59,-0.49%,1646859,6822.71,0.31,-0.39%,-20.38%,-44.23%,-32.74%,-12.41%,,7.10%,-42.96%,-20.35%,44.80%,21.88%,9.99%,21.08%,13.86%,-16.39%,-39.64%,-29.49%
"HONA","NASD","Honeywell Aerospace Inc","Industrials","Aerospace & Defense",65976.56,208.21,2.03%,1036573,2993.81,0.44,2.83%,-5.79%,,,-30.02%,,5.87%,,,,,29.60%,2.59%,2.59%,-3.86%,-7.93%,-7.93%
"MDA","NYSE","MDA Space Ltd","Industrials","Aerospace & Defense",4816.88,29.71,0.47%,561671,1463.23,0.49,-0.97%,-17.56%,-7.88%,10.65%,53.13%,-0.70%,5.07%,-8.99%,-9.52%,38.31%,10.26%,61.54%,59.99%,1.81%,-14.24%,-21.68%,4.23%
"SPCX","NASD","Space Exploration Technologies Corp","Industrials","Aerospace & Defense",1472628.46,111.00,-3.54%,50077479,124328.59,0.52,-7.39%,-27.45%,,,-26.00%,,6.65%,,,,,80.87%,0.28%,25.55%,-20.11%,-25.71%,-25.71%
"YSS","NYSE","York Space Systems Inc","Industrials","Aerospace & Defense",2426.26,18.47,8.24%,484680,1809.15,0.34,6.00%,-24.29%,-40.55%,,-51.41%,,8.36%,-15.13%,,,,109.78%,40.34%,10.16%,-9.61%,-28.03%,-31.74%
"VGNT","NYSE","Versigent Plc","Consumer Cyclical","Auto Parts",2939.25,41.46,-0.46%,278188,1483.68,0.24,3.60%,-2.01%,18.59%,,38.20%,,3.90%,-23.14%,,,-0.94%,61.32%,7.06%,5.75%,1.62%,-4.26%,4.33%
"MAIR","NYSE","Madison Air Solutions Corp","Industrials","Building Products & Equipment",17068.18,34.05,-1.96%,488954,1861.90,0.34,-1.53%,-14.88%,0.65%,,6.41%,,5.02%,24.33%,,,19.56%,461.84%,1.85%,5.10%,-4.68%,-11.27%,-10.57%
"FIGR","NASD","Figure Technology Solutions Inc","Financial","Capital Markets",6378.42,28.92,4.84%,2249207,3793.68,0.76,-4.91%,7.49%,-10.03%,-53.95%,-29.17%,,7.67%,80.58%,582.72%,72.52%,41.34%,10.99%,37.13%,9.77%,-5.66%,-7.77%,-23.98%
"MIAX","NYSE","Miami International Holdings Inc","Financial","Capital Markets",4189.07,43.28,1.17%,589414,1891.43,0.40,2.95%,17.80%,-5.65%,1.98%,-2.48%,,3.70%,-10.60%,678.45%,13.03%,3.48%,21.76%,57.33%,8.78%,4.05%,0.32%,-0.36%
"KLAR","NYSE","Klarna Group plc","Financial","Credit Services",6915.42,18.32,5.52%,1854316,5409.21,0.44,-2.35%,-4.24%,30.20%,-33.87%,-36.64%,,5.68%,126.33%,95.07%,44.37%,,0.52%,22.88%,23.00%,-4.57%,1.99%,-19.00%
"FPS","NYSE","Forgent Power Solutions Inc","Industrials","Electrical Equipment & Parts",11403.70,35.75,-0.39%,6034057,7696.79,1.00,-7.14%,-39.10%,1.74%,,37.50%,,7.33%,,298.01%,115.99%,,113.33%,37.29%,5.54%,-17.91%,-28.97%,-13.10%
"VSNT","NASD","Versant Media Group Inc","Communication Services","Entertainment",5101.49,36.15,2.18%,772174,1954.05,0.51,0.53%,0.84%,-6.69%,14.33%,-19.67%,,2.30%,-25.69%,-20.39%,-1.17%,9.19%,409.28%,82.65%,2.85%,0.11%,-6.88%,-3.89%
"HTFL","NASD","Heartflow Inc","Healthcare","Health Information Services",2174.99,25.22,4.56%,737920,1486.36,0.64,2.69%,-27.90%,-17.15%,-21.58%,-13.48%,,5.56%,69.67%,19.77%,41.34%,,17.34%,67.61%,9.22%,-5.86%,-13.45%,-14.05%
