"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"AADX","NYSE","Applied Aerospace & Defense Inc","Industrials","Aerospace & Defense",2058.38,11.94,-3.63%,2304501,1346.36,1.71,-4.86%,-44.52%,-37.55%,,-42.46%,,6.49%,,-3159.49%,47.42%,,30.96%,23.15%,3.67%,-19.89%,-33.19%,-34.72%,-3.94%
"BETA","NYSE","BETA Technologies Inc","Industrials","Aerospace & Defense",4713.91,20.15,-4.68%,2206153,1707.17,1.29,2.60%,-15.19%,22.34%,0.85%,-28.57%,,7.73%,82.48%,-62.49%,52.70%,46.22%,3.98%,28.10%,7.30%,-12.03%,-2.13%,-1.76%,-4.05%
"DPC","NYSE","DPC Holdings PLC","Industrials","Aerospace & Defense",5891.71,40.59,-5.07%,1410061,1635.94,0.86,-2.15%,-21.15%,,,-7.75%,,8.13%,,,,,127.45%,63.44%,3.10%,-10.42%,-13.91%,-14.06%,-6.47%
"HONA","NASD","Honeywell Aerospace Inc","Industrials","Aerospace & Defense",48043.69,151.58,-2.47%,3085491,3599.67,0.86,-1.72%,-7.06%,,,-49.05%,,3.43%,,,,,232.89%,75.26%,1.84%,-5.96%,-19.82%,-23.39%,-1.89%
"VGNT","NYSE","Versigent Plc","Consumer Cyclical","Auto Parts",3240.00,45.74,-3.48%,1064106,1183.39,0.90,-0.97%,3.84%,-7.35%,,52.47%,,4.23%,-18.42%,24.35%,20.75%,-0.71%,66.19%,99.09%,4.96%,-3.13%,3.88%,10.40%,-2.87%
"MAIR","NYSE","Madison Air Solutions Corp","Industrials","Building Products & Equipment",12578.19,25.07,-4.09%,1471491,2505.99,0.59,-2.64%,-17.34%,-38.19%,,-21.66%,,4.19%,30.99%,,,19.65%,130.07%,24.39%,5.24%,-8.45%,-19.89%,-28.72%,-2.90%
"FIGR","NASD","Figure Technology Solutions Inc","Financial","Capital Markets",8522.30,38.12,-0.38%,7490371,4087.92,1.83,13.12%,32.27%,34.79%,-3.71%,-6.66%,,8.30%,124.44%,179.01%,84.85%,49.29%,12.18%,46.53%,9.43%,5.84%,18.62%,3.34%,-4.70%
"PURR","NASD","Hyperliquid Strategies Inc","Financial","Capital Markets",2379.98,12.03,0.84%,22548654,15848.57,1.42,5.94%,82.27%,45.82%,125.70%,237.92%,,9.18%,-93.61%,43889.58%,,,65.93%,57.00%,13.76%,16.23%,43.86%,90.20%,-4.83%
"KLAR","NYSE","Klarna Group plc","Financial","Credit Services",5239.84,13.88,-2.66%,5117564,5709.38,0.90,-2.60%,-29.26%,-15.88%,-9.28%,-51.99%,,3.45%,104.95%,107.69%,26.61%,,5.38%,26.66%,22.07%,-10.30%,-21.86%,-28.89%,-1.77%
"FPS","NYSE","Forgent Power Solutions Inc","Industrials","Electrical Equipment & Parts",9434.25,30.99,-4.09%,3824348,7596.00,0.50,5.88%,-17.58%,-45.77%,-12.80%,19.19%,,5.49%,,298.01%,115.99%,,13.32%,56.19%,4.59%,-6.74%,-17.37%,-21.92%,-3.25%
"LGN","NASD","Legence Corp","Industrials","Engineering & Construction",5967.93,55.22,-3.19%,525139,1368.64,0.38,7.02%,-13.93%,-35.48%,7.47%,28.30%,,5.40%,330.40%,-306.44%,110.74%,,19.03%,86.32%,5.65%,-5.71%,-14.88%,-11.82%,-2.68%
"VSNT","NASD","Versant Media Group Inc","Communication Services","Entertainment",5164.47,37.21,-2.72%,1316480,1865.34,0.71,-7.69%,1.22%,-8.46%,1.64%,-17.31%,,4.13%,-28.03%,-28.54%,-3.75%,9.84%,3.70%,88.14%,3.80%,-5.65%,-1.05%,-1.47%,-2.72%
"ALH","NYSE","Alliance Laundry Holdings Inc","Consumer Cyclical","Furnishings, Fixtures & Appliances",4323.66,21.75,-2.16%,751215,1074.75,0.70,-2.29%,-17.58%,-16.83%,1.49%,6.88%,,3.58%,32.03%,286.93%,22.38%,17.61%,0.01%,29.25%,4.42%,-7.77%,-13.30%,-7.91%,-1.14%
"CSQR","NYSE","Csquare Inc","Technology","Information Technology Services",2992.74,17.96,-2.55%,856600,1501.47,0.57,-2.13%,-16.85%,,,-14.07%,,5.79%,,,,,4.91%,,2.55%,-10.64%,-12.65%,-12.65%,-2.29%
"FDXF","NYSE","FedEx Freight Holding Company Inc","Industrials","Integrated Freight & Logistics",18658.37,124.79,-3.32%,1312817,1484.79,0.88,-2.18%,-11.72%,-33.78%,,-7.56%,,4.34%,,,,,156.17%,62.20%,3.53%,-7.39%,-12.36%,-16.42%,-2.49%
"PTRN","NASD","Pattern Group Inc","Consumer Cyclical","Internet Retail",3485.90,19.65,-0.05%,1428526,2043.72,0.70,-1.90%,-6.96%,-3.72%,76.87%,70.28%,,4.28%,144.75%,62.53%,46.58%,,20.31%,25.79%,16.92%,-5.97%,-16.87%,18.22%,-0.10%
"MDLN","NASD","Medline Inc","Healthcare","Medical Instruments & Supplies",44765.79,34.05,-1.84%,5240154,7759.71,0.68,-3.02%,0.71%,-5.44%,-20.59%,-18.93%,,4.08%,4.32%,-83.26%,11.60%,7.87%,10.39%,74.08%,7.29%,-2.68%,-9.42%,-16.86%,-2.04%
"MMED","NASD","MiniMed Group Inc","Healthcare","Medical Instruments & Supplies",6403.52,22.76,-2.40%,1586221,1395.36,1.14,1.52%,16.72%,50.53%,24.17%,19.48%,,6.82%,152.69%,100.00%,16.44%,,1.74%,13.26%,22.08%,8.84%,22.85%,44.95%,-1.98%
"WBI","NYSE","WaterBridge Infrastructure LLC","Energy","Oil & Gas Equipment & Services",4076.52,33.02,0.82%,930921,1138.52,0.82,1.20%,2.55%,12.54%,37.13%,65.02%,,2.62%,215.06%,-36.37%,128.00%,,15.48%,107.22%,13.84%,3.13%,-0.06%,20.67%,0.52%
"MICC","NYSE","Magnum Ice Cream Company NV","Consumer Defensive","Packaged Foods",11712.53,19.13,-1.03%,1372739,1067.44,1.29,-3.04%,-0.36%,9.56%,25.11%,20.69%,,2.40%,1.52%,-20.16%,11.26%,7.39%,11.18%,48.67%,2.20%,-3.12%,0.69%,14.70%,-2.89%
"JAN","NYSE","Janus Living Inc","Real Estate","REIT - Residential",9544.62,31.00,0.10%,1194198,1650.92,0.72,0.32%,2.72%,21.95%,,31.91%,,3.00%,364.25%,,,81.11%,14.97%,35.66%,9.32%,1.10%,2.45%,12.45%,0.19%
"EQPT","NASD","Equipmentshare.Com Inc","Industrials","Rental & Leasing Services",4758.89,18.75,-3.35%,1844924,2857.35,0.65,11.28%,-5.06%,-6.02%,-31.04%,-34.21%,,5.58%,4435.39%,29.24%,26.33%,,6.64%,33.03%,14.18%,-1.20%,0.17%,-17.43%,-2.80%
