"Ticker","Exchange","Price","Change","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Net Flows (1 Month)","Net Flows % (1 Month)","Net Flows (3 Month)","Net Flows % (3 Month)","Net Flows (YTD)","Net Flows % (YTD)","Net Flows (1 Year)","Net Flows % (1 Year)"
"XLB","NYSE",51.26,1.93%,1.44%,0.20%,-1.06%,3.51%,13.03%,12.30%,0.85%,0.54%,5.12%,443966326.90,5.40,1311208136.85,17.85,2615587890.80,43.28,2631350529.75,43.66
"XLC","NYSE",106.30,0.87%,-3.93%,-0.23%,-9.45%,-8.56%,-9.70%,-2.14%,-3.13%,-4.79%,-7.16%,-572848761.25,-2.58,-1862241513.25,-7.92,-3047290493.85,-12.33,-2301683298.95,-9.61
"XLE","NYSE",59.62,0.40%,3.36%,11.29%,4.63%,21.90%,33.35%,36.38%,6.53%,5.06%,14.13%,-187332835.20,-0.47,-2048486741.00,-4.92,3583144438.10,9.95,1875136773.15,4.97
"XLF","NYSE",56.31,0.86%,0.09%,4.82%,8.71%,4.65%,2.81%,6.11%,1.29%,5.03%,6.77%,3079531000.05,5.82,302926618.30,0.54,1495948512.55,2.75,778653498.35,1.41
"XLI","NYSE",182.66,0.40%,1.81%,1.36%,4.93%,10.37%,17.75%,19.02%,0.68%,2.84%,9.63%,571879354.30,1.74,1618517983.85,5.09,3163051025.30,10.46,5243051367.35,18.61
"XLK","NYSE",175.88,-1.44%,0.17%,-3.92%,12.86%,21.40%,22.16%,34.57%,-3.08%,-4.06%,13.72%,542594603.50,0.47,-102472611.10,-0.09,1556749721.70,1.37,2342746833.15,2.08
"XLP","NYSE",84.13,1.11%,-1.24%,-0.37%,0.78%,2.26%,8.30%,3.40%,-0.10%,-0.05%,2.40%,830022944.35,6.04,-137530771.80,-0.94,-1279650464.00,-8.08,-1753317985.55,-10.75
"XLRE","NYSE",45.95,2.22%,1.17%,3.24%,4.53%,11.69%,13.88%,7.38%,2.56%,3.23%,7.98%,425154731.85,5.10,566435798.20,6.92,358210129.90,4.26,428711370.00,5.15
"XLU","NYSE",46.29,0.22%,2.48%,1.65%,0.43%,8.38%,8.43%,9.82%,1.68%,3.05%,3.16%,280151752.15,1.19,-472228247.15,-1.94,262385571.85,1.11,1149175763.40,5.07
"XLV","NYSE",162.57,0.70%,0.92%,6.01%,11.17%,2.70%,5.02%,19.75%,1.02%,5.23%,7.02%,1508736544.20,3.68,-176587998.40,-0.41,962888412.05,2.32,2154950222.25,5.34
"XLY","NYSE",109.41,0.60%,-5.22%,-4.92%,-7.07%,-10.77%,-8.37%,-1.79%,-5.36%,-6.11%,-6.64%,361928437.45,1.74,-639028519.85,-2.94,-1239042055.45,-5.54,-1108300631.65,-4.99
