"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"XLB","NYSE",51.64,-0.19%,10865852,11514.80,0.94,2.68%,1.59%,1.33%,3.38%,13.87%,16.24%,Materials,1.43,14.84,38.58,37.70,1.30%,1.18%,5.58%
"XLC","NYSE",106.58,-2.68%,10082708,6397.12,1.58,1.14%,-0.51%,-7.55%,-8.71%,-9.46%,0.12%,Communication Services,-2.93,-7.99,-12.73,-9.85,-2.99%,-3.96%,-6.81%
"XLE","NYSE",58.96,0.53%,23009733,35053.14,0.66,-0.71%,11.01%,-0.12%,17.80%,31.87%,34.49%,Energy,-2.60,-5.38,8.51,4.14,3.48%,3.98%,12.24%
"XLF","NYSE",57.00,0.56%,33141499,35867.64,0.92,2.10%,6.32%,9.78%,7.57%,4.07%,8.16%,Financials,7.75,3.17,6.18,3.32,1.39%,5.41%,7.92%
"XLI","NYSE",178.39,0.98%,7366693,7639.63,0.96,-1.95%,-3.69%,4.98%,8.68%,15.00%,17.36%,Industrials,0.81,5.07,10.02,18.44,-1.35%,0.09%,6.73%
"XLK","NYSE",175.73,5.50%,15060581,12170.56,1.24,-1.52%,-7.76%,10.45%,17.76%,22.06%,32.79%,Technology,1.03,0.99,1.85,2.46,-1.67%,-3.93%,13.20%
"XLP","NYSE",85.47,-2.16%,16597419,12013.41,1.38,2.72%,2.89%,3.08%,3.83%,10.03%,6.21%,Consumer Staples,6.68,1.96,-6.09,-9.94,0.91%,1.42%,3.83%
"XLRE","NYSE",45.30,-1.44%,6480654,5088.16,1.27,0.78%,2.88%,3.80%,10.89%,12.27%,7.47%,Real Estate,4.55,7.21,5.08,5.97,0.59%,1.41%,6.22%
"XLU","NYSE",44.66,-0.56%,23417182,20189.26,1.16,-3.31%,-1.50%,-2.23%,3.07%,4.61%,4.82%,Utilities,0.59,0.85,1.84,5.31,-1.73%,-0.72%,-0.47%
"XLV","NYSE",163.52,-1.64%,12468196,10486.51,1.19,1.29%,3.06%,14.48%,5.97%,5.63%,21.86%,Healthcare,0.88,-2.01,0.47,3.08,0.95%,4.81%,7.34%
"XLY","NYSE",112.39,0.70%,8070702,8183.68,0.99,3.34%,-4.17%,-3.81%,-7.70%,-5.88%,0.71%,Consumer Discretionary,1.74,-0.11,-5.03,-3.48,-1.95%,-3.17%,-4.01%
