"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",51.78,-0.88%,7720559,11710.22,0.66,-2.74%,3.50%,3.11%,-1.75%,14.18%,15.70%,Materials,0.46,14.21,40.35,38.52,-0.28%,0.70%,4.76%,-0.84%
"XLC","NYSE",110.48,-0.31%,3969420,6395.39,0.62,-0.71%,-0.29%,-5.56%,-3.43%,-6.15%,-0.29%,Communication Services,-1.78,-5.95,-12.31,-11.85,0.46%,0.44%,-3.16%,-0.34%
"XLE","NYSE",63.68,1.76%,27191914,33065.45,0.82,4.51%,9.91%,5.12%,18.47%,42.43%,49.75%,Energy,-0.76,-5.97,8.24,5.56,6.76%,11.40%,18.80%,0.43%
"XLF","NYSE",57.84,0.45%,25131871,34481.50,0.73,0.07%,3.21%,11.79%,10.80%,5.61%,10.17%,Financials,-0.19,2.20,3.21,0.60,0.83%,3.88%,8.83%,0.19%
"XLI","NYSE",183.57,-1.48%,4639163,7246.90,0.64,-1.15%,3.06%,7.51%,4.85%,18.34%,21.55%,Industrials,0.77,6.54,12.09,18.14,0.09%,1.23%,8.50%,-0.89%
"XLK","NYSE",185.62,-2.47%,8429269,11417.77,0.74,-0.25%,5.64%,6.46%,33.08%,28.93%,39.42%,Technology,-0.12,-0.31,0.92,1.12,2.00%,1.50%,17.55%,-0.36%
"XLP","NYSE",85.58,1.06%,10652520,11560.54,0.92,1.05%,0.85%,-0.37%,-2.97%,10.17%,4.48%,Consumer Staples,1.89,-2.23,-8.34,-13.58,0.39%,1.08%,3.44%,-0.21%
"XLRE","NYSE",44.63,-0.45%,6131779,5193.02,1.18,1.25%,-1.33%,2.01%,1.57%,10.61%,9.01%,Real Estate,0.87,6.88,4.78,5.70,-1.06%,-0.48%,4.19%,-1.22%
"XLU","NYSE",44.02,-0.36%,19419815,20205.37,0.96,0.89%,-2.05%,0.18%,-5.09%,3.12%,3.27%,Utilities,-0.55,2.30,1.54,3.58,-1.06%,-1.84%,-1.66%,-1.15%
"XLV","NYSE",169.73,1.60%,7517772,10302.95,0.73,1.02%,6.58%,16.48%,7.85%,9.64%,24.90%,Healthcare,0.72,0.78,2.15,6.69,2.79%,5.78%,10.40%,0.63%
"XLY","NYSE",116.36,-0.33%,5268634,7856.65,0.67,-2.42%,1.53%,0.03%,0.28%,-2.55%,1.20%,Consumer Discretionary,1.19,2.99,-2.65,-0.10,0.52%,0.32%,-0.61%,-0.29%
